Gene = Pburs
index = 1361
Annotated 5SS: [268]
Annotated 3SS: [325]
SMsplice 5SS: [268]
SMsplice 3SS: [325]
top_k =  500
Partition function (log Z): -4.1634360123747545

Sorted 5' Splice Sites (High to Low Probability):
Position 268: 0.9840157595133806
Position 229: 0.012028885097595721
Position 492: 0.007071324720667732
Position 241: 0.0025027171660972573
Position 466: 0.0014336599665561891
Position 258: 0.0008452595841434501
Position 224: 0.0004263007398557436
Position 477: 0.0003354256007246792
Position 3: 0.00029302408282781857
Position 272: 9.18045995758912e-05
Position 7: 8.464356810903067e-05
Position 460: 3.3368063928528124e-05
Position 216: 2.1551189599720666e-05
Position 196: 1.107346517141161e-05
Position 365: 9.474804188301188e-06
Position 310: 7.670375577514668e-06
Position 294: 7.442875295840041e-06
Position 120: 3.521944512227759e-06
Position 441: 3.067796701033042e-06
Position 405: 2.770870111058667e-06
Position 532: 1.84046978360538e-06
Position 538: 1.452057627137699e-06
Position 147: 1.309613757427392e-06
Position 546: 9.502754191506703e-07
Position 190: 5.589892856886309e-07
Position 19: 1.0157040369624962e-07
Position 52: 7.16323476866314e-08
Position 37: 2.2510951157836778e-08
Position 328: 1.0628442189499122e-08
Position 317: 3.893934878701104e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 325: 0.9603559636456308
Position 328: 0.02606001732570726
Position 292: 0.009876246221803539
Position 544: 0.006136856568140461
Position 538: 0.0033838997268348494
Position 364: 0.001604796024549724
Position 358: 0.0007617280508739108
Position 348: 0.0005136840803431329
Position 83: 0.0002864795070871481
Position 298: 7.256591212700184e-05
Position 591: 7.149582759174561e-05
Position 68: 6.039877233072742e-05
Position 52: 2.0218594260617137e-05
Position 309: 1.1849543592715474e-05
Position 429: 5.718192551139046e-06
Position 294: 5.21244745873862e-06
Position 577: 2.2703597916935386e-06
Position 144: 1.6295061256373844e-06
Position 88: 1.190062066214067e-06
Position 141: 9.301013264285636e-07
Position 120: 6.15745609409022e-07
Position 272: 4.959307626160687e-07
Position 171: 4.884024998156617e-07
Position 126: 1.354035744020023e-07
Position 224: 5.700896126306854e-08
Position 211: 5.0508931471069446e-08
Position 173: 3.8863303376014994e-08
Position 228: 1.0437650941531541e-08
Position 147: 9.87251828830341e-09
Position 460: 8.95564012655772e-09
Position 546: 1.487222631365691e-09
Position 102: 6.628327909758904e-10
Position 156: 2.1694063647823862e-11
Position 111: 4.50284997392605e-12
Position 268: 6.337877602948342e-13
