Gene = Shab
index = 1499
Annotated 5SS: [ 1771  2413 28907 30460 46608 52997 53876 57091 60830 61089 61420]
Annotated 3SS: [ 2226 28538 29057 45763 52784 53461 56976 59667 60894 61148 62313]
SMsplice 5SS: [   43 28907 30460 46608 52997 53876 57091 60830 61089 61420]
SMsplice 3SS: [28538 29057 45763 52859 53461 56976 59667 60894 61148 62313]
top_k =  500
Partition function (log Z): -68.43281290064499

Sorted 5' Splice Sites (High to Low Probability):
Position 43: 0.5234113339521961
Position 268: 0.4765868340661269
Position 13173: 2.503992408920972e-05
Position 154: 8.424569052757665e-07
Position 871: 3.5222393385846576e-07
Position 1081: 2.890322566401503e-07
Position 3223: 2.7431325268862123e-07
Position 2413: 1.5901209672130332e-07
Position 166: 1.4967855122230802e-07
Position 3286: 1.3425934174597006e-07
Position 270: 1.2472569774136785e-07
Position 78: 3.6282103208810407e-08
Position 272: 2.562181503069404e-08
Position 3017: 6.15676055901793e-09
Position 623: 5.4556556324586926e-09
Position 1970: 1.3838895031509647e-09
Position 5260: 1.2425519504058262e-09
Position 2294: 1.2423019717154876e-09
Position 1771: 1.1349013504473565e-09
Position 3565: 7.935174983471728e-10
Position 1611: 6.609761841834452e-10
Position 1827: 6.22593968506029e-10
Position 502: 3.6614438466594485e-10
Position 2200: 1.9420543350920493e-10
Position 1112: 1.8488722183619144e-10
Position 1775: 1.7792001053383265e-10
Position 146: 1.7360034749553868e-10
Position 81: 1.19585087773974e-10
Position 3313: 9.364086283016474e-11
Position 347: 7.941994463938681e-11
Position 3552: 6.388118045030732e-11
Position 276: 5.7224257873682366e-11
Position 1573: 4.258385912087992e-11
Position 711: 3.190355147534257e-11
Position 287: 1.7546510289730458e-11
Position 794: 1.6253952430549944e-11
Position 982: 1.6070157789215607e-11
Position 95: 1.3816118470113335e-11
Position 444: 1.3074793236503675e-11
Position 881: 7.598224016493633e-12
Position 274: 7.504576925682938e-12
Position 308: 5.065750792256591e-12
Position 47: 4.281449056340778e-12
Position 3305: 1.8844130648257453e-12
Position 748: 1.1787966254648954e-12
Position 722: 7.783652769077532e-13
Position 2012: 7.506258767210692e-13
Position 757: 7.029682700838103e-13
Position 349: 6.906695664416511e-13
Position 524: 6.651435761295144e-13
Position 170: 6.417833422214796e-13
Position 186: 5.885323264321785e-13
Position 1413: 5.641677386416037e-13
Position 693: 5.020857594183165e-13
Position 875: 4.86565722209748e-13
Position 150: 4.158529463245675e-13
Position 429: 3.781333935836872e-13
Position 467: 3.5608888194565184e-13
Position 953: 3.322567469307967e-13
Position 123: 2.892276602038299e-13
Position 38: 2.874855349273734e-13
Position 1378: 2.86809798517408e-13
Position 1370: 2.7990837173891817e-13
Position 887: 2.4392315942191937e-13
Position 404: 2.2253887645558513e-13
Position 40: 2.1881607496774748e-13
Position 899: 1.9648838779995105e-13
Position 290: 1.1712472309068747e-13
Position 994: 5.299441497943886e-14
Position 134: 1.062604173249421e-14
Position 158: 7.007924943853743e-15
Position 132: 6.270864726875758e-15
Position 58: 4.8883117321823494e-15
Position 210: 4.816688589919323e-15
Position 83: 4.615188978630432e-15
Position 735: 2.5784328700999134e-15
Position 766: 1.7772582817394355e-15
Position 85: 8.736310972456865e-17
Position 436: 4.7570012001281044e-17
Position 129: 4.573150614651978e-17
Position 455: 3.3124575476783684e-17
Position 118: 1.5034185536506272e-18
Position 546: 8.895432763848039e-19
Position 72: 4.899203510947428e-19
Position 617: 4.1542923823164176e-20

Sorted 3' Splice Sites (High to Low Probability):
Position 22428: 0.9997029383879554
Position 16135: 0.00024775167962181433
Position 12790: 2.9023242193367713e-05
Position 13229: 2.503992408920972e-05
Position 14458: 1.521477110002315e-05
Position 11397: 1.9187836245418182e-06
