Gene = chb
index = 1645
Annotated 5SS: [193]
Annotated 3SS: [5243]
SMsplice 5SS: [  193  5352 10157]
SMsplice 3SS: [ 5243  9953 10217]
top_k =  500
Partition function (log Z): -10.780547482926082

Sorted 5' Splice Sites (High to Low Probability):
Position 193: 0.9746551349244094
Position 5352: 0.6206872715332866
Position 10157: 0.49762513579256906
Position 4593: 0.06599757335290124
Position 10107: 0.054664751708930696
Position 4588: 0.026290648276632106
Position 9427: 0.01930187099118804
Position 5709: 0.018960187410012395
Position 933: 0.012056179469120623
Position 4950: 0.012009367989186056
Position 4931: 0.008880836326043652
Position 71: 0.008108011640775428
Position 585: 0.00602520740651787
Position 5090: 0.005870259844007345
Position 3676: 0.005354333179081972
Position 10001: 0.004507734748430121
Position 4874: 0.004003368251405253
Position 10307: 0.0016676830758147502
Position 5437: 0.0016104040509335484
Position 938: 0.0012343131694853855
Position 4169: 0.001226679044033985
Position 197: 0.001107449660836548
Position 2038: 0.0009696874939317645
Position 689: 0.0009501183689346146
Position 4601: 0.000824758003062217
Position 149: 0.0008168794946757375
Position 4534: 0.0007748101313643556
Position 1585: 0.00075693794466314
Position 3684: 0.0007000463607032909
Position 7059: 0.00048411047918208675
Position 3700: 0.0004789312057074484
Position 1178: 0.00044989562394035
Position 3688: 0.00044622031751460016
Position 823: 0.0004193076846060144
Position 1678: 0.00040636350949193727
Position 763: 0.00036188767668096454
Position 4512: 0.00035607717784128445
Position 1432: 0.0003447898362916177
Position 5138: 0.0003055920024006658
Position 1331: 0.00027886083711892666
Position 494: 0.0002775856812865961
Position 488: 0.00027254068892763905
Position 7680: 0.0002477039026556244
Position 4839: 0.00022639659987214622
Position 942: 0.00022123337463758296
Position 827: 0.00017397658414540027
Position 831: 0.00012720391252395434
Position 3888: 0.00011530251442736928
Position 2009: 0.0001092131831102731
Position 748: 0.00010778698742774833
Position 288: 0.00010542058363849896
Position 7009: 9.28671100505952e-05
Position 3261: 9.253548835399237e-05
Position 703: 9.056752134180722e-05
Position 3893: 7.10319085584664e-05
Position 6575: 6.945754734570821e-05
Position 3694: 5.740168461826982e-05
Position 3680: 5.404863385657343e-05
Position 899: 5.1375299756424864e-05
Position 989: 4.5540676470074145e-05
Position 4173: 3.676561742360804e-05
Position 6156: 3.1065481888814295e-05
Position 5753: 2.4886139268908687e-05
Position 6126: 1.8751061730244794e-05
Position 2938: 7.825966053576373e-06
Position 2934: 1.487310894545083e-06
Position 1655: 1.4835973191656388e-06
Position 349: 2.5303242001768735e-07
Position 657: 1.8128547982216426e-07
Position 168: 1.7228837324553954e-07
Position 512: 1.5471633625162982e-07
Position 161: 1.1680423950610635e-07
Position 302: 7.473912354231794e-08
Position 127: 6.856588880166143e-08
Position 2050: 6.438162383286957e-08
Position 599: 5.642837338650701e-08
Position 318: 2.7028540504940383e-08
Position 19: 1.0056361921781345e-08
Position 243: 8.43383210210195e-09
Position 881: 7.531857783740501e-09
Position 183: 6.491356931752939e-09
Position 125: 2.3146596431957287e-09
Position 423: 1.952325410848433e-09
Position 450: 3.986854117718921e-10
Position 471: 3.8134106035946634e-10
Position 270: 9.55903535652062e-11
Position 106: 1.8113502726732572e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 10217: 0.8053721980425745
Position 9953: 0.6749053657518158
Position 5243: 0.647430308910568
Position 4296: 0.046757817509788066
Position 4426: 0.04666758115514569
Position 4667: 0.022450634921159767
Position 9285: 0.013055570898116977
Position 8594: 0.010615085864323286
Position 4482: 0.009611723739316963
Position 9950: 0.008602937940214272
Position 10410: 0.006027856888421984
Position 3014: 0.005845721963712183
Position 5252: 0.005047372439224666
Position 270: 0.004855348282074625
Position 10104: 0.004793671041777332
Position 7087: 0.004018112868955663
Position 10367: 0.0036753919234801006
Position 7744: 0.0032630201240128956
Position 9325: 0.0029735538948124137
Position 8144: 0.0028195425563116014
Position 133: 0.0026497557315073974
Position 7124: 0.0026100063765325107
Position 4238: 0.0023560294721986486
Position 4647: 0.0023473024852540885
Position 3792: 0.0019898900648319525
Position 10073: 0.001946502334833739
Position 9157: 0.0017816089117342262
Position 771: 0.0012812571055143595
Position 10421: 0.0012162614075971194
Position 4039: 0.0012156115885393782
Position 6181: 0.0012055742055911904
Position 8150: 0.001033513190729812
Position 7455: 0.0008353102512517939
Position 6644: 0.000786906815453821
Position 5201: 0.0007319372785333458
Position 6385: 0.0006264479757894185
Position 6567: 0.000589644534188205
Position 5094: 0.000582013924398949
Position 7186: 0.0005375282924688529
Position 6861: 0.0005249842674638093
Position 2850: 0.0005244752522819638
Position 4008: 0.0005120940917384538
Position 8645: 0.0004445632844802506
Position 4262: 0.0004204783649084552
Position 3247: 0.0003577693113493098
Position 6221: 0.000349016232880317
Position 6530: 0.00034764458218387737
Position 581: 0.00029489979149448925
Position 6331: 0.0002850661112595114
Position 318: 0.0002820126739498297
Position 5823: 0.00026500862963977994
Position 448: 0.00025474843708991706
Position 8263: 0.0002511279442730099
Position 2867: 0.00023176654235292999
Position 5100: 0.00020643631307868657
Position 2834: 0.00020585585728652732
Position 4541: 0.00020111216524618626
Position 2584: 0.00019217395075157774
Position 6605: 0.00017505327679258353
Position 5130: 0.00017027994527594244
Position 1331: 0.0001680877875902588
Position 8095: 0.00016205801494391267
Position 7814: 0.00015393609216207102
Position 6817: 0.00014808524738757183
Position 6796: 0.0001325042718166439
Position 6365: 0.00013174711466748111
Position 7708: 0.00013125351828091744
Position 7137: 0.00012771496628594966
Position 3453: 0.0001271430763418432
Position 6831: 0.00010458708865213538
Position 3599: 9.678494096499187e-05
Position 1361: 8.521146155521254e-05
Position 1724: 7.770246447097712e-05
Position 2887: 7.307846293225097e-05
Position 1450: 7.114263968404715e-05
Position 141: 6.931253762892046e-05
Position 7026: 6.827030522248827e-05
Position 1188: 6.803748215057005e-05
Position 5483: 6.761896745876814e-05
Position 375: 6.624559001623064e-05
Position 6771: 6.0857492416025934e-05
