Gene = Gr33a
index = 1197
Annotated 5SS: [  95  596 1146 2098]
Annotated 3SS: [ 158  737 1631 2156]
SMsplice 5SS: [  95  596 1146 2098]
SMsplice 3SS: [ 158  737 1631 2156]
top_k =  500
Partition function (log Z): 3.1542951138666315

Sorted 5' Splice Sites (High to Low Probability):
Position 2098: 0.9940540307769807
Position 596: 0.9188445070074349
Position 95: 0.8368700890542762
Position 1146: 0.7734448747487855
Position 812: 0.38023117602058476
Position 1531: 0.0764271048180687
Position 495: 0.02264161395899121
Position 600: 0.021769785962637317
Position 50: 0.018152868289357794
Position 1196: 0.01700317781299755
Position 489: 0.015262889427013556
Position 1842: 0.014669045301126216
Position 1352: 0.008669664406134717
Position 116: 0.0023228160212466595
Position 1559: 0.0023029913335013545
Position 579: 0.0023016258467573217
Position 1725: 0.0022288694203584773
Position 1756: 0.002145817171595367
Position 590: 0.0011539378120122262
Position 504: 0.0011507075663104395
Position 1213: 0.0010824862154340585
Position 1176: 0.0006566841212663014
Position 1208: 0.0006355028583530778
Position 1846: 0.000503269575819465
Position 17: 0.00039115996196360255
Position 85: 0.00034756537456221066
Position 1361: 0.0002740882412462128
Position 30: 0.0002383442409155507
Position 1789: 0.00022820506203472923
Position 227: 0.00022041805917034576
Position 1349: 0.0002027041292643333
Position 1395: 0.00015728590739018562
Position 514: 0.0001274434269523337
Position 318: 0.00010933028147139189
Position 961: 9.888001903245476e-05
Position 316: 8.928597718581066e-05
Position 552: 7.380424898975095e-05
Position 249: 7.085754693467904e-05
Position 234: 5.228023716981735e-05
Position 1020: 3.5120336370563106e-05
Position 43: 2.0207716378096683e-05
Position 2102: 1.8993007081070843e-05
Position 2160: 1.831773985567937e-05
Position 125: 1.8044439034592967e-05
Position 159: 1.4311174420407312e-05
Position 2059: 1.316999132424722e-05
Position 471: 1.1246859398218771e-05
Position 2039: 9.944994024522514e-06
Position 640: 7.827500469469555e-06
Position 386: 7.227448260438784e-06
Position 921: 7.165962911485848e-06
Position 1801: 7.146901249752554e-06
Position 1217: 6.9684948380231015e-06
Position 419: 6.900477609522356e-06
Position 3: 5.59830968528494e-06
Position 295: 5.028383908238451e-06
Position 1873: 4.910395902838479e-06
Position 407: 4.518575776057561e-06
Position 701: 4.480349825951141e-06
Position 831: 4.033880416399307e-06
Position 607: 4.01198009325976e-06
Position 919: 3.398975889013409e-06
Position 816: 2.6265499731623767e-06
Position 2007: 2.0560808636729434e-06
Position 2110: 1.792660873784172e-06
Position 835: 1.6602884424452312e-06
Position 2067: 1.65249486434973e-06
Position 450: 1.3546339834712881e-06
Position 1409: 9.56521758549196e-07
Position 516: 8.241633770396343e-07
Position 1885: 7.097568432567585e-07
Position 1696: 6.467132127486139e-07
Position 1220: 1.1657363781224034e-07
Position 772: 1.1557612308560667e-07
Position 976: 5.056607788594606e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2156: 0.9936715586730751
Position 737: 0.9209282101420049
Position 1631: 0.9157873480093746
Position 158: 0.8313770922385603
Position 879: 0.19169263136580997
Position 858: 0.054258665067558186
Position 704: 0.04067483686390596
Position 1668: 0.022649050045402987
Position 1657: 0.020451765851386444
Position 1279: 0.018775538130619954
Position 1276: 0.0161961850443477
Position 2022: 0.015942754512585526
Position 188: 0.01260668501375478
Position 1225: 0.0081473205252409
Position 717: 0.005463851130965457
Position 165: 0.0036491811074833166
Position 800: 0.00343893876354202
Position 989: 0.0030685841835596285
Position 450: 0.0026877468973676103
Position 1645: 0.0026601013227954677
Position 1587: 0.0024616363505893363
Position 846: 0.0023714088366643573
Position 779: 0.0023632158518853696
Position 2198: 0.0023534204224197977
Position 277: 0.0022282961394763873
Position 876: 0.0015665619661170966
Position 1959: 0.0015272712060114026
Position 419: 0.0015248498493867406
Position 933: 0.001490683635541706
Position 1318: 0.0014535798393459558
Position 1330: 0.0014356953374787254
Position 1020: 0.0013035926584919523
Position 1788: 0.0012613092797401223
Position 2007: 0.0011455036948107423
Position 1694: 0.0010098473704421255
Position 1782: 0.0008750367175467976
Position 316: 0.0008688710654046946
Position 1477: 0.0008235435278195261
Position 888: 0.0008198245338922321
Position 404: 0.0006227493568493074
Position 939: 0.0004874999687372707
Position 1885: 0.0004699186353848299
Position 1812: 0.00031349778020304793
Position 458: 0.0002965282413770955
Position 2037: 0.0002489481712442025
Position 1725: 0.00022632908772702825
Position 326: 0.00019034387296022238
Position 2169: 0.00017969882212018437
Position 1085: 0.0001585036183511563
Position 1389: 0.00011752903239829424
Position 106: 0.00011069947981479214
Position 891: 0.0001105680630355757
Position 1530: 9.782871623871779e-05
Position 2141: 8.458177656054109e-05
Position 1044: 7.901558510796426e-05
Position 1038: 7.449035229649166e-05
Position 1373: 7.15658767065065e-05
Position 2282: 4.935146335398496e-05
Position 810: 4.871353594805926e-05
Position 855: 4.840084917295302e-05
Position 1713: 4.556318527685228e-05
Position 1395: 4.177010746841869e-05
Position 583: 4.045820903295132e-05
Position 1349: 3.752445805769467e-05
Position 334: 3.404252812513893e-05
Position 1361: 3.0158066089684664e-05
Position 948: 2.8522184917054707e-05
Position 514: 2.5837815530290526e-05
Position 1014: 1.8663752243072568e-05
Position 416: 1.822756093667134e-05
Position 2164: 9.004148993494875e-06
Position 1059: 6.71218367820772e-06
Position 467: 6.6972307118215865e-06
Position 957: 6.523128794449879e-06
Position 951: 6.143637802138043e-06
Position 623: 1.3234585798240175e-06
Position 2108: 1.026436646332051e-06
Position 2246: 9.884073609404625e-07
Position 407: 8.668806672838092e-07
Position 2350: 7.565268195200269e-07
Position 331: 2.722836724273131e-07
Position 630: 2.2423762553204206e-07
Position 60: 5.950108711289532e-08
Position 494: 2.0847551143716728e-09
Position 46: 1.2100047423031523e-09
Position 50: 3.321147332822854e-11
