Gene = Vps53
index = 1598
Annotated 5SS: [ 180  747 1978]
Annotated 3SS: [ 239  802 2039]
SMsplice 5SS: [ 180  747 1978]
SMsplice 3SS: [ 239  802 2039]
top_k =  500
Partition function (log Z): 6.401272940364521

Sorted 5' Splice Sites (High to Low Probability):
Position 1978: 0.998174008633397
Position 180: 0.9962653298355056
Position 747: 0.9740233093729141
Position 618: 0.34308832626160557
Position 2180: 0.07060672097896492
Position 634: 0.058766785595602535
Position 399: 0.04203471679183076
Position 331: 0.03175126242990486
Position 622: 0.0258464446798178
Position 1722: 0.02506580106389034
Position 459: 0.01029607868913293
Position 2665: 0.007524425935142924
Position 2509: 0.0062747300194336015
Position 1235: 0.004718423171313785
Position 1866: 0.0033147536382557526
Position 443: 0.003016564361218106
Position 1117: 0.002884433182555595
Position 2119: 0.0018951273031179148
Position 2711: 0.0014367569845625684
Position 2235: 0.0014102304074509972
Position 1480: 0.0013229022311964855
Position 1371: 0.0012496309553699095
Position 184: 0.0010475326138613258
Position 525: 0.001043234477431688
Position 2494: 0.000941539732051019
Position 760: 0.0009408790905333493
Position 1376: 0.0006782434215527162
Position 751: 0.000674760266662913
Position 159: 0.0005505503556111988
Position 968: 0.0005411469187587632
Position 366: 0.0004726482768491506
Position 492: 0.0004557487162030913
Position 359: 0.0004404351490524016
Position 396: 0.0004223277968128417
Position 1982: 0.00039443812873453507
Position 2574: 0.0003748271830853861
Position 2539: 0.0003253582261733535
Position 939: 0.00031684697722922383
Position 1919: 0.0003150450204407037
Position 988: 0.000311200446441192
Position 2964: 0.0002700187645958129
Position 2925: 0.00024102434394574344
Position 1388: 0.00021676401936409763
Position 667: 0.00020025450115122333
Position 2767: 0.00018613420490271973
Position 2327: 0.00011854274700945228
Position 2497: 0.00010199265412353283
Position 2143: 9.709016288089065e-05
Position 168: 9.53125711119951e-05
Position 944: 6.407335586416577e-05
Position 2283: 6.252517571323648e-05
Position 2722: 6.099298715276447e-05
Position 2175: 5.894995974247162e-05
Position 2452: 4.280328721256251e-05
Position 2293: 3.7544040115419773e-05
Position 2988: 2.2213621437558072e-05
Position 473: 1.6806068132977695e-05
Position 16: 1.3863369109264611e-05
Position 203: 9.280734777228913e-06
Position 126: 4.1906377576301694e-06
Position 99: 2.5760067638876906e-06
Position 368: 2.0426213297257958e-06
Position 240: 1.9753948483056816e-06
