Gene = Idh
index = 1224
Annotated 5SS: [2351 2891]
Annotated 3SS: [2833 2970]
SMsplice 5SS: [ 114 2351]
SMsplice 3SS: [2190 3000]
top_k =  500
Partition function (log Z): -9.953701556561464

Sorted 5' Splice Sites (High to Low Probability):
Position 114: 0.8727178026522784
Position 2351: 0.8056784439942551
Position 2891: 0.202114611571032
Position 2057: 0.06718538022520701
Position 1293: 0.059092800930160054
Position 278: 0.03367831589023944
Position 3729: 0.021445367354550958
Position 2419: 0.017219639300585246
Position 2882: 0.014979945003008727
Position 4078: 0.006608180754384846
Position 36: 0.00586106666770193
Position 578: 0.005809447260102942
Position 51: 0.0052132686981800685
Position 252: 0.004587070787147305
Position 1787: 0.004174742686976443
Position 2673: 0.0032417014741868764
Position 383: 0.0031978992794493943
Position 899: 0.0030083969624390304
Position 662: 0.0019485903652882944
Position 741: 0.001912853096540333
Position 3290: 0.001793323744500268
Position 67: 0.0017877498074412891
Position 3487: 0.001414752340156471
Position 2781: 0.001329514448425367
Position 1410: 0.0013197673830098336
Position 814: 0.0013079917214496599
Position 1535: 0.0012274163125310343
Position 2197: 0.0011776649388344146
Position 1441: 0.001158654510952451
Position 1592: 0.000960375194158873
Position 1994: 0.0009021336519316964
Position 854: 0.0005978956748802217
Position 317: 0.000593551526011544
Position 590: 0.0005706574233843672
Position 534: 0.0005324210219263889
Position 1301: 0.00038541779937094025
Position 1335: 0.00026239139431844444
Position 1819: 0.00014988896635828732
Position 725: 8.305185581970001e-05
Position 268: 5.6717290034384455e-05
Position 33: 3.1537541821583435e-05
Position 687: 2.6004671435248804e-05
Position 479: 2.0858106280328013e-05
Position 615: 1.32617097557199e-05
Position 495: 9.548994714243097e-06
Position 2355: 5.490841033753443e-06
Position 785: 3.507966165473772e-06
Position 2602: 2.696555846661002e-06
Position 497: 1.7410533492962026e-06
Position 903: 1.593592867719759e-06
Position 752: 1.4827414122061978e-06
Position 441: 1.4779325850585967e-06
Position 779: 1.3198067998529167e-06
Position 118: 1.188406054175887e-06
Position 481: 1.0731132634620701e-06
Position 21: 8.15650320983879e-07
Position 71: 5.401268326938984e-07
Position 759: 5.180474683229114e-07
Position 2463: 3.426355080175522e-07
Position 149: 8.697498655613001e-08
Position 9: 6.225157530978397e-08
Position 129: 5.934880590818759e-08
Position 3: 5.319321689412377e-08
Position 516: 1.4918599474019547e-08
Position 583: 1.1907139176004405e-08
Position 606: 5.539475370561189e-09
Position 423: 1.9247051043632532e-10
Position 408: 1.7357988893283853e-10
Position 608: 1.2642577680839794e-10
Position 418: 5.203051190105587e-11
Position 387: 4.3685656095102725e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2190: 0.7005597684243016
Position 3000: 0.6134715774965144
Position 2941: 0.21234280698439012
Position 2621: 0.10509553429504291
Position 952: 0.08342294898927353
Position 2417: 0.06465890981545265
Position 2748: 0.06453849321512307
Position 1953: 0.057288472720233935
Position 2970: 0.04226074638982417
Position 932: 0.04136652315112605
Position 4357: 0.019190078509946765
Position 3957: 0.018377173479747193
Position 2833: 0.014924584342327863
Position 2463: 0.0136077399494747
Position 2270: 0.013301736767074409
Position 4163: 0.009072742419674783
Position 1884: 0.005967651194800007
Position 2778: 0.005802865248254041
Position 197: 0.004959681742009123
Position 1106: 0.004944904643259541
Position 970: 0.004764215064159392
Position 1161: 0.004568511808344539
Position 4138: 0.004353617860578132
Position 2673: 0.003720486427192992
Position 2044: 0.003384034037184431
Position 658: 0.00328425511892901
Position 549: 0.0028316532265224544
Position 2130: 0.0026431831495768916
Position 3954: 0.0025888723057512913
Position 2678: 0.002538309714245118
Position 1656: 0.0022096274368215503
Position 2911: 0.0018579674103831887
Position 3606: 0.00157426594213387
Position 113: 0.001449825613698727
Position 3774: 0.0013705058271838153
Position 2480: 0.0013253845061330814
Position 3648: 0.0011517983387923536
Position 2499: 0.0009822926776384595
Position 2299: 0.0009822830241945889
Position 1680: 0.0009541687263795933
Position 847: 0.0009248239999230948
Position 1125: 0.0008678554109712212
Position 615: 0.0008608681293433917
Position 2851: 0.0008604048328492474
Position 216: 0.0008295735088659678
Position 1716: 0.0008160099547735198
Position 1431: 0.0006557480397499465
Position 2605: 0.0006502692532400231
Position 2808: 0.0005902951361668089
Position 3825: 0.0005840085455618928
Position 980: 0.0005267558041511994
Position 2081: 0.00043207642829249266
Position 3081: 0.00040120508704228085
Position 811: 0.00038678582806767476
Position 903: 0.00033288673801290926
Position 577: 0.0003057115322772139
Position 741: 0.0002813529009264063
Position 1539: 0.0002748093385323882
Position 298: 0.0002568286998154402
Position 779: 0.00025305895713659325
Position 263: 0.0002461828785279707
Position 3243: 0.00023673680380024197
Position 1495: 0.0002223464850581567
Position 1042: 0.0002048893300552763
Position 1560: 0.00019459164593297189
Position 1292: 0.00018292985760012614
Position 1732: 0.0001821132537343394
Position 679: 0.00017347509159423984
Position 1365: 0.00015182133643508347
Position 1073: 8.944712464528707e-05
Position 814: 8.060949541029879e-05
Position 986: 7.545311282748959e-05
Position 2024: 7.451113687291383e-05
Position 1907: 7.443832726303976e-05
Position 134: 7.155603431935724e-05
Position 1525: 5.2700389290602636e-05
Position 1746: 4.6872887626824534e-05
Position 1462: 4.2891084577187396e-05
Position 1079: 3.842334073456389e-05
