Gene = aurB
index = 1616
Annotated 5SS: [ 251 1024]
Annotated 3SS: [ 305 1083]
SMsplice 5SS: [ 251 1024]
SMsplice 3SS: [ 305 1083]
top_k =  500
Partition function (log Z): -2.2111419671228734

Sorted 5' Splice Sites (High to Low Probability):
Position 1024: 0.9779822388013812
Position 251: 0.974166865002762
Position 255: 0.002568661835027709
Position 177: 0.0005882660861164411
Position 1243: 0.0005793676087111379
Position 764: 0.0004489596539281507
Position 463: 0.0004483504598905459
Position 418: 0.0004241517990168302
Position 642: 0.0003983465378722384
Position 1225: 0.0001895271083483989
Position 212: 0.00017481731519165093
Position 633: 0.0001475839587877927
Position 1232: 0.00013713597666251872
Position 876: 0.00011851854594842496
Position 1241: 8.508668505888141e-05
Position 655: 5.5416560988308866e-05
Position 691: 4.0360922535065734e-05
Position 1028: 2.760704455761209e-05
Position 227: 1.9962970722184787e-05
Position 570: 1.8222232947274134e-05
Position 900: 1.5343294639466988e-05
Position 458: 1.2899182421448989e-05
Position 838: 1.2832188163912376e-05
Position 768: 1.0232001559557143e-05
Position 528: 7.95108723125518e-06
Position 865: 5.61333811259626e-06
Position 873: 4.690746237937234e-06
Position 1144: 4.603738521977337e-06
Position 451: 3.3699450926411317e-06
Position 486: 1.8234325637616726e-06
Position 406: 1.6072568831777872e-06
Position 914: 1.2423526962628334e-06
Position 274: 9.816990675230314e-07
Position 599: 8.838161378181789e-07
Position 108: 7.530919787812675e-07
Position 423: 6.367170102472281e-07
Position 993: 5.670032524797501e-07
Position 585: 5.103509338896741e-07
Position 804: 4.3200632542037845e-07
Position 1126: 3.461298726419309e-07
Position 891: 3.160749837017503e-07
Position 1120: 2.3575426120642855e-07
Position 907: 2.232755333014009e-07
Position 927: 2.1055764536182016e-07
Position 904: 1.0366376633861043e-07
Position 677: 3.8096853868630755e-08
Position 1038: 2.0045447839758706e-08
Position 368: 1.0135932910188905e-11
Position 370: 4.115368001570052e-12
Position 284: 3.8701471526204545e-12
Position 317: 1.1235473228348318e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 305: 0.9768899861099337
Position 1083: 0.9732458995130463
Position 1066: 0.003413250550361559
Position 1095: 0.0013544546351034424
Position 1293: 0.0010217240131549675
Position 797: 0.0006775784534934875
Position 734: 0.0006131796275900384
Position 834: 0.00035430447897305425
Position 711: 0.0002802478626466877
Position 935: 0.0002772390665898598
Position 1259: 0.00016523560064877574
Position 1149: 0.00016392760689234816
Position 750: 3.1642489121098556e-05
Position 333: 2.6353829160891765e-05
Position 873: 2.100320148926193e-05
Position 462: 1.937532108090582e-05
Position 1104: 1.7648958834099596e-05
Position 717: 1.7259852717810237e-05
Position 317: 1.7230498720079065e-05
Position 792: 1.2917338450958028e-05
Position 417: 1.2184279829439018e-05
Position 456: 1.187450447073874e-05
Position 900: 1.0277226333936656e-05
Position 642: 1.0107148051844796e-05
Position 1100: 1.0027088368942955e-05
Position 999: 8.4820420850225e-06
Position 655: 7.802507298559587e-06
Position 480: 4.483501690623311e-06
Position 486: 4.2339117408526946e-06
Position 591: 1.0728506907131941e-06
Position 498: 9.027089976900449e-07
Position 430: 8.795574995475829e-07
Position 1176: 6.362100191885296e-07
Position 1008: 5.915958284553634e-07
Position 248: 5.660805602161415e-07
Position 953: 5.63390731272218e-07
Position 1182: 4.402098526527452e-07
Position 1166: 3.997547209639986e-07
Position 221: 3.557032380579331e-07
Position 576: 3.398760927451677e-07
Position 957: 2.3532162445287755e-07
Position 176: 2.141672011989578e-07
Position 435: 1.7946793386939416e-07
Position 927: 1.4936145918155893e-07
Position 540: 1.4773562800662938e-07
Position 1170: 9.538230765651536e-08
Position 474: 6.795804085322544e-08
Position 432: 5.122675290627946e-08
Position 1203: 4.786244080837167e-08
Position 582: 3.171699609927105e-08
Position 444: 1.4337126949843198e-08
Position 194: 1.616285694549433e-10
Position 185: 7.384330680034615e-11
Position 188: 3.2056708816150653e-11
Position 206: 6.656038996069823e-12
Position 268: 2.537591830830154e-12
Position 197: 2.2517503361330862e-12
Position 261: 1.4995713794531603e-13
Position 387: 1.478092169467051e-13
