Gene = eIF3e
index = 1684
Annotated 5SS: [198 685]
Annotated 3SS: [291 770]
SMsplice 5SS: [198 685]
SMsplice 3SS: [291 770]
top_k =  500
Partition function (log Z): -3.2097504937165593

Sorted 5' Splice Sites (High to Low Probability):
Position 685: 0.9898968826177161
Position 198: 0.6551584919019741
Position 506: 0.12936856934777785
Position 68: 0.042488252664027136
Position 929: 0.02691400595814373
Position 218: 0.00772765821043458
Position 91: 0.0036746181827055097
Position 689: 0.0024649974004205245
Position 247: 0.002318720961379193
Position 1262: 0.0018530094257136283
Position 232: 0.0015835278728024286
Position 1001: 0.0015401053090581766
Position 466: 0.0014257691593926205
Position 80: 0.0009515909203666742
Position 45: 0.000713282193220003
Position 939: 0.0005830656990929742
Position 1166: 0.0005015865339193564
Position 989: 0.00029777899315505
Position 1107: 0.00027906703127075853
Position 185: 0.0002509404773206872
Position 568: 0.00021896068550498882
Position 334: 0.00020802978351142768
Position 240: 0.0001404838428801881
Position 1221: 5.812182785406725e-05
Position 933: 5.533054280717073e-05
Position 1586: 4.260643401919131e-05
Position 1528: 4.101323490378128e-05
Position 1162: 3.976818668871595e-05
Position 603: 3.7501001364053726e-05
Position 648: 3.6384568484418166e-05
Position 29: 2.910162940479338e-05
Position 433: 2.47525051611088e-05
Position 1059: 2.1128852213909435e-05
Position 66: 1.8441794512800618e-05
Position 615: 1.5337646793107848e-05
Position 318: 1.5094608357933765e-05
Position 274: 1.1743537087755995e-05
Position 380: 8.876314013201427e-06
Position 983: 7.343726437601421e-06
Position 1130: 6.817177538240019e-06
Position 1266: 6.77534690374407e-06
Position 179: 6.67089876729451e-06
Position 1595: 5.9860305000592254e-06
Position 853: 4.417962977385419e-06
Position 276: 3.1289943892649484e-06
Position 415: 1.888283468919894e-06
Position 143: 2.7750452663176275e-07
Position 664: 1.291975281337893e-07
Position 14: 1.208566324571536e-07
Position 1042: 5.656825180688296e-08
Position 1027: 2.9757671095662642e-08
Position 285: 2.7048882530877948e-08
Position 633: 2.702118968257747e-08
Position 535: 1.1477143076821336e-08
Position 1062: 5.258161711746911e-10
Position 669: 4.486204444986229e-10
Position 788: 8.360802243699968e-11
Position 1025: 2.3410745982788783e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 770: 0.9932826139274293
Position 291: 0.692572220257306
Position 567: 0.11132521741801704
Position 1019: 0.01938788440528023
Position 549: 0.010622146468371346
Position 143: 0.010008208906310693
Position 1062: 0.008485033896750054
Position 154: 0.008253364290263009
Position 552: 0.005347673766065534
Position 1316: 0.0041091716924019925
Position 797: 0.0008044132111055875
Position 1118: 0.0007107621131494815
Position 995: 0.0006225811522680238
Position 330: 0.0004999281717143645
Position 1094: 0.0004906820585882132
Position 1475: 0.0003974414520796923
Position 886: 0.00037326488349379575
Position 306: 0.0003492474174364536
Position 396: 0.00031083133373713306
Position 630: 0.0003046970743734687
Position 392: 0.0002970100221221994
Position 594: 0.0002783519404508692
Position 959: 0.0002625473865328094
Position 453: 0.00020342192070863817
Position 1106: 0.00019977849798644351
Position 303: 0.00019400371460396765
Position 736: 0.000174324800437443
Position 1187: 0.00015532101368175886
Position 1330: 0.00012499420278849798
Position 1418: 0.00012483707963779073
Position 1664: 0.00011532373081642025
Position 309: 0.00011344519879858826
Position 1478: 0.00010886276348787793
Position 378: 7.598703799162211e-05
Position 905: 5.2642448256718746e-05
Position 528: 4.2736359877649794e-05
Position 342: 3.62138877267228e-05
Position 459: 3.24998395482679e-05
Position 1160: 2.895427244323931e-05
Position 501: 2.5267518734873257e-05
Position 399: 2.2869902402232553e-05
Position 91: 1.8418919381565506e-05
Position 1457: 1.73318056144522e-05
Position 582: 1.534503155648465e-05
Position 896: 1.1524532067402835e-05
Position 1621: 9.432297858899133e-06
Position 420: 8.0614277902113e-06
Position 197: 7.647603441141617e-06
Position 1121: 7.355014873647195e-06
Position 573: 6.841853669404191e-06
Position 450: 5.813783081793497e-06
Position 99: 3.683941116261261e-06
Position 615: 3.5910494870897855e-06
Position 633: 3.050632152396356e-06
Position 483: 2.555884039591412e-06
Position 1595: 2.5195712782471873e-06
Position 179: 2.304363109563124e-06
Position 247: 2.039745691182604e-06
Position 465: 1.404391587867531e-06
Position 194: 1.2789433857563416e-06
Position 603: 6.038860686212547e-07
Position 426: 5.456372326757635e-07
Position 202: 1.3929871690927657e-07
Position 842: 2.454230099119863e-08
Position 318: 1.4541890414859367e-08
Position 214: 6.340675334247108e-10
Position 207: 2.006675918322357e-12
Position 240: 4.933735747430856e-15
