Gene = RanGAP
index = 1408
Annotated 5SS: [ 297 3327 4068 4640 4894]
Annotated 3SS: [2992 3385 4137 4716 4949]
SMsplice 5SS: [2478 3327 4068 4640 4894]
SMsplice 3SS: [2543 3385 4137 4716 4949]
top_k =  500
Partition function (log Z): 6.9884969421748275

Sorted 5' Splice Sites (High to Low Probability):
Position 4640: 0.9988870236837725
Position 3327: 0.9868970337565199
Position 4894: 0.9832800314139638
Position 4068: 0.9627332708870155
Position 2478: 0.5382695065567624
Position 289: 0.42212081607218
Position 2482: 0.3842666860427671
Position 4380: 0.261073909026588
Position 297: 0.25731735738574285
Position 2617: 0.2177077998582477
Position 444: 0.15612668411317387
Position 853: 0.12473823411618346
Position 2685: 0.11312987719859255
Position 2694: 0.10009400564195699
Position 2931: 0.08794416551127661
Position 1150: 0.0647078881128767
Position 3174: 0.05817726874507285
Position 440: 0.0447516469595556
Position 2613: 0.024752669209330516
Position 3749: 0.011075632497997841
Position 5266: 0.009941323015579501
Position 2672: 0.008232136761487057
Position 3179: 0.00808404438845791
Position 966: 0.0072605897075454185
Position 4197: 0.006848129355676919
Position 4283: 0.005530458925397142
Position 293: 0.0034847498859694333
Position 1144: 0.003478731718751921
Position 2823: 0.0033983438260221694
Position 3482: 0.0032347899246428424
Position 5276: 0.00322483577656702
Position 520: 0.001318422014508329
Position 3752: 0.001240171784264079
Position 4245: 0.0012105701870636473
Position 705: 0.0010461763382698433
Position 3833: 0.0009057419213383534
Position 4101: 0.0008933641004808951
Position 4072: 0.0008639904059432442
Position 5151: 0.0007139895254014172
Position 728: 0.000523585729803352
Position 247: 0.0005136650840022258
Position 4672: 0.0004792387512468923
Position 3299: 0.0004155614518497353
Position 270: 0.00039968683892163285
Position 114: 0.00039673852652382887
Position 42: 0.00039638618748001874
Position 416: 0.000373166617127109
Position 1154: 0.0003644822923699254
Position 266: 0.0003485639784768636
Position 217: 0.0003480133136987604
Position 2621: 0.00034624135027971784
Position 5273: 0.00025601773924193826
Position 4020: 0.0002518524300085587
Position 4658: 0.00021520760998502958
Position 3488: 0.00021429815063001755
Position 341: 0.00020954375464484317
Position 5054: 0.00020930089165686487
Position 4105: 0.00020158041302461947
Position 468: 0.00019050177907431446
Position 493: 0.00016463150950420235
Position 4888: 0.0001593009511937461
Position 3349: 0.00014527956845114185
Position 5219: 0.00014319761251089684
Position 1190: 0.00013735748277729146
Position 149: 0.0001364167349021742
Position 95: 0.00013247764013226494
Position 4279: 0.00012159908423736665
Position 5103: 0.0001159140642070548
Position 2668: 0.00011080813981192567
Position 3821: 0.00010709285746594587
Position 376: 9.710526982195016e-05
Position 2831: 9.619661362682035e-05
Position 5115: 9.185297438127742e-05
Position 685: 6.826704531285403e-05
Position 5131: 6.393185524911181e-05
Position 220: 6.272525139294957e-05
Position 1000: 6.0481866232970505e-05
Position 3860: 5.894927870588757e-05
Position 4277: 5.112442883086131e-05
Position 4644: 4.803768152302641e-05
Position 209: 3.517844346197469e-05
Position 657: 3.206045694620876e-05
Position 4582: 2.6719573024114307e-05
Position 5000: 2.361833702655176e-05
Position 4881: 2.307902512388039e-05
Position 5101: 1.897749134039741e-05
Position 301: 1.5580169152494505e-05
Position 5046: 1.55508053440267e-05
Position 146: 1.0900556275261545e-05
Position 4592: 9.677838773713851e-06
Position 255: 8.418115980724192e-06
Position 4808: 7.163553429915736e-06
Position 721: 6.9134294877478484e-06
Position 164: 6.42937080630054e-06
Position 959: 5.255727857209147e-06
Position 4933: 5.018501225025908e-06
Position 1003: 4.805968246400169e-06
Position 5033: 4.629548984850941e-06
Position 141: 4.284127138382277e-06
Position 510: 3.4927602390386155e-06
Position 403: 2.130170441099213e-06
Position 295: 1.991896842998169e-06
Position 4803: 1.9863418721382644e-06
Position 139: 1.4969545977128434e-06
Position 4663: 1.4275384179870348e-06
Position 699: 9.798120029122727e-07
Position 397: 9.465520950054662e-07
Position 911: 5.6115972356873e-07
Position 328: 4.5659572208385837e-07
Position 395: 4.156410139452933e-07
Position 644: 2.6032018400707545e-07
Position 3691: 1.5193383082354357e-07
Position 19: 1.3694764087469972e-07
Position 129: 8.838466181051445e-08
Position 120: 5.887850899940589e-08
Position 4928: 1.6971532305764036e-08
Position 878: 1.2073612243989374e-08
Position 118: 8.007607421075907e-09
Position 4944: 3.8973715867363523e-10
Position 565: 1.60760549804831e-10
Position 4493: 5.900426587527833e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 4716: 0.997780057955368
Position 4137: 0.9879838210218103
Position 4949: 0.9791198451341485
Position 2543: 0.8924745898618424
Position 3385: 0.8365201993157693
Position 2992: 0.2665525009816567
Position 2313: 0.24549354598109407
Position 589: 0.238498829693725
