Gene = Las
index = 1250
Annotated 5SS: [ 152  544  914 1029]
Annotated 3SS: [ 210  756  970 1083]
SMsplice 5SS: [ 544  914 1029]
SMsplice 3SS: [ 756  970 1083]
top_k =  500
Partition function (log Z): -0.7075152885429581

Sorted 5' Splice Sites (High to Low Probability):
Position 1029: 0.9834885066960811
Position 914: 0.983331910779014
Position 544: 0.8205560087430566
Position 152: 0.20073036228068872
Position 561: 0.03657306195416572
Position 1395: 0.012092776176396605
Position 17: 0.0040891080053605915
Position 171: 0.003863169457117864
Position 327: 0.003070388840244194
Position 94: 0.002958874167809112
Position 140: 0.0024918774356674097
Position 595: 0.0017969923125961654
Position 78: 0.0015766619805779578
Position 387: 0.0012085433642992202
Position 1560: 0.001055269611625796
Position 1615: 0.0010411094334700068
Position 38: 0.0007543951637802133
Position 1699: 0.0007204116879355423
Position 1196: 0.0005820095289388134
Position 269: 0.000567726302662353
Position 1520: 0.0003936402327985363
Position 1430: 0.00035866092644204695
Position 624: 0.0002932041275078355
Position 1376: 0.0002568376360659529
Position 7: 0.0002232311526085677
Position 1217: 0.00021608862409269622
Position 1689: 0.0001995901713827793
Position 318: 0.00019713285248641022
Position 1399: 0.00017286108311235251
Position 918: 0.00016151160721991953
Position 832: 0.00011284739694974152
Position 1256: 9.456141603730955e-05
Position 889: 7.506528184228446e-05
Position 498: 7.451946865834542e-05
Position 406: 7.2772668264881e-05
Position 1658: 7.239531620058555e-05
Position 60: 7.022585845708133e-05
Position 1601: 5.792365959216441e-05
Position 1009: 4.846242778571099e-05
Position 1138: 4.781142932507242e-05
Position 901: 4.444903344695782e-05
Position 658: 4.223693167817331e-05
Position 212: 2.8109324443888915e-05
Position 251: 2.1053872925700965e-05
Position 1456: 1.9169185714571782e-05
Position 143: 1.5452153945693948e-05
Position 1491: 6.304332709184267e-06
Position 463: 6.268539571665766e-06
Position 1692: 5.285225696672994e-06
Position 983: 5.020802866744703e-06
Position 482: 4.90520768325776e-06
Position 926: 4.233008804813765e-06
Position 1442: 3.7402357395592556e-06
Position 257: 3.2738321681670596e-06
Position 1638: 3.1565008176158934e-06
Position 480: 3.1534526734071528e-06
Position 1498: 3.0027842878191475e-06
Position 289: 2.4501016873050347e-06
Position 785: 2.079628862360738e-06
Position 799: 1.6154806915586508e-06
Position 1546: 1.459252524647893e-06
Position 1385: 1.2850503189866707e-06
Position 1302: 1.0826200950594731e-06
Position 844: 7.250664100079291e-07
Position 1140: 5.757932396073921e-07
Position 103: 5.084577084086519e-07
Position 929: 3.683122999686317e-07
Position 1054: 3.220044533153205e-08
Position 1142: 2.3007758810717226e-08
Position 98: 1.9239656484855825e-08
Position 1172: 1.9203178605405123e-11
Position 1112: 3.9355774498052396e-12
Position 1105: 7.500032323079216e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 970: 0.9781770569393105
Position 1083: 0.9780806628092475
Position 756: 0.7123733367328366
Position 210: 0.17877565612963872
Position 616: 0.08610328708400508
Position 685: 0.06374779046037954
Position 294: 0.024649946659233684
Position 1752: 0.008555936841323537
Position 779: 0.005838622987019929
Position 979: 0.005712398177881058
Position 1505: 0.00509694834822858
Position 1456: 0.004931354348199723
Position 1112: 0.002453383560634152
Position 237: 0.001565123795920647
Position 621: 0.0015575537902849511
Position 658: 0.0011834147786381202
Position 267: 0.000883448648455587
Position 692: 0.0008382521767549022
Position 946: 0.0006113375669099443
Position 1300: 0.000604905973587632
Position 1190: 0.0005539564756424768
Position 591: 0.0004620279864278996
Position 901: 0.00040161200680713643
Position 1161: 0.00039909587638955015
Position 853: 0.0003473499548054479
Position 432: 0.0002825455257949643
Position 393: 0.0002816638640723972
Position 1273: 0.00016699395950982407
Position 1638: 0.00014397040139469108
Position 1453: 0.0001231415080470099
Position 1709: 0.00011703944224670035
Position 1462: 0.000116695551579835
Position 788: 0.00010458569725296903
Position 1127: 8.105371709774303e-05
Position 1147: 7.295478111938149e-05
Position 156: 7.020497065988052e-05
Position 595: 6.982900498041666e-05
Position 1429: 5.704415833025769e-05
Position 1105: 5.2488049777129815e-05
Position 1268: 4.677082078043172e-05
Position 1527: 3.808653478707839e-05
Position 1204: 3.411371012560599e-05
Position 311: 3.285985902470294e-05
Position 438: 2.562778708219202e-05
Position 143: 2.0894984656883624e-05
Position 1023: 1.8810510724164506e-05
Position 1509: 1.743487251134638e-05
Position 354: 1.3246150827365928e-05
Position 1246: 1.267880908143185e-05
Position 1357: 1.2208111183360787e-05
Position 327: 9.279594523372033e-06
Position 171: 8.73245692248852e-06
Position 1138: 8.354885067346486e-06
Position 1399: 6.728918629402581e-06
Position 1379: 4.567121455323563e-06
Position 1408: 4.068142095471934e-06
Position 363: 3.0574694346937084e-06
Position 1612: 2.8901701574160816e-06
Position 1582: 2.3153137382925607e-06
Position 234: 1.992854237308917e-06
Position 130: 1.7041729289598732e-06
Position 366: 1.6903732110400016e-06
Position 471: 1.489226587383987e-06
Position 453: 1.4288413494852069e-06
Position 1663: 1.343853462902445e-06
Position 474: 9.896487345049788e-07
Position 339: 5.925158451761406e-07
Position 360: 5.829900172587614e-07
Position 243: 1.512306729445544e-07
Position 993: 1.1796208669190241e-07
Position 1275: 4.2333322133367325e-08
Position 1256: 1.5290985562102833e-08
Position 532: 3.573846912940591e-09
Position 246: 3.1002380631996613e-09
Position 498: 8.444765871732515e-10
Position 110: 1.425390698883527e-10
Position 528: 1.2506417673255007e-12
Position 318: 5.27411097882979e-14
