Gene = pim
index = 1837
Annotated 5SS: [150 537]
Annotated 3SS: [212 599]
SMsplice 5SS: [150 537]
SMsplice 3SS: [212 599]
top_k =  500
Partition function (log Z): 1.4875451240849846

Sorted 5' Splice Sites (High to Low Probability):
Position 150: 0.9937815882976059
Position 537: 0.9930829684269228
Position 418: 0.07330958026432544
Position 273: 0.012194642586666086
Position 413: 0.010989879120770565
Position 888: 0.0018675759255248252
Position 164: 0.001747850390581549
Position 824: 0.0014839265991072241
Position 345: 0.0010063111203736292
Position 541: 0.0006272824722069675
Position 287: 0.0004364311851490196
Position 392: 0.0002885606513419968
Position 865: 0.00021274696781808572
Position 254: 0.0001446201082186608
Position 961: 0.00013382410688631146
Position 516: 9.38955526818446e-05
Position 850: 4.8103287404599126e-05
Position 181: 3.625513519303484e-05
Position 389: 2.218186455513657e-05
Position 896: 1.6471114728766667e-05
Position 868: 1.5793627228241543e-05
Position 154: 1.300641574006462e-05
Position 14: 1.1425921610776286e-05
Position 842: 9.381110727632267e-06
Position 185: 8.20999218796452e-06
Position 348: 7.603094653141931e-06
Position 452: 4.345263564026977e-06
Position 616: 4.304464843812911e-06
Position 984: 8.022578522626455e-07
Position 175: 6.492122887892999e-07
Position 239: 5.949432724411264e-07
Position 476: 4.820723804979128e-07
Position 484: 4.810575645739605e-07
Position 473: 3.883648256364329e-07
Position 316: 1.9108610323955944e-07
Position 23: 9.619551350196663e-08
Position 212: 4.454640250339554e-08
Position 179: 3.6102689096547845e-08
Position 1019: 3.0574851043008246e-08
Position 576: 8.935284958247959e-10
Position 602: 1.6949249247069388e-10
Position 588: 5.291977587186992e-11
Position 585: 1.2605151644015633e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 212: 0.9943634030554978
Position 599: 0.992498567843914
Position 471: 0.08363763242337063
Position 324: 0.00741741984414841
Position 343: 0.004718179996409412
Position 952: 0.0019303681074864332
Position 883: 0.0017286169796501335
Position 608: 0.0012084584454612867
Position 585: 0.001050980819365841
Position 262: 0.0006694823638111989
Position 348: 0.00040764746932767126
Position 399: 0.00031140726338383946
Position 699: 0.00020276298124087257
Position 218: 0.0001910376663815539
Position 1019: 0.0001317820147000891
Position 1022: 0.0001285677430401755
Position 887: 0.00011775685437072424
Position 716: 0.00011529446483198422
Position 373: 9.071058035655869e-05
Position 1051: 8.128551580108628e-05
Position 196: 6.539811463111058e-05
Position 1028: 6.508564847682603e-05
Position 932: 6.495340253897662e-05
Position 432: 6.319457769693198e-05
Position 749: 6.051033690515471e-05
Position 868: 5.435915901555713e-05
Position 396: 4.8163785950072445e-05
Position 961: 4.165994925374887e-05
Position 835: 3.820329982297271e-05
Position 531: 3.5226711661853415e-05
Position 511: 1.514875639000092e-05
Position 629: 1.1247355946751944e-05
Position 523: 8.966675232774386e-06
Position 1041: 7.837455690208266e-06
Position 473: 4.531149331264094e-06
Position 417: 3.6003772066545756e-06
Position 358: 2.4874188680096675e-06
Position 641: 2.4624176257106422e-06
Position 1086: 1.9913173477432916e-06
Position 610: 1.415692232993358e-06
Position 65: 1.4141535531485316e-06
Position 239: 6.986907957849818e-07
Position 934: 6.33860114750757e-07
Position 850: 5.978282581682001e-07
Position 118: 5.209473987284326e-07
Position 815: 4.154258351861013e-07
Position 767: 2.4911074012768616e-07
Position 535: 1.727248271091177e-07
Position 163: 2.1484219625054506e-08
Position 413: 1.416910178842946e-08
Position 409: 9.433683001038846e-09
Position 185: 5.775993906044107e-09
Position 130: 2.9551967529223275e-09
Position 154: 1.6814383450395583e-11
