Gene = cype
index = 1662
Annotated 5SS: [ 60 450]
Annotated 3SS: [275 516]
SMsplice 5SS: [ 60 450]
SMsplice 3SS: [275 516]
top_k =  500
Partition function (log Z): -3.2597127366496235

Sorted 5' Splice Sites (High to Low Probability):
Position 450: 0.9852266803238425
Position 60: 0.7645439680087385
Position 124: 0.08146089769969211
Position 76: 0.011703540565040927
Position 227: 0.005117212863070842
Position 385: 0.0017595018976012246
Position 603: 0.0011943225140888876
Position 96: 0.0007466561372944547
Position 186: 0.0005812035810717166
Position 64: 0.00055057644748175
Position 25: 0.0003903361616146648
Position 677: 0.0003871045822445974
Position 647: 0.00032834655979150826
Position 105: 0.00031852857313721656
Position 409: 0.0002910310328778985
Position 606: 0.0001764904910488165
Position 636: 0.000173539970975879
Position 196: 0.00014651631538081423
Position 382: 7.932115071793696e-05
Position 612: 3.597157717793458e-05
Position 18: 1.4670883254702393e-05
Position 143: 1.3015948214024882e-05
Position 625: 1.2632271897496085e-05
Position 361: 1.0875962380335762e-05
Position 622: 9.120570228491715e-06
Position 586: 7.783286447479892e-06
Position 520: 7.488076266274097e-06
Position 564: 6.373095646881152e-06
Position 561: 3.5168630690780235e-06
Position 256: 8.23403908074287e-07
Position 571: 4.4437279892213013e-07
Position 671: 1.8372963139729768e-07
Position 681: 1.0250679527750056e-07
Position 535: 5.294153916060257e-08
Position 316: 3.443365964294493e-11
Position 323: 7.453572736182197e-12
Position 495: 8.258597737786806e-14
Position 480: 4.8296591661594457e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 516: 0.9902334856473215
Position 275: 0.8567883974797553
Position 143: 0.002086797348725981
Position 295: 0.0019915757910515157
Position 664: 0.0012078428335024164
Position 207: 0.0008862007455062051
Position 704: 0.0006449548891506396
Position 348: 0.0003903859479739964
Position 729: 0.0002487677028372502
Position 124: 0.00022501851445106075
Position 723: 0.00018850304701940301
Position 186: 0.00010109288491485919
Position 238: 9.163482439035157e-05
Position 671: 8.316153959762206e-05
Position 102: 7.872570621612675e-05
Position 459: 2.1087952904811305e-05
Position 628: 1.1992748758362808e-05
Position 520: 1.1378521297715503e-05
Position 580: 1.7426711305364403e-06
Position 690: 1.3231727985240683e-06
Position 571: 7.529584167421084e-07
Position 423: 6.157497231248306e-07
Position 176: 5.873668135225656e-07
Position 606: 5.292353275296194e-07
Position 426: 5.100476025607608e-07
Position 535: 4.98159294078603e-07
Position 553: 4.46516240263237e-07
Position 603: 3.739142266543295e-07
Position 75: 3.558080284859354e-07
Position 634: 9.040348188941729e-08
Position 218: 2.661841764386637e-10
Position 64: 1.234341342592794e-11
