Gene = ghi
index = 1715
Annotated 5SS: [158 295]
Annotated 3SS: [248 421]
SMsplice 5SS: [158]
SMsplice 3SS: [248]
top_k =  500
Partition function (log Z): -6.626181504824541

Sorted 5' Splice Sites (High to Low Probability):
Position 158: 0.8128502262345072
Position 295: 0.3512712986165133
Position 6: 0.14274853683187153
Position 21: 0.11084766699368172
Position 162: 0.017094433277575607
Position 275: 0.0038486877700904592
Position 10: 0.0032360886041816203
Position 559: 0.0032290606261182048
Position 267: 0.001856382732555447
Position 598: 0.0010824060705751132
Position 339: 0.000926400291809831
Position 168: 0.0008484370956693959
Position 139: 0.0006047500190432462
Position 301: 0.000437902877036052
Position 456: 0.00038334312555198495
Position 817: 0.0003047387601702935
Position 602: 0.00029326317885869883
Position 311: 0.0002635192677562927
Position 637: 0.0001992163264496357
Position 361: 0.00018513160561608416
Position 260: 0.00016684373525956185
Position 848: 0.0001378645376319992
Position 62: 0.00013702248517846857
Position 132: 0.00011115745622841046
Position 509: 0.00011092215732277053
Position 436: 0.00010060094062614398
Position 249: 5.854977369103298e-05
Position 395: 5.573845043967804e-05
Position 643: 4.37854792837677e-05
Position 538: 3.077279573860051e-05
Position 831: 2.2443256625608423e-05
Position 142: 1.0533539012050001e-05
Position 299: 7.50699418514321e-06
Position 834: 7.382763896429639e-06
Position 841: 4.4441220645674265e-06
Position 119: 1.0335044887813973e-06
Position 80: 3.9237669329096587e-07
Position 78: 3.268579984588823e-07
Position 66: 2.1603877146810778e-08
Position 411: 1.92409132029004e-08
Position 448: 2.424651929991819e-09
Position 424: 1.9137794668196022e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 248: 0.6966422261677628
Position 421: 0.47545873850778136
Position 78: 0.25417801438924614
Position 393: 0.010031325594918896
Position 632: 0.007305022146343121
Position 710: 0.0032115486922273027
Position 323: 0.0018291706505055585
Position 339: 0.00150034674536383
Position 579: 0.0013436128309729945
Position 509: 0.0006414911192170437
Position 201: 0.0005724358328754925
Position 892: 0.00044470039867068405
Position 902: 0.00010082050843050604
Position 132: 9.049555671351985e-05
Position 544: 8.243096322712421e-05
Position 716: 5.261946636566107e-05
Position 590: 2.1775287447856405e-05
Position 375: 1.1131977891682578e-05
Position 275: 5.54755195017535e-07
Position 257: 3.8918143912748743e-07
Position 281: 2.991791119931103e-09
Position 299: 7.004882708647625e-10
Position 198: 5.279410176836095e-10
