Gene = nbs
index = 1814
Annotated 5SS: [  90  977 2569]
Annotated 3SS: [ 154 1033 2628]
SMsplice 5SS: [ 977 1583 2321 2569]
SMsplice 3SS: [1033 2110 2368 2628]
top_k =  500
Partition function (log Z): -5.4482522454039435

Sorted 5' Splice Sites (High to Low Probability):
Position 2569: 0.9902909803376254
Position 2321: 0.565238796652424
Position 1583: 0.40609207252412427
Position 977: 0.3768278731191015
Position 94: 0.22865546734843428
Position 918: 0.14225412820859404
Position 975: 0.12275963528846155
Position 962: 0.11761517089361427
Position 373: 0.05809858929061563
Position 1337: 0.05022594180902254
Position 1612: 0.029647201608245938
Position 448: 0.026819307767861587
Position 103: 0.019873793650085663
Position 2271: 0.017563791401745046
Position 819: 0.013681679716073205
Position 73: 0.008168273999962158
Position 2288: 0.00795266996683492
Position 1283: 0.0077933118523959635
Position 872: 0.006503937878456195
Position 2045: 0.005351144897591014
Position 1874: 0.004785141314597078
Position 1264: 0.004758008707769419
Position 1168: 0.00393854400732452
Position 904: 0.003639632924199395
Position 462: 0.0034332601139156595
Position 26: 0.0031376881575774576
Position 1261: 0.003026184431735865
Position 2318: 0.0027579134883534084
Position 1954: 0.0023366738480029604
Position 761: 0.002214611861843291
Position 899: 0.0014470485523084289
Position 1164: 0.0014366960516008073
Position 54: 0.0013306082030067666
Position 165: 0.0013123295916493184
Position 1134: 0.0012134152101056822
Position 1071: 0.0010663416242700909
Position 1558: 0.0009092125203904341
Position 1519: 0.0008176942153037071
Position 1058: 0.0007955619495296504
Position 595: 0.0007928244143597496
Position 1395: 0.0007545591351549811
Position 1903: 0.0007373923969299091
Position 1008: 0.0006895926681821464
Position 2559: 0.0006158865530147302
Position 60: 0.0005843446903096244
Position 2690: 0.0005077417148200287
Position 466: 0.0004909706383440829
Position 589: 0.0004328474834079201
Position 2563: 0.0003651884916707752
Position 2695: 0.00028535613342831506
Position 541: 0.0002650615210083898
Position 874: 0.00019594472223375566
Position 190: 0.000162117549411501
Position 403: 0.00012144436585534755
Position 910: 0.00010096089851353862
Position 242: 9.998954484709524e-05
Position 829: 9.866629740503462e-05
Position 77: 8.243459509983084e-05
Position 1052: 8.107270304837361e-05
Position 564: 7.886662912513124e-05
Position 45: 6.368869072909155e-05
Position 125: 5.506054467073849e-05
Position 1018: 5.3362229952378816e-05
Position 601: 3.687530948369685e-05
Position 499: 3.549204165638926e-05
Position 852: 3.3819682847409336e-05
Position 248: 3.319394596175649e-05
Position 226: 2.4023273235010152e-05
Position 640: 2.1515107605637318e-05
Position 1002: 1.3320664556303505e-05
Position 922: 1.1329852560795703e-05
Position 832: 7.822891095285497e-06
Position 752: 6.910275164234062e-06
Position 790: 4.543921299035197e-06
Position 171: 4.2714088619887e-06
Position 2455: 3.6476848161956085e-06
Position 2573: 3.5540908670044283e-06
Position 169: 2.767245316586293e-06
Position 192: 1.083212277045146e-06
Position 936: 6.711754309724824e-07
Position 691: 4.4680075632363764e-08
Position 767: 2.2458549560158477e-08
Position 174: 1.3537567147898574e-08
Position 203: 5.998104506592513e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2628: 0.9598814727263729
Position 1033: 0.7173289637063169
Position 2368: 0.580742342256062
Position 2110: 0.547692167612112
Position 154: 0.24323763612107407
Position 2374: 0.04774116510205572
Position 1047: 0.03623529570366245
Position 2652: 0.0310557858454468
Position 1111: 0.024485145554698506
Position 1887: 0.017867547963669347
Position 2403: 0.014318738044299898
Position 447: 0.004241200403315407
Position 189: 0.0037069510121257644
Position 2380: 0.0036821125183050148
Position 2192: 0.0036180113867701515
Position 234: 0.0027487988317211466
Position 1068: 0.0025312788941467845
Position 2493: 0.0023541284997542784
Position 1666: 0.002337984729357516
Position 1000: 0.001312451573065062
Position 504: 0.0011036812344011337
Position 1675: 0.0009551856371963267
Position 2746: 0.0008343700067257583
Position 2114: 0.0007546591610491953
Position 2336: 0.0006145634981225802
Position 1320: 0.0005446768477682689
Position 2670: 0.0003583143883912425
Position 1801: 0.00035061534662311945
Position 351: 0.00020957008290853693
Position 739: 0.0001482474075291404
Position 829: 0.0001280605614663086
Position 1446: 0.00012682090475302606
Position 165: 0.000117994815622726
Position 1341: 0.00010846332571278557
Position 1641: 7.451704498469765e-05
Position 672: 3.9068674950646676e-05
Position 89: 3.537823673311895e-05
Position 663: 3.4674308277221764e-05
Position 783: 3.121855596611171e-05
Position 699: 1.2258187277747894e-05
Position 264: 9.880387483656469e-06
Position 696: 5.644439324276587e-06
Position 363: 4.753424306746276e-06
Position 589: 2.9762876580935524e-06
Position 115: 2.440247684499169e-06
Position 1401: 1.7750093858356594e-06
Position 633: 1.599554333159734e-06
Position 125: 1.6352438756406477e-08
Position 242: 1.4824929130585874e-08
Position 507: 1.1511350829250397e-08
Position 283: 4.463759860464911e-09
Position 326: 2.664060152256514e-09
Position 312: 1.2094486697024264e-09
Position 372: 4.959842926197818e-10
Position 248: 3.633672949398123e-10
Position 117: 1.0730083960751129e-10
