Gene = GABA-B-R3
index = 1174
Annotated 5SS: [ 456 3786 4686 5352 6136 7086 7485 7994 9178 9605]
Annotated 3SS: [2785 4541 5075 5883 6722 7182 7854 8901 9285 9733]
SMsplice 5SS: [ 760 4686 5352 6136 7086 7485 7994 9178 9605]
SMsplice 3SS: [4541 5225 5883 6722 7182 7854 8378 9285 9733]
top_k =  500
Partition function (log Z): 13.450829305590823

Sorted 5' Splice Sites (High to Low Probability):
Position 9178: 0.9975909494075214
Position 7086: 0.9957443209070366
Position 4686: 0.9854277340887033
Position 6136: 0.9805199690463163
Position 7994: 0.979373927499705
Position 9605: 0.9440280496716976
Position 7485: 0.8931911317705304
Position 5352: 0.8864948409836211
Position 3786: 0.5298678165992268
Position 760: 0.31929829523839637
Position 9361: 0.29699961742305003
Position 247: 0.1501815663543023
Position 10714: 0.14264003774498726
Position 859: 0.10518409666299113
Position 11151: 0.09633080455558655
Position 11774: 0.08243877409720894
Position 1544: 0.06821597029533386
Position 9997: 0.05412632322078399
Position 7342: 0.04862706627239815
Position 568: 0.046604487925304236
Position 9622: 0.042063267013348615
Position 5618: 0.03793513462144581
Position 10481: 0.03682007069148792
Position 6643: 0.03437441924312342
Position 703: 0.031138518404338848
Position 8277: 0.02847886531190756
Position 2005: 0.027120068363126523
Position 7497: 0.0242652361904999
Position 822: 0.024115134111097728
Position 699: 0.023228072495947768
Position 12061: 0.022077241420914516
Position 982: 0.021217346533651593
Position 1511: 0.01686476572015703
Position 243: 0.01586136518210672
Position 665: 0.01530076531968019
Position 10620: 0.014472786702900042
Position 4944: 0.014342286773025084
Position 8164: 0.014319659715954839
Position 11305: 0.013393370336639978
Position 764: 0.013315751964190681
Position 7704: 0.011522036655105329
Position 2584: 0.011102107332159925
Position 10031: 0.00983262145779585
Position 682: 0.009605252890072052
Position 9838: 0.008834381224548929
Position 8113: 0.008706548834304616
Position 2029: 0.007564007325991058
Position 266: 0.007486880501011502
Position 7778: 0.007089273666893829
Position 7742: 0.006647553538913903
Position 2491: 0.005890339659684566
Position 103: 0.0058290264212791446
Position 904: 0.005766681457082709
Position 6149: 0.005594672042518962
Position 9394: 0.00522582670504963
Position 7179: 0.004856743833605931
