Gene = G6P
index = 1173
Annotated 5SS: [ 157  381  954 1123]
Annotated 3SS: [ 215  454 1003 1170]
SMsplice 5SS: [ 381  954 1123]
SMsplice 3SS: [ 454 1003 1170]
top_k =  500
Partition function (log Z): 0.6042149828609926

Sorted 5' Splice Sites (High to Low Probability):
Position 954: 0.9911932524856306
Position 381: 0.9350569450906198
Position 1123: 0.8076772354527023
Position 157: 0.44120586759974884
Position 1333: 0.16848978555879304
Position 1322: 0.011026412246567833
Position 183: 0.0070980457098106485
Position 945: 0.004105992655142173
Position 385: 0.002656842693169196
Position 941: 0.002329267428321355
Position 800: 0.0011748098293435261
Position 1225: 0.0005991694481575576
Position 724: 0.0005735232674257286
Position 1307: 0.0003113676157746174
Position 302: 0.0002985041406454633
Position 720: 0.00029233737062195564
Position 1255: 0.00023262095351438668
Position 958: 0.00013772160428649312
Position 1277: 0.00013315187646096148
Position 1269: 0.00012209968412037363
Position 1264: 0.00010544901702049213
Position 1127: 0.00010258925489963814
Position 1337: 7.327912726476212e-05
Position 571: 6.401775474486523e-05
Position 1294: 6.39702132374134e-05
Position 695: 5.1941848002038337e-05
Position 896: 3.111530911213901e-05
Position 1046: 2.9146022753993166e-05
Position 608: 2.8972273875245836e-05
Position 299: 2.24452207619961e-05
Position 253: 2.2008443335537294e-05
Position 902: 1.6932862637142423e-05
Position 1217: 1.4426345172674789e-05
Position 398: 1.2070130958470413e-05
Position 606: 1.0264773912803798e-05
Position 1015: 8.697694416579982e-06
Position 1067: 5.874571900547063e-06
Position 909: 5.6090536158680785e-06
Position 42: 4.658669614446357e-06
Position 1229: 3.9963226911085104e-06
Position 784: 3.830795092468958e-06
Position 221: 3.0446447402963346e-06
Position 962: 2.9041663674024505e-06
Position 311: 2.5880344252316668e-06
Position 83: 2.543122503409392e-06
Position 103: 1.7736234901874483e-06
Position 825: 1.6234812170295006e-06
Position 830: 1.2134466212818643e-06
Position 516: 7.413811669504969e-07
Position 510: 7.319337015259312e-07
Position 276: 5.838477406660993e-07
Position 76: 4.610203441447528e-07
Position 513: 3.347316866412914e-07
Position 717: 3.0527302539130206e-07
Position 639: 2.702549513456072e-07
Position 612: 2.336665853536212e-07
Position 758: 1.7864398906996535e-07
Position 544: 1.5001331180100382e-07
Position 861: 1.4921287740940597e-07
Position 1017: 9.903729237706123e-08
Position 1050: 5.210295533288013e-08
Position 482: 1.0739566209048242e-08
Position 325: 1.0478482042039551e-09
Position 497: 9.674621016500615e-10
Position 479: 8.266020665898619e-10
Position 900: 3.773073817518192e-12
Position 629: 1.866449046427439e-12
Position 472: 1.8098266138254934e-12
Position 850: 1.6867944921312757e-12
Position 665: 5.325826601483817e-13
Position 770: 2.1417903882549e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1003: 0.9611223800496872
Position 454: 0.9117065023807667
Position 1170: 0.7487670449917325
Position 215: 0.3755358287152969
Position 1381: 0.24193478635991353
Position 251: 0.061068118044560527
Position 1022: 0.01904243961148509
Position 497: 0.013296242930680218
Position 1071: 0.011988596855935901
Position 521: 0.005437053212293618
Position 311: 0.005263594049733749
Position 221: 0.005129270175035552
Position 867: 0.004160340909020884
Position 1322: 0.0016400870374315125
Position 770: 0.0013710659269203663
Position 551: 0.0013520361480595159
Position 1046: 0.0009596147094278854
Position 799: 0.0008934507781019082
Position 315: 0.0007500986589193607
Position 1264: 0.0006347454494614308
Position 1388: 0.000606089273869033
Position 1261: 0.0005321484120066647
Position 1354: 0.0004912162792279374
Position 818: 0.0004611162843163059
Position 356: 0.00044435368210765403
Position 492: 0.0003652637422149426
Position 1359: 8.062724419321324e-05
Position 230: 5.820663417972235e-05
Position 1225: 5.3364348027792565e-05
Position 544: 4.774182862123347e-05
Position 1120: 3.448727935521612e-05
Position 900: 2.9017390020236116e-05
Position 1073: 2.483591877713285e-05
Position 830: 2.2826591572803237e-05
Position 467: 2.2165703419123363e-05
Position 1418: 1.903687115679486e-05
Position 914: 1.8838026201965648e-05
Position 1302: 1.6442624966273194e-05
Position 885: 1.5505692240250593e-05
Position 1333: 1.2278410957685942e-05
Position 264: 4.217488599743334e-06
Position 388: 2.137493258547305e-06
Position 1361: 9.030742747116329e-07
Position 190: 7.862586035426168e-08
Position 200: 3.22679479202497e-08
Position 151: 1.5389140100308657e-08
Position 198: 6.51531199043889e-11
Position 385: 6.607867418320766e-12
Position 127: 3.2599354645999823e-12
Position 393: 2.316555779099359e-13
