Gene = tam
index = 1907
Annotated 5SS: [2038 2916]
Annotated 3SS: [2092 2974]
SMsplice 5SS: [ 183 2038 2916]
SMsplice 3SS: [1831 2092 2974]
top_k =  500
Partition function (log Z): -3.76039042796366

Sorted 5' Splice Sites (High to Low Probability):
Position 2916: 0.9785658628900705
Position 2038: 0.9510969948413776
Position 183: 0.3925097106147933
Position 2660: 0.2193890332551512
Position 711: 0.07893580905672222
Position 846: 0.06511388607207651
Position 1134: 0.05523853559767798
Position 2042: 0.02980464517100138
Position 2521: 0.02556772627560445
Position 917: 0.018977905998023598
Position 3255: 0.017773478027812446
Position 34: 0.014771090312575367
Position 252: 0.009503700274677635
Position 339: 0.00874027478830737
Position 2615: 0.006223230703841533
Position 3033: 0.005777560394391246
Position 707: 0.005527128513149115
Position 1318: 0.004420311360717636
Position 642: 0.003849669900275591
Position 104: 0.0032278463082114914
Position 2176: 0.0025255883492885526
Position 701: 0.0022034220467407615
Position 1056: 0.002156383243627388
Position 117: 0.002086651395319812
Position 3216: 0.0020064035479001262
Position 644: 0.0012962749476024811
Position 1220: 0.0012180468234280122
Position 2324: 0.001105461395090485
Position 20: 0.0009671124605310503
Position 944: 0.0009183201867612479
Position 2639: 0.0007875230450301839
Position 324: 0.0007388167378515432
Position 382: 0.0007305148251522815
Position 3285: 0.0007179175054945273
Position 2731: 0.0006131847343751715
Position 3724: 0.0005788589058785672
Position 1075: 0.000528570175376961
Position 1959: 0.0003953426498987776
Position 2762: 0.0003250232125677938
Position 2789: 0.00031294709327679346
Position 948: 0.0003048417913999431
Position 3604: 0.00029937958762399206
Position 3600: 0.0002954318360944009
Position 3226: 0.0002448625028261423
Position 2920: 0.00021372855670615911
Position 3213: 0.00019118712348867976
Position 3397: 0.00013565255189851316
Position 2030: 9.441135927984175e-05
Position 2332: 8.624620395240179e-05
Position 1954: 7.735443713138921e-05
Position 1138: 7.357228713402593e-05
Position 353: 7.214967707575667e-05
Position 2624: 7.167560781885171e-05
Position 2419: 4.739189708700336e-05
Position 2335: 4.123607719560278e-05
Position 1927: 3.256957223654231e-05
Position 3628: 2.2018754024195663e-05
Position 369: 2.1945857582550872e-05
Position 147: 1.3178078731108243e-05
Position 474: 1.2566807732019377e-05
Position 3608: 9.29619055243883e-06
Position 2211: 8.028112732478087e-06
Position 532: 2.794075693019597e-06
Position 684: 2.7504050590995588e-06
Position 246: 2.0711902923981594e-06
Position 890: 1.5940636763798437e-06
Position 2116: 1.5183424065820739e-06
Position 600: 1.4809739349995702e-06
Position 2237: 1.4578380349893357e-06
Position 393: 1.1154968246117072e-06
Position 843: 8.552894904636683e-07
Position 407: 7.881847850774263e-07
Position 491: 6.669364021568717e-07
Position 22: 5.674875291845669e-07
Position 744: 5.053098321122511e-07
Position 648: 4.7097186724709014e-07
Position 210: 3.8382157065648795e-07
Position 507: 2.4256417106261173e-07
Position 165: 1.552848281237982e-07
Position 2889: 1.259526351995712e-07
Position 24: 1.2155035460711358e-07
Position 2537: 1.2108727538195153e-07
Position 45: 1.1626847650406237e-07
Position 2871: 1.1308343600562737e-07
Position 2066: 1.0159636519902747e-07
Position 1179: 9.949945017082249e-08
Position 2060: 7.640414293530772e-08
Position 142: 7.37847374880248e-08
Position 1361: 7.169480890576073e-08
Position 1559: 6.26605533571869e-08
Position 3187: 5.279229520686142e-08
Position 2704: 4.831765776504618e-08
Position 2382: 2.760869801220509e-08
Position 402: 1.548976420047036e-08
Position 27: 1.125008973686051e-08
Position 2597: 1.0673604095649452e-08
Position 2664: 1.0642004566539765e-08
Position 850: 7.371115695278927e-09
Position 2548: 6.4229070989201505e-09
Position 2769: 4.510597480318011e-09
Position 2224: 4.086268273516118e-09
Position 86: 1.3612518549542169e-10
Position 60: 1.3850233552341918e-11
Position 287: 3.708470931058977e-12
Position 1631: 3.617230743830042e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 2092: 0.99490451722705
Position 2974: 0.9751153942583134
Position 1831: 0.5441576913563244
Position 2810: 0.1609164202784057
Position 2731: 0.033493181987791394
Position 1227: 0.026409202800891447
Position 2571: 0.025533822463535593
Position 1378: 0.025320429542143797
Position 3419: 0.020065823542931488
Position 2859: 0.013400397215213139
Position 2980: 0.010176551237961146
Position 2793: 0.009731220174518608
Position 871: 0.007994312410883808
Position 1659: 0.00653785476316749
Position 1887: 0.006290512519647777
Position 427: 0.006207416911067496
Position 1290: 0.004558777141386883
Position 1583: 0.004549613378122618
Position 1958: 0.004215712697307679
Position 251: 0.0036766733500628655
Position 3093: 0.0035115925434752084
Position 2983: 0.0022462972722094815
Position 1328: 0.0017588800001365756
Position 995: 0.0015990123154292135
Position 3332: 0.0015726547673470324
Position 2218: 0.001380422133797086
Position 3462: 0.0013047751247486335
Position 3289: 0.00129803149042459
Position 1839: 0.0012896794109023232
Position 2145: 0.001177900122863816
Position 1174: 0.0011376689347258853
Position 407: 0.0010167149204549908
Position 2254: 0.0008706224692247711
Position 100: 0.0008694361792384705
Position 1865: 0.0008207708241574071
Position 2700: 0.0007439716646247383
Position 3056: 0.000713079565516382
Position 3030: 0.0006599009273336226
Position 2574: 0.0006369994091024949
Position 467: 0.0006188461902730541
Position 765: 0.0006098771968334512
Position 756: 0.0005917520888456119
Position 3772: 0.000563846561109573
Position 1478: 0.0005065575552201275
Position 1909: 0.0004942240034366087
Position 567: 0.00048486822542356594
Position 1683: 0.000470760820240261
Position 783: 0.0004561570196789575
Position 2719: 0.00041929905264636517
Position 1842: 0.00041607552131648593
