Gene = barr
index = 1623
Annotated 5SS: [ 185  959 2569]
Annotated 3SS: [ 353 1017 2640]
SMsplice 5SS: [ 185  542  959 2569]
SMsplice 3SS: [ 316  645 1017 2640]
top_k =  500
Partition function (log Z): 6.081596522891802

Sorted 5' Splice Sites (High to Low Probability):
Position 2569: 0.9996174660746359
Position 959: 0.9968828147769364
Position 185: 0.7416892119897796
Position 542: 0.6266058091283089
Position 224: 0.0928080717507785
Position 226: 0.05273019312059817
Position 1862: 0.05023157991918433
Position 2187: 0.020143483982865095
Position 1651: 0.013197627054049074
Position 1172: 0.009467878595541174
Position 1351: 0.008803599194980966
Position 235: 0.007889519212591442
Position 92: 0.007128670336541249
Position 2220: 0.004331381370074497
Position 869: 0.0022355074405952455
Position 44: 0.001916677414266263
Position 2974: 0.001834118365031113
Position 1701: 0.001298623897235148
Position 1569: 0.0011337143247274013
Position 2824: 0.0010409871741264914
Position 1193: 0.000982221229300744
Position 428: 0.0009687674744735639
Position 2067: 0.0009657067156923542
Position 75: 0.0008083591341299909
Position 1329: 0.0008036111577829146
Position 289: 0.0007949689020673474
Position 2680: 0.0007156633256419013
Position 1837: 0.0003934254022418328
Position 195: 0.00034001074857590625
Position 2804: 0.00031055068726482056
Position 546: 0.00016099239484933258
Position 2555: 0.00013455448521064683
Position 1267: 0.00012963086237618057
Position 272: 0.00011600275890753017
Position 1376: 0.00011476277595724736
Position 512: 0.00011273351689803156
Position 689: 9.778623818276193e-05
Position 984: 8.641311105529316e-05
Position 78: 7.112458640154477e-05
Position 2650: 6.393259873362019e-05
Position 682: 5.8504317122436595e-05
Position 548: 5.8329614574559914e-05
Position 239: 5.0468759989001505e-05
Position 98: 4.9255241756207333e-05
Position 1400: 4.6022398821066e-05
Position 963: 4.143649288534982e-05
Position 600: 3.781777421669953e-05
Position 2880: 2.1925186014825716e-05
Position 2483: 2.0997490938534735e-05
Position 197: 2.0101023091446997e-05
Position 2884: 1.669767584872761e-05
Position 3013: 1.6069953275506944e-05
Position 125: 1.469734724539919e-05
Position 2573: 1.4128042023244721e-05
Position 2862: 1.4024628944093595e-05
