Gene = Df31
index = 1131
Annotated 5SS: [ 266 2091]
Annotated 3SS: [1722 2174]
SMsplice 5SS: [ 266 2091]
SMsplice 3SS: [1722 2174]
top_k =  500
Partition function (log Z): -3.8095869701561798

Sorted 5' Splice Sites (High to Low Probability):
Position 2091: 0.9743569424447637
Position 266: 0.8113228783605673
Position 2361: 0.11686744775807
Position 3528: 0.07833713699811291
Position 217: 0.034157251717657273
Position 1118: 0.02789821648615207
Position 2079: 0.020531600466718515
Position 48: 0.01670888244425937
Position 716: 0.013352832941956154
Position 3050: 0.01155050897921664
Position 3256: 0.011531989660241297
Position 3343: 0.008608878369257365
Position 230: 0.006967212323866883
Position 560: 0.006344235468123636
Position 558: 0.005837938121492147
Position 2833: 0.005163333560531904
Position 1009: 0.004737788397358522
Position 562: 0.00469738376134317
Position 645: 0.004673603715631054
Position 988: 0.004620399104313531
Position 813: 0.0041921211957125434
Position 637: 0.004064146791730882
Position 564: 0.003658819885867987
Position 595: 0.0029159647939644025
Position 566: 0.0026444845339347206
Position 296: 0.0024940408814877212
Position 3137: 0.0022925741611648587
Position 641: 0.0018562195288150305
Position 639: 0.001544902222137966
Position 2294: 0.0015281461229047885
Position 1272: 0.001408837371605004
Position 1126: 0.0012698526687420866
Position 1114: 0.0012635242138381683
Position 1417: 0.0012308411266856573
Position 2873: 0.0009416701867926325
Position 581: 0.0009358133881002035
Position 3323: 0.0007985235779728668
Position 2475: 0.0007039621319618405
Position 3003: 0.000648931890320992
Position 326: 0.0006259680205983061
Position 991: 0.0006050047473625288
Position 886: 0.000564854480023294
Position 1027: 0.0005433028529088502
Position 3266: 0.0005226089515301503
Position 1170: 0.00039566441195667396
Position 1188: 0.0003653973257383176
Position 3428: 0.00035265130886907837
Position 1013: 0.00034531881386595114
Position 2533: 0.0003187307002156046
Position 508: 0.00028563106600847386
Position 165: 0.0002791806405333181
Position 430: 0.0002747181388287994
Position 1479: 0.00025204114357819707
Position 1914: 0.000247801669926032
Position 3475: 0.00019259496723980985
Position 702: 0.00017739677835880272
Position 2069: 0.0001379948142674302
Position 2321: 0.00010236051484866881
Position 2546: 9.800812147394549e-05
Position 3349: 8.947958913464649e-05
