Gene = Sprr2h
index = 1021
Annotated 5SS: [40]
Annotated 3SS: [927]
SMsplice 5SS: [40]
SMsplice 3SS: [927]
top_k =  500
Partition function (log Z): -8.119458990027555

Sorted 5' Splice Sites (High to Low Probability):
Position 40: 0.9795962535243183
Position 640: 0.03585524269155051
Position 723: 0.01637590739267534
Position 142: 0.010798215993047587
Position 224: 0.003480303467119336
Position 1039: 0.00294658130548915
Position 1275: 0.001947280870238532
Position 1311: 0.0018851596906265193
Position 808: 0.0008891879442146306
Position 1093: 0.0008398385486559133
Position 494: 0.0006469945802910713
Position 10: 0.0005454191266118978
Position 1120: 0.0005316541385055893
Position 194: 0.0005183629921039779
Position 1012: 0.0005118185303993158
Position 1066: 0.00047534021797509813
Position 460: 0.0004069124986800143
Position 323: 0.00038835039031519686
Position 644: 0.000351547831360131
Position 599: 0.0003074972271976813
Position 819: 0.0002649084050803313
Position 1324: 0.0002634173220395265
Position 1147: 0.00018287997436530664
Position 995: 0.0001761071699859251
Position 443: 0.00015857632566713744
Position 166: 0.00014090715324860552
Position 562: 0.00013977148758279094
Position 1252: 0.00012835104352324354
Position 231: 0.00012553468433025076
Position 107: 0.00010711984243412357
Position 630: 0.00010352105101540074
Position 399: 8.771415672911126e-05
Position 137: 8.082876400346235e-05
Position 727: 7.407164056596269e-05
Position 130: 7.372183897931568e-05
Position 718: 7.04522726735011e-05
Position 589: 6.654935153147159e-05
Position 793: 5.659415180038661e-05
Position 1387: 5.004526001646185e-05
Position 516: 4.4836686870063216e-05
Position 755: 4.2139705554158634e-05
Position 1437: 2.135279782514408e-05
Position 44: 2.8176457421454957e-06
Position 380: 2.5615342975557974e-06
Position 403: 1.986679749452647e-06
Position 358: 1.26251503287441e-06
Position 66: 1.0907246493561616e-06
Position 128: 9.299785138230339e-07
Position 110: 5.835606491366729e-07
Position 363: 5.801403230248148e-07
Position 200: 4.777937834371889e-07
Position 206: 3.6067709756188193e-07
Position 406: 3.570832094790491e-07
Position 1174: 2.2534114396867736e-07
Position 827: 1.285764361570312e-07
Position 355: 1.276685084179123e-07
Position 825: 9.393290572330434e-08
Position 612: 8.364535615716606e-08
Position 671: 8.098080433801012e-08
Position 705: 1.3776662860960308e-08
Position 397: 8.770660088746041e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 927: 0.46399427009272504
Position 402: 0.24609828146728147
Position 1249: 0.03597480615545081
Position 1174: 0.03102617730552736
Position 1210: 0.030375089287227135
Position 961: 0.022776832485590693
Position 1207: 0.02228359700528259
Position 1335: 0.02135092759959607
Position 549: 0.0184239090791545
Position 1360: 0.014645007885962001
Position 1465: 0.01342481327683621
Position 589: 0.013348678407892042
Position 1093: 0.012699991446745976
Position 1505: 0.012408229130982232
Position 1147: 0.012097718858156994
Position 1012: 0.009396345567565727
Position 636: 0.007441262547807918
Position 1120: 0.007366304948165829
Position 1066: 0.007308735464055938
Position 191: 0.00709227274138349
Position 1039: 0.00691134359692723
Position 703: 0.005627229344119103
Position 264: 0.005573109357845788
Position 1551: 0.005498336969810429
Position 509: 0.005065090049526246
Position 964: 0.005003997994231319
Position 1462: 0.00415811811350408
Position 206: 0.001989607158299425
Position 141: 0.0014017254015954818
Position 1395: 0.0008345332026055781
Position 1586: 0.000809064485039879
Position 1252: 0.0007609851986880077
Position 935: 0.0006767068138444412
Position 379: 0.0006550940371893329
Position 967: 0.0006549772835062284
Position 522: 0.0006409104608331699
Position 350: 0.0004924412588390727
Position 677: 0.0004429775409849967
Position 1432: 0.0004168157465903166
Position 1154: 0.0003727405421977885
Position 1100: 0.00032342848040568025
Position 1489: 0.00031063064462312804
Position 705: 0.0002669142143511017
Position 1127: 0.00023755131038800698
Position 128: 0.00022059644645303485
Position 837: 0.00021123259467207927
Position 1046: 0.00018892963193676326
Position 193: 0.0001859227559519591
Position 1019: 0.00018348384092915974
Position 1621: 0.00018167073675597853
Position 438: 0.0001587296951927133
Position 1589: 0.00015455018248207444
Position 276: 0.00013322405024852505
Position 755: 0.0001300736966647806
Position 640: 0.00012621010870153765
Position 1264: 0.00011398012025914798
Position 532: 9.269037252894379e-05
Position 739: 9.244234706130832e-05
Position 902: 8.497932684987037e-05
Position 900: 7.733484257640235e-05
Position 942: 7.50092480844211e-05
Position 464: 6.974047999571049e-05
Position 457: 6.952840540258234e-05
Position 736: 5.0929093836804666e-05
Position 869: 4.9734789384281284e-05
Position 1298: 4.254199378517126e-05
Position 316: 4.248487592062339e-05
Position 291: 3.949302588443446e-05
Position 985: 3.9484008138283237e-05
Position 1282: 3.5610400560964524e-05
Position 1437: 3.393835093009935e-05
Position 884: 3.3934763055230076e-05
Position 124: 3.17612937075964e-05
Position 1285: 3.13850909954392e-05
Position 155: 2.6855089289208493e-05
Position 173: 2.6705045184231373e-05
Position 779: 2.6652254813604663e-05
Position 1513: 2.6516802294397992e-05
Position 149: 2.1021576726928327e-05
Position 599: 3.916387123613785e-06
Position 99: 1.1044950610697344e-07
Position 175: 1.7814965227509982e-08
Position 166: 1.1633214930809473e-08
Position 327: 8.294817411134121e-09
Position 101: 7.337262460299813e-09
Position 358: 1.6628607298784373e-09
Position 363: 1.4266003392693155e-09
