Gene = Apobr
index = 129
Annotated 5SS: [ 127 2870 3221]
Annotated 3SS: [ 433 2954 3314]
SMsplice 5SS: [127]
SMsplice 3SS: [433]
top_k =  500
Partition function (log Z): -7.321137926506726

Sorted 5' Splice Sites (High to Low Probability):
Position 127: 0.9872368319348428
Position 524: 0.3508883273280203
Position 563: 0.32437333590991596
Position 3221: 0.1520614064436013
Position 2870: 0.11756957450436857
Position 3250: 0.07079407952497016
Position 539: 0.03286133932870497
Position 1703: 0.02238925999042624
Position 2047: 0.01835378135589819
Position 1745: 0.011590241863344133
Position 3217: 0.008239111953108511
Position 648: 0.007848114621386477
Position 591: 0.0069228746463350175
Position 2039: 0.005508679020831276
Position 89: 0.004359429341042364
Position 1532: 0.0042544063815002755
Position 38: 0.004106793708000487
Position 2234: 0.0024403449760583397
Position 2835: 0.002399165284240657
Position 1943: 0.0018957583746864164
Position 3117: 0.0017600108253767
Position 902: 0.001658527236171693
Position 286: 0.001578065520558377
Position 444: 0.0015553567024685886
Position 332: 0.0014064916229354469
Position 318: 0.0014038662086499998
Position 837: 0.0013758403383643631
Position 1514: 0.0009741630963363249
Position 1718: 0.0009423961556091101
Position 599: 0.0008170611611144299
Position 3725: 0.0006833533874398151
Position 2483: 0.0006742819451407624
Position 582: 0.0005125623107781343
Position 639: 0.00048710363424125187
Position 284: 0.0004110647794924659
Position 169: 0.0003966145074263933
Position 3079: 0.00039206750753776725
Position 229: 0.0003656108768651162
Position 19: 0.00036256224789161617
Position 15: 0.0003070695199402251
Position 2465: 0.0002969587657344784
Position 388: 0.00026979482595242913
Position 312: 0.00019797766017909057
Position 32: 0.00019454599643090102
Position 371: 0.00016676961229033108
Position 362: 0.00013729786022287696
Position 2131: 6.227515915015506e-05
Position 464: 4.707391214576398e-05
Position 2711: 4.538704077376846e-05
Position 756: 4.4752607558966246e-05
Position 542: 3.970632734391812e-05
Position 485: 3.705003255534819e-05
Position 1712: 3.338802562800511e-05
Position 172: 3.269312408075583e-05
Position 369: 2.2097657055319403e-05
Position 905: 2.1937111034304076e-05
Position 261: 1.81791851476667e-05
Position 250: 1.5123838844528459e-05
Position 385: 3.603655109949684e-06
Position 3315: 1.4349505073675926e-06
Position 664: 4.597141945212617e-07
Position 404: 2.2737461191393622e-07
Position 3077: 6.28889083322137e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 433: 0.8854423925327962
Position 3314: 0.4572224507429398
Position 2954: 0.38522350557203217
Position 3019: 0.07971676879041398
Position 2756: 0.07645223948186412
Position 1580: 0.029888830801533827
Position 3140: 0.027731128791730644
Position 3104: 0.024438619185921412
Position 3503: 0.018838541139460204
Position 1929: 0.018778141715323098
Position 2594: 0.01729444740770387
Position 1880: 0.015932937573048887
Position 196: 0.014807221335394883
Position 3621: 0.013650067930033935
Position 2792: 0.011135002961795194
Position 2761: 0.007049547436541837
Position 3683: 0.006081692123466683
Position 2998: 0.005371821004294205
Position 467: 0.005039317965247686
Position 1381: 0.004745834171970765
Position 3345: 0.004455610121914254
Position 3840: 0.003266021570061662
Position 229: 0.0026426210242218346
Position 3286: 0.0026024195019648706
