Gene = Sgcb
index = 972
Annotated 5SS: [ 116 3519 7108 8002 8408]
Annotated 3SS: [ 3308  6921  7809  8275 12091]
SMsplice 5SS: [  116  3519  7108  7910  8408 12185]
SMsplice 3SS: [ 3308  6921  7821  8275 12091 14868]
top_k =  500
Partition function (log Z): -2.0580159482835323

Sorted 5' Splice Sites (High to Low Probability):
Position 8408: 0.9974924398448363
Position 116: 0.882591050997535
Position 7108: 0.8751411201628588
Position 3519: 0.6377484278304886
Position 11121: 0.468227812718707
Position 12185: 0.4086165418920602
Position 2937: 0.305402296066457
Position 3552: 0.29335163903990885
Position 9380: 0.15216864602232352
Position 8002: 0.12557625358749708
Position 8834: 0.09583623225078021
Position 7958: 0.06645788066188957
Position 120: 0.056198012775417285
Position 13125: 0.051877793750845155
Position 9560: 0.04814835166598851
Position 8792: 0.04365202118472254
Position 498: 0.038201573101293594
Position 3523: 0.03642813163132311
Position 6211: 0.031228567581789678
Position 7963: 0.029163482558227913
Position 423: 0.028987311759796127
Position 7978: 0.026991699397752124
Position 1599: 0.026832145589100395
Position 12177: 0.02513067304651221
Position 6218: 0.024655612137791896
Position 8007: 0.023770135069940072
Position 7057: 0.021435702374339307
Position 14343: 0.019071063756482206
Position 7944: 0.019060342518907956
Position 6225: 0.018781858361762944
Position 1604: 0.012658960309673013
Position 2349: 0.01259137209796576
Position 12125: 0.012188811546100468
Position 9194: 0.012053379667628834
Position 12263: 0.011502120286502798
Position 12243: 0.010844799827874316
Position 12119: 0.010559986219098871
Position 5019: 0.010163384080475322
Position 9319: 0.009993338529117816
Position 8887: 0.009950559491581077
Position 1541: 0.008564465581774055
Position 14926: 0.007793697608396784
Position 466: 0.007742700806667705
Position 2047: 0.0074426075108814825
Position 6528: 0.007251221058691633
Position 7917: 0.006533091901495839
Position 10660: 0.0064741813026247975
Position 7411: 0.0064162064658131015
Position 12236: 0.006200160351161398
Position 12844: 0.006125717002246787
Position 1285: 0.006108442686946652
Position 7660: 0.005844908431793811
Position 3990: 0.005709656213296977
Position 13058: 0.00570941030664863
Position 12299: 0.005268755915378129
Position 4240: 0.005228935989361145
Position 9422: 0.0038487074660384737
Position 2988: 0.0037190105662749627
Position 7970: 0.0035348823892973613
Position 2428: 0.0032611282876667605
Position 2281: 0.0032466502153064526
Position 7681: 0.003169536471543295
Position 12205: 0.0029956205182804434
Position 12230: 0.0029935964020259545
Position 13235: 0.002796053363015588
Position 11876: 0.0027064989874529804
