Gene = Slc50a1
index = 983
Annotated 5SS: [ 185  509  744 1521 1898]
Annotated 3SS: [ 430  619 1358 1777 1971]
SMsplice 5SS: [ 509  744 1898]
SMsplice 3SS: [ 619 1777 1971]
top_k =  500
Partition function (log Z): -8.398601540411509

Sorted 5' Splice Sites (High to Low Probability):
Position 509: 0.80372771801139
Position 1898: 0.7125858718122599
Position 744: 0.6062008485783004
Position 100: 0.5055901494381597
Position 1521: 0.3745359073544776
Position 185: 0.056877077609789425
Position 1644: 0.024231454622197564
Position 55: 0.022184151049160453
Position 312: 0.019365194450852816
Position 1119: 0.01909493327782785
Position 1542: 0.013481791675341658
Position 549: 0.013297058196966433
Position 374: 0.009547412735258163
Position 1635: 0.001865983028616191
Position 1030: 0.0013390404281134333
Position 1337: 0.001070632032754879
Position 1224: 0.0009253467216252541
Position 527: 0.0009143384898014984
Position 246: 0.0007842097948062132
Position 150: 0.000691979267623397
Position 170: 0.000606546540399884
Position 219: 0.0004455960775030268
Position 142: 0.000273677546940345
Position 191: 0.00025803983107294413
Position 193: 0.00018329597042699873
Position 2161: 0.00018249369846711923
Position 120: 0.00015505800633606684
Position 517: 0.00013485463350100757
Position 2158: 0.00013444137120885156
Position 360: 0.000124818357705861
Position 13: 8.634913200601816e-05
Position 515: 7.072801796829956e-05
Position 504: 6.954470110216693e-05
Position 520: 5.027331322098718e-05
Position 479: 4.2908499412353984e-05
Position 465: 4.083485890372103e-05
Position 287: 3.8963690318130105e-05
Position 357: 3.58427212568802e-05
Position 637: 5.965705296672913e-06
Position 684: 5.851639451889398e-06
Position 693: 1.6503936207907608e-06
Position 789: 1.6327265779689329e-06
Position 733: 6.444720476422274e-07
Position 645: 1.6477371290557733e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 1777: 0.5880674453875219
Position 619: 0.5810445419542383
Position 1971: 0.5287944284677716
Position 430: 0.4297851048202638
Position 1358: 0.32618989424524275
Position 1987: 0.23480753604109472
Position 1376: 0.09480256558792986
Position 1712: 0.05301437889090716
Position 1760: 0.04612770702979682
Position 365: 0.037524301798063396
Position 988: 0.035792400138496216
Position 1735: 0.031483908835626226
Position 442: 0.027463582083642895
Position 2028: 0.01921605514373639
Position 1330: 0.017893777458763655
Position 853: 0.016662182828326207
Position 1271: 0.01557169102016004
Position 587: 0.01074253947761581
Position 2000: 0.009252677380343147
Position 2067: 0.008920054740654913
Position 2038: 0.007950988056907337
Position 906: 0.006713922446648995
Position 2249: 0.006554017541034718
Position 1688: 0.005786138808635388
Position 682: 0.005602189930831343
Position 2210: 0.005431554389459502
Position 1186: 0.005284761787578592
Position 856: 0.004339243366559038
Position 1783: 0.003748439646114826
Position 584: 0.0036960495929740196
Position 1957: 0.002643555706102128
Position 2157: 0.0022399433561377806
Position 279: 0.0020426039720493664
Position 1883: 0.001776585479265544
Position 883: 0.001767254465011091
Position 2079: 0.0010479011786585263
Position 1477: 0.001018726350639386
Position 1084: 0.000986201230357953
Position 2280: 0.0008057489163804034
Position 1658: 0.0007982892222724384
Position 1954: 0.0007842331505290765
Position 2140: 0.0007720921127300002
Position 1492: 0.000727098782561382
Position 1807: 0.0006433828227426949
Position 733: 0.0005435954300898772
Position 821: 0.0005117811018518736
Position 1028: 0.0004589316636947282
Position 2189: 0.0004384956884906795
Position 2044: 0.00039296650870646445
Position 2215: 0.00024129894643765712
Position 701: 0.000218373619880471
Position 1616: 0.00019703902141108087
Position 215: 0.00019574489821783534
Position 653: 0.00018174944445709072
Position 452: 0.0001792521225484585
Position 2274: 0.00014684427822269562
Position 1445: 0.00014559782998794162
Position 1664: 0.00014016356429216582
Position 1304: 0.00013264998143078398
Position 142: 0.0001303980704193428
Position 628: 0.0001145309431240078
Position 1457: 8.498067218421885e-05
Position 796: 7.89611797085982e-05
Position 311: 7.653251635736624e-05
Position 1307: 7.50997541372582e-05
Position 341: 4.1147935500080705e-05
Position 348: 4.0043501731036555e-05
Position 385: 3.412408667144162e-05
Position 1019: 3.069536975416669e-05
Position 189: 2.9258810844311436e-05
Position 538: 1.7440985325795004e-05
Position 318: 1.4134535654445154e-05
Position 295: 8.710872861182489e-06
Position 509: 8.033329656631361e-06
Position 191: 7.68645480579286e-06
Position 479: 7.419058996323002e-06
Position 287: 6.28786958788862e-06
Position 219: 2.8787967560841192e-06
Position 454: 2.5654287694843115e-06
Position 657: 2.1075957808460664e-06
Position 463: 1.8892959054438062e-06
Position 243: 8.683192806874438e-07
Position 740: 8.197341708966854e-07
Position 1128: 4.6659399840684077e-07
Position 233: 4.5557962775134647e-07
Position 544: 4.321244550221135e-07
Position 224: 4.0151847513928847e-07
Position 241: 2.48216191960682e-07
Position 323: 1.699448507940679e-07
Position 966: 1.416752908152661e-07
Position 637: 7.870354437507695e-08
Position 513: 6.17930644750054e-08
Position 567: 1.2978965059663403e-08
Position 555: 1.0970270942791938e-08
Position 126: 2.890559563825377e-10
Position 86: 3.4826390877186896e-12
Position 110: 2.426615715943666e-12
