Gene = Tnp1
index = 1130
Annotated 5SS: [185]
Annotated 3SS: [583]
SMsplice 5SS: [185]
SMsplice 3SS: [583]
top_k =  500
Partition function (log Z): -6.203278145566689

Sorted 5' Splice Sites (High to Low Probability):
Position 185: 0.7061460081410422
Position 196: 0.2816833351714772
Position 164: 0.010907738441705658
Position 125: 0.0008961512340730356
Position 422: 0.0001849799525350021
Position 189: 6.827563130331346e-05
Position 154: 4.9814442061766934e-05
Position 266: 2.8983160355836025e-05
Position 269: 2.264447144520922e-05
Position 41: 2.1359132909573016e-05
Position 464: 2.1215672108500124e-05
Position 48: 3.976876775878669e-06
Position 299: 3.3591382585858565e-06
Position 215: 2.7300785192415404e-06
Position 376: 2.2577397333535224e-06
Position 505: 2.108408714201507e-06
Position 115: 1.298335035523993e-06
Position 328: 1.1763098192111647e-06
Position 541: 7.097281487037743e-07
Position 370: 3.262304482146903e-07
Position 384: 2.2949055415446178e-07
Position 635: 1.8471263708331702e-07
Position 342: 1.7216736980869269e-07
Position 394: 1.1696730906753175e-07
Position 320: 1.1303228113388979e-07
Position 336: 7.977967066504397e-08
Position 638: 4.787050652070916e-08
Position 360: 4.3027306237771794e-08
Position 396: 4.149457679300971e-08
Position 413: 3.579669313581772e-08
Position 562: 3.438104523160591e-08
Position 354: 1.5294825440076388e-13
Position 347: 6.588327900289667e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 583: 0.9572391044970079
Position 587: 0.030149524996755293
Position 518: 0.004698040002834422
Position 464: 0.0029478266102446167
Position 416: 0.0019978674489000902
Position 370: 0.0009083637648639669
Position 421: 0.0005250974348483024
Position 375: 0.0004557414492849218
Position 659: 0.0002623155728208114
Position 624: 0.0001926582219113278
Position 241: 0.0001747782923475712
Position 668: 8.755760038574581e-05
Position 259: 7.139215994747269e-05
Position 438: 5.905989541848947e-05
Position 394: 5.658746363441755e-05
Position 730: 4.136024863664584e-05
Position 477: 3.8161715815743495e-05
Position 525: 3.3879821983296694e-05
Position 662: 3.312673226609272e-05
Position 676: 9.518676444058243e-06
Position 746: 7.82962338034266e-06
Position 297: 7.441333406232648e-06
Position 702: 6.995162677967512e-06
Position 290: 6.748035929091592e-06
Position 692: 6.039483730773576e-06
Position 284: 5.6343482220468776e-06
Position 503: 5.427302177141566e-06
Position 706: 4.859918780019696e-06
Position 305: 4.116540672301005e-06
Position 714: 2.3865675406208228e-06
Position 276: 2.3156823014948915e-06
Position 720: 2.257437852493835e-06
Position 111: 9.786805499833382e-07
Position 694: 9.509911683873793e-07
Position 226: 8.079286948740526e-07
Position 266: 6.774450914138073e-07
Position 269: 4.542679737230113e-07
Position 255: 4.463599819014648e-07
Position 299: 3.8583009317560663e-07
Position 678: 3.283684821375687e-07
Position 732: 2.788630587991945e-07
Position 167: 8.643450457344053e-08
Position 120: 5.945402070735833e-08
Position 137: 2.3484571487245195e-08
Position 124: 2.2943758418824522e-08
Position 189: 1.2709418476352634e-08
Position 131: 1.013775593484547e-08
Position 135: 4.38894254771891e-09
Position 122: 1.9347488847966683e-09
Position 152: 1.400724193034471e-09
Position 150: 1.0419976501827492e-09
Position 164: 3.036084970756051e-10
Position 207: 2.352427634864465e-12
Position 215: 2.119158258948593e-12
