Gene = Mtif3
index = 722
Annotated 5SS: [  74 4961 6999]
Annotated 3SS: [4508 6840 7969]
SMsplice 5SS: [  63 6999]
SMsplice 3SS: [ 6840 12030]
top_k =  500
Partition function (log Z): -6.891072414537347

Sorted 5' Splice Sites (High to Low Probability):
Position 6999: 0.9158799674894857
Position 63: 0.6994297305979817
Position 565: 0.5444655813714092
Position 5856: 0.47257067129975916
Position 6077: 0.37886298984911126
Position 4961: 0.3029245621246333
Position 74: 0.2359580242693365
Position 9019: 0.15573206086312494
Position 7813: 0.15475613129620416
Position 6545: 0.14038879512583147
Position 5448: 0.06906391889168036
Position 5715: 0.05445878462996997
Position 20: 0.05280295918213114
Position 6178: 0.041393877307425
Position 3937: 0.03193971959313324
Position 11179: 0.031323932723624694
Position 10767: 0.025238143731006635
Position 675: 0.020067245974119158
Position 7630: 0.012934949617021288
Position 8535: 0.01212495291973301
Position 8260: 0.011754778147299347
Position 283: 0.004955743174550906
Position 99: 0.004333261848802988
Position 10154: 0.0038472651016462486
Position 5419: 0.0036890896183202283
Position 327: 0.003072412608257298
Position 6124: 0.002477826895134151
Position 2960: 0.0014838917894255655
Position 353: 0.001296686376273542
Position 5367: 0.0010354520583556143
Position 4694: 0.0007572270724384782
Position 5764: 0.0005295156305352225
Position 244: 0.0003406577489557077
Position 230: 0.00023777513324909036
Position 321: 4.760289787491353e-05
Position 291: 3.374571407071227e-05
Position 7856: 3.343883827086245e-05
Position 238: 2.5111847735066062e-05
Position 8264: 2.0749757679846436e-05
Position 8184: 2.063471145011423e-05
Position 8062: 1.5107884373147887e-05
Position 335: 1.4325912087696847e-05
Position 242: 1.3924580660553168e-05
Position 1849: 1.2984086943314649e-05
Position 359: 1.2171254682961907e-05
Position 178: 1.0301871343711399e-05
Position 188: 9.85630624369721e-06
Position 333: 9.212250613806037e-06
Position 2568: 7.099410079549051e-06
Position 311: 6.3056947510602534e-06
Position 2181: 6.248739895465167e-06
Position 111: 6.2119448362647005e-06
Position 149: 5.370507063322433e-06
Position 2617: 3.777208440060841e-06
Position 1568: 3.7491364978038567e-06
Position 154: 3.3038984285130085e-06
Position 715: 1.2447425596386483e-06
Position 445: 1.0151067372804198e-06
Position 1619: 8.068584963638448e-07
Position 406: 7.350964278325671e-07
Position 127: 5.909528005514943e-07
Position 34: 3.829166432605124e-07
Position 14: 3.778839479753926e-09
Position 143: 1.258655585196995e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 6840: 0.8114919291179276
Position 5795: 0.37274975763857965
Position 6005: 0.36585832634290627
Position 404: 0.33773062372792395
Position 12030: 0.2970153904961433
Position 4743: 0.251094288888978
Position 7714: 0.21093787302376232
Position 8866: 0.17608060568575765
Position 10505: 0.16957591491440746
Position 5498: 0.14976095676702636
Position 8359: 0.1215071769874795
Position 6250: 0.12072753390022738
Position 7969: 0.12047354045450163
Position 472: 0.11799470773865117
Position 10553: 0.07248159830701444
Position 6760: 0.07083086693365877
Position 11012: 0.06286646820282783
Position 498: 0.06106617696168524
Position 8898: 0.04892703477486864
Position 6887: 0.039374914453150806
Position 5270: 0.03678977060766325
Position 5287: 0.028657786842181336
Position 5518: 0.02636749608235972
Position 5955: 0.02526858221563428
Position 10073: 0.021437884281137923
Position 448: 0.021126068965013657
Position 3863: 0.020935398432971746
Position 535: 0.01726250443659822
Position 11802: 0.015785114204782354
Position 4508: 0.015118086227683788
Position 6209: 0.013634084845140879
Position 8704: 0.013423133494119164
Position 6400: 0.011986592310865251
Position 8915: 0.01128309455116574
Position 4641: 0.01097757668050648
Position 4779: 0.010521980220005039
Position 5328: 0.00813615038403357
Position 9640: 0.0077959282944920225
Position 7467: 0.007685126657253126
Position 4692: 0.007457618781406487
Position 4574: 0.007025016838368078
Position 6098: 0.006264729302226352
Position 8423: 0.005899687665542238
Position 6056: 0.005698448084339091
Position 10666: 0.005088117173103417
Position 132: 0.004469062925143997
Position 3797: 0.0043642038362408766
Position 9302: 0.004265505735033899
Position 512: 0.003521079842142554
Position 3636: 0.003263215095534474
Position 7512: 0.0031785968796219735
Position 7538: 0.0030067679757241903
Position 8481: 0.0029930584504303686
Position 8667: 0.002768629222762312
Position 10908: 0.0022571925194586214
Position 3811: 0.002178671425499961
Position 564: 0.0019526949563162409
Position 4666: 0.0019206567999283954
Position 2770: 0.0015557312192532064
Position 9927: 0.0012569777607008025
Position 7204: 0.0011205749042911997
Position 282: 0.0010991095009780325
Position 3793: 0.0010086113811185891
Position 2791: 0.000921208058389124
Position 5400: 0.0008321890990582417
Position 8086: 0.0006734020659546955
Position 453: 0.0006358030622741134
Position 3816: 0.00041085553223135936
Position 7592: 0.0002564420664130221
Position 163: 0.0002493918819097619
Position 7261: 0.00022934440159104214
Position 2476: 0.0002035042288207851
Position 2429: 0.00018940182962649642
Position 2615: 0.000183096747844955
Position 2879: 0.00016343841472202424
Position 10609: 0.00015532162125618
Position 626: 0.00013321401895838663
Position 221: 0.00012751311255866196
Position 4441: 8.502363381233025e-05
Position 2933: 8.076280820093589e-05
Position 3182: 7.026338328290917e-05
Position 2666: 6.267850363984231e-05
Position 1716: 5.8746070524910926e-05
Position 2180: 5.8565055522661575e-05
Position 1833: 4.625064615600221e-05
Position 169: 4.511897381316465e-05
Position 1864: 3.2697794148505354e-05
Position 1362: 2.52937322654459e-05
Position 1301: 2.4081047595260956e-05
Position 3156: 2.3494765385558174e-05
