Gene = Emcn
index = 376
Annotated 5SS: [  170 31708 38771 50564 75668 75957 77949 81140 82343 86236]
Annotated 3SS: [31584 38695 50449 75577 75902 77852 81114 82280 86161 89452]
SMsplice 5SS: [  170 31708 38771 50564 75668 86236]
SMsplice 3SS: [31584 38649 50449 75577 86161 89452]
top_k =  500
Partition function (log Z): -54.73039299665886

Sorted 5' Splice Sites (High to Low Probability):
Position 170: 0.9546398398255458
Position 5055: 0.5607957643772931
Position 2739: 0.3772855641796024
Position 3552: 0.28447090113177304
Position 4387: 0.23982381901875688
Position 670: 0.23056288048749873
Position 599: 0.11233040943216799
Position 1141: 0.10595806202302388
Position 3522: 0.05307284955260716
Position 1018: 0.0400914269852371
Position 527: 0.02741721060634067
Position 603: 0.026902897866440845
Position 785: 0.026727070868619644
Position 5587: 0.02590268481101231
Position 202: 0.01573116055737664
Position 2653: 0.013318479224790201
Position 5492: 0.012982713834307978
Position 88: 0.00695758891208177
Position 628: 0.004140244411421503
Position 155: 0.0032271860188047325
Position 1133: 0.0031572112631273047
Position 5178: 0.002054600472575876
Position 943: 0.0018863425141726507
Position 972: 0.0018612077691554155
Position 1483: 0.0011714284114498058
Position 371: 0.0009048314989025095
Position 3071: 0.0008621219562817141
Position 175: 0.0005312916306255242
Position 1708: 0.00026699379842221797
Position 317: 0.00023208745298609993
Position 355: 0.00022749107965262854
Position 271: 0.00022655085429603287
Position 196: 0.00017121119011800483
Position 324: 0.00013222916416452213
Position 621: 0.00012251027486718844
Position 888: 0.00011143293958530747
Position 357: 6.009650650938166e-05
Position 688: 5.6070941704239954e-05
Position 328: 5.109643396959696e-05
Position 3632: 3.8052374215258655e-05
Position 849: 3.503001742054209e-05
Position 915: 3.142063684985137e-05
Position 838: 2.693436285894671e-05
Position 395: 2.1219075129613615e-05
Position 198: 1.8860554612182666e-05
Position 280: 1.4539631015633686e-05
Position 577: 1.4405984339214244e-05
Position 135: 1.1899029946559414e-05
Position 143: 1.1835845617060962e-05
Position 219: 9.270178531120191e-06
Position 347: 7.289647497229913e-06
Position 409: 6.515317241417594e-06
Position 407: 4.733107330062516e-06
Position 908: 3.7926344232854996e-06
Position 674: 2.5899227502703917e-06
Position 118: 2.219972778649459e-06
Position 567: 1.7847606292627156e-06
Position 67: 1.1915944313326476e-06
Position 375: 8.864695735264189e-07
Position 285: 6.923556074278002e-07
Position 993: 6.84090768465126e-07
Position 613: 5.362641426532856e-07
Position 246: 5.094807644765405e-07
Position 308: 2.8968681522164754e-07
Position 373: 8.426105953465556e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 4952: 0.5928425543114145
Position 2546: 0.35340005851868267
Position 3345: 0.2611007224704353
Position 5240: 0.2428716268175217
Position 510: 0.20533767721818147
Position 4263: 0.17179103502808477
Position 9445: 0.1396200423279307
Position 421: 0.12345494824848843
Position 990: 0.11295250623040402
Position 9017: 0.07837981655800541
Position 11521: 0.07799526843939109
Position 3415: 0.07650957133230953
Position 5696: 0.07341684491294696
Position 12623: 0.0660804756742641
Position 4243: 0.04905235645945656
Position 10540: 0.046773097465953734
Position 6904: 0.04405196968796765
Position 9365: 0.04348180618300275
Position 9253: 0.035600141705121144
Position 757: 0.03362962518302534
Position 6381: 0.0327170569175441
Position 7471: 0.02461106843566162
Position 706: 0.023201098415254525
Position 4012: 0.021857332193222664
Position 2503: 0.02162668905088003
Position 457: 0.019476240453803074
Position 10056: 0.014518361994729272
Position 8241: 0.011566400826487156
Position 556: 0.011340444260037571
Position 5485: 0.010690439660485676
Position 602: 0.010366173021275207
Position 7721: 0.008730360026022538
Position 269: 0.008049495466137898
Position 2657: 0.007923117377643292
Position 9283: 0.006854136006812317
Position 3350: 0.006549973576554621
Position 784: 0.0065286305982325725
Position 5672: 0.006321949209493375
Position 4799: 0.005620689165745693
Position 2681: 0.005449637049458202
Position 6451: 0.004085176519686636
Position 1401: 0.003937684911788888
Position 7705: 0.003332428080771122
Position 593: 0.003287764704531808
Position 577: 0.002982552697343324
Position 2618: 0.0026537516178375188
Position 2528: 0.0025561509524290133
Position 5445: 0.002415142352312713
Position 4495: 0.0016251994005492905
Position 953: 0.001519461055121696
Position 340: 0.001481959360888672
Position 518: 0.0012683258064526593
Position 3381: 0.001135255804880441
Position 2730: 0.0010162558784906545
Position 5709: 0.0010116816809334168
Position 642: 0.000914138527149291
Position 582: 0.0008909955853540577
Position 2865: 0.0008876276591743954
Position 2929: 0.0008421337282916219
Position 1852: 0.0007934931149918992
Position 929: 0.0007466205606625548
Position 921: 0.00073739984458256
Position 1031: 0.0006933093795829009
Position 908: 0.0006033398189883866
Position 1015: 0.0004908997893285075
Position 3521: 0.00032814426649629665
Position 567: 0.0003102574644521439
Position 947: 0.0002251189741783508
Position 4416: 0.00021769152032993775
Position 888: 0.00020475015918450387
Position 434: 0.0001183641329547601
Position 1493: 0.00011506828719111913
