Gene = Jchain
index = 601
Annotated 5SS: [ 176 1793 5399]
Annotated 3SS: [1671 5317 6364]
SMsplice 5SS: [ 176 5399]
SMsplice 3SS: [5317 6364]
top_k =  500
Partition function (log Z): -6.500319994041678

Sorted 5' Splice Sites (High to Low Probability):
Position 176: 0.9941120928048242
Position 5399: 0.5815028182792037
Position 1837: 0.3726513595697368
Position 1426: 0.2719294829790294
Position 6523: 0.14465928153175525
Position 5589: 0.11117843477960951
Position 4525: 0.07994358527824073
Position 1793: 0.0484039433901826
Position 6515: 0.03507674373951759
Position 6473: 0.031989742706246965
Position 6127: 0.0168903408404825
Position 2191: 0.013878948495981338
Position 6260: 0.010559593307345539
Position 4510: 0.007134248699312731
Position 1375: 0.004678595842427389
Position 524: 0.004669341520802691
Position 5489: 0.0036281099446955145
Position 1672: 0.0029254710405505722
Position 6008: 0.0028149037103908222
Position 4158: 0.002645511587183032
Position 2087: 0.0025507195245339856
Position 4275: 0.002139773337520265
Position 2820: 0.0020751784777003155
Position 5432: 0.0018349634697199472
Position 2968: 0.001450308511994088
Position 4152: 0.001429928660546426
Position 183: 0.001236947872076964
Position 2231: 0.0010052359223089754
Position 3757: 0.0008817193562138216
Position 654: 0.0008406918165495275
Position 4198: 0.0008250617975496522
Position 2346: 0.0007751670001208656
Position 4446: 0.000747220506119146
Position 1530: 0.0006818323033623621
Position 3697: 0.0006767045747209454
Position 667: 0.00044923494443162244
Position 976: 0.0003826332759658606
Position 180: 0.0003158917228047248
Position 736: 0.0002493953738900689
Position 2865: 0.00024011326009334015
Position 536: 0.00020007141955289762
Position 1336: 0.00013579997017987562
Position 139: 9.162670981758675e-05
Position 612: 5.486546810508018e-05
Position 659: 4.304069991657754e-05
Position 519: 4.0430132296836136e-05
Position 827: 1.2661308013462723e-05
Position 1887: 1.1952044136675438e-05
Position 1080: 9.187586797708906e-06
Position 169: 8.095857477951445e-06
Position 425: 6.5162492034381696e-06
Position 979: 6.351528142977506e-06
Position 154: 4.470752343538866e-06
Position 229: 3.84616975079271e-06
Position 218: 3.820442470537121e-06
Position 101: 3.512578484317338e-06
Position 1826: 2.962019589536525e-06
Position 888: 2.5261779867721176e-06
Position 1797: 2.5185024218369015e-06
Position 836: 2.4093409566110062e-06
Position 12: 1.3982371571923004e-06
Position 1007: 1.183318720590604e-06
Position 875: 1.142726308369804e-06
Position 1002: 6.482512827632213e-07
Position 163: 1.7583574593988866e-07
Position 865: 5.45463502029125e-08
Position 299: 4.485884077459409e-08
Position 881: 4.4231932734646406e-08
Position 461: 4.0545540698354e-08
Position 493: 9.30068029088349e-09
Position 90: 7.111289495923272e-09
Position 222: 5.787549464953844e-09
Position 435: 4.331146359308132e-09
Position 66: 4.013488924145894e-09
Position 348: 2.734083512995744e-09
Position 73: 1.9772124673460382e-09
Position 437: 7.248846020725965e-10
Position 220: 6.322588870633241e-10
Position 379: 4.5961073431255635e-11
Position 595: 2.1290221873032785e-11
Position 359: 5.640302223151017e-12
Position 587: 3.796369955406785e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 5317: 0.7954183506895847
Position 6364: 0.6434418629476744
Position 1671: 0.25073250327085517
Position 1229: 0.1056387888089122
Position 1732: 0.10381258437021978
Position 4407: 0.09561297688826922
Position 7168: 0.08753696973720408
Position 6721: 0.08644063085962385
Position 6227: 0.07167177887917274
Position 1652: 0.05839351056278751
Position 1291: 0.050631934587456205
Position 1079: 0.043494621021062836
Position 1319: 0.04090243912619141
Position 5568: 0.031082936771831358
Position 6973: 0.026763224407527965
Position 2055: 0.025622096382501944
Position 4098: 0.015355249882260292
Position 7257: 0.013969957058911261
Position 3508: 0.013277831297602242
Position 3294: 0.011679707604418055
Position 1185: 0.011532049482068579
Position 6035: 0.01077822020286547
Position 5517: 0.010289868214585685
Position 6818: 0.010087604048207646
Position 1509: 0.007713079384212155
Position 5923: 0.007650442543886981
Position 3467: 0.007194903568600171
Position 577: 0.006840250328553702
Position 6425: 0.006743206339464949
Position 6613: 0.006618548499469501
Position 3354: 0.005904949580640658
Position 1326: 0.005830716229777047
Position 5901: 0.005050820713892001
Position 1580: 0.004774058601859325
Position 6790: 0.004640657191560274
Position 966: 0.004500353269689862
Position 5534: 0.004490130673939415
Position 6514: 0.004336010906248712
Position 2701: 0.004288535730419907
Position 5335: 0.00417519221802813
Position 6599: 0.004021220414126727
Position 1155: 0.00350862167037862
Position 7194: 0.002900445261907864
Position 1977: 0.0027927781667943957
Position 1191: 0.0024255890411537364
Position 1279: 0.0023528517582257573
Position 1127: 0.002273578077658313
Position 2820: 0.0022480118681993105
Position 6578: 0.0017216262905251469
Position 7016: 0.0017063743592184467
Position 393: 0.0016644731337472228
Position 6371: 0.0016605290551457872
Position 1873: 0.001583650928252003
Position 5706: 0.001527091012649933
Position 6634: 0.0014756016914464819
Position 514: 0.0014531066572659602
Position 1425: 0.001270978811851198
Position 6668: 0.0012265333510672913
Position 7262: 0.0012128799813317475
Position 2968: 0.001163122702608199
Position 3990: 0.001045441013077756
Position 4064: 0.0009337216535329893
Position 6191: 0.000913464042470012
Position 1124: 0.000904077786908087
Position 2328: 0.0008989787827082046
Position 2216: 0.0008658537037113056
Position 1683: 0.0007904010556517858
Position 2479: 0.0007726598641777616
Position 2858: 0.0007229889456865496
Position 719: 0.0006931412024273508
Position 1385: 0.0006369938108463234
Position 3061: 0.0005677667025584744
Position 1951: 0.0005300130913987563
Position 2452: 0.0005145006562889672
Position 1367: 0.0004957788293496033
Position 1751: 0.00038935228345362107
Position 3633: 0.00038252103171702026
Position 3041: 0.00037426232858433226
Position 5254: 0.00036766514760964666
Position 6082: 0.000362161208882256
Position 1002: 0.0003506116570797503
Position 6407: 0.00032613336016754866
Position 5629: 0.0003073963863774547
Position 1160: 0.0002624143391117209
Position 550: 0.0002586721118387348
