Gene = Prol1
index = 855
Annotated 5SS: [  86 1302]
Annotated 3SS: [ 1232 10494]
SMsplice 5SS: [  86 1302]
SMsplice 3SS: [ 1232 10494]
top_k =  500
Partition function (log Z): -6.87504736034668

Sorted 5' Splice Sites (High to Low Probability):
Position 86: 0.8743333760373229
Position 1302: 0.7955451429661756
Position 6769: 0.4128034454803939
Position 1547: 0.24352708125626826
Position 1496: 0.17657457953786493
Position 4945: 0.06951052456209099
Position 108: 0.06798168809943418
Position 1654: 0.06066824732869749
Position 2133: 0.048436047820990834
Position 90: 0.04158482663005554
Position 10641: 0.03146184509611793
Position 9844: 0.029058288964001703
Position 6122: 0.022152523667534067
Position 6489: 0.012463316600170072
Position 1012: 0.011984701737665686
Position 6076: 0.010182689799920399
Position 37: 0.009444551436979007
Position 4686: 0.008405566152721916
Position 5573: 0.00741684789747172
Position 6327: 0.007122633924823355
Position 357: 0.00593574972872597
Position 3957: 0.004115416543512784
Position 6915: 0.00404192861777712
Position 2528: 0.003150820846888025
Position 5007: 0.002470733253925454
Position 6666: 0.0014504580027524779
Position 1793: 0.0013439139263599694
Position 1617: 0.001292926253118052
Position 2915: 0.0010956864081907876
Position 1145: 0.0008933152483023803
Position 763: 0.0005623834393231315
Position 232: 0.0005252368473486173
Position 721: 0.00043814195428118306
Position 235: 0.0004290460213498768
Position 100: 0.00033884861793467277
Position 323: 0.0002946824217302601
Position 298: 0.00028588428923596567
Position 348: 0.0001887468475321996
Position 368: 0.00017924534246350425
Position 223: 0.00013453137145086422
Position 96: 0.00011977642750116176
Position 917: 8.912875084364166e-05
Position 337: 8.016912161857422e-05
Position 4368: 7.566812823150707e-05
Position 1487: 6.383129430431302e-05
Position 1110: 5.298005404762601e-05
Position 345: 4.535668422351923e-05
Position 418: 3.874009420923186e-05
Position 932: 3.7207065673939693e-05
Position 339: 3.5405306908164705e-05
Position 876: 3.444273955958559e-05
Position 1697: 2.8370733362585097e-05
Position 1394: 6.913946320931096e-06
Position 1306: 6.148884215606317e-06
Position 129: 4.902250741432341e-06
Position 1343: 4.8600022648721464e-06
Position 861: 3.0938715519489314e-06
