Gene = Sln
index = 986
Annotated 5SS: [163]
Annotated 3SS: [3241]
SMsplice 5SS: [163]
SMsplice 3SS: [3241]
top_k =  500
Partition function (log Z): -8.154014613342538

Sorted 5' Splice Sites (High to Low Probability):
Position 163: 0.9399323969754925
Position 1228: 0.1891833169356965
Position 1683: 0.09903051348155986
Position 3088: 0.0680346154924867
Position 271: 0.05259057049712415
Position 591: 0.022890717698358654
Position 1060: 0.020598863650990805
Position 1791: 0.02049971968967933
Position 2978: 0.020237631124602404
Position 3384: 0.012535641113544762
Position 881: 0.0105277474973529
Position 2714: 0.0056648706548400865
Position 3023: 0.003935572772229508
Position 4262: 0.003137055898890876
Position 3317: 0.003074972450540738
Position 531: 0.002987027745235524
Position 2792: 0.002684676238877617
Position 3389: 0.0024893393261916025
Position 111: 0.0023450292029552518
Position 2722: 0.002212450337737746
Position 733: 0.0020378052308597846
Position 125: 0.0019488066536073544
Position 2984: 0.0016414014585636916
Position 132: 0.0011903507712732748
Position 2780: 0.0011635290835025265
Position 497: 0.0011464850881877293
Position 702: 0.0009985235340704483
Position 1547: 0.0008913842852506971
Position 2594: 0.00046565890507916806
Position 3075: 0.0004141432037158964
Position 1167: 0.00039274615258424116
Position 1204: 0.00035348899876005383
Position 2261: 0.0003279235832935939
Position 932: 0.00015743183850296506
Position 426: 9.841098023820503e-05
Position 179: 8.832052770202801e-05
Position 422: 8.640407015058332e-05
Position 573: 6.297374208313104e-05
Position 581: 4.195482541280521e-05
Position 141: 2.993238124050934e-05
Position 499: 2.7056895293609587e-05
Position 715: 2.0802842456303603e-05
Position 770: 1.9142749767455858e-05
Position 501: 1.699466795613128e-05
Position 759: 1.3807816635716183e-05
Position 1138: 1.2522403439541695e-05
Position 2061: 8.761354272611216e-06
Position 33: 8.6268645310704e-06
Position 1353: 8.20179591974899e-06
Position 215: 6.805954785508967e-06
Position 1918: 6.4073468169024594e-06
Position 1195: 5.645701305173464e-06
Position 1192: 5.527155261278719e-06
Position 1100: 4.405929267891051e-06
Position 1171: 3.885447897894586e-06
Position 892: 3.5219367558639598e-06
Position 934: 3.019611308206055e-06
Position 143: 1.514648214406699e-06
Position 217: 1.3090108600654023e-06
Position 205: 1.1724490466928798e-06
Position 337: 9.987958021775272e-07
Position 238: 8.597961501619657e-07
Position 75: 7.713249557425106e-07
Position 199: 5.549033983491255e-07
Position 1065: 1.500514229971904e-07
Position 222: 9.42363708602997e-08
Position 22: 8.810954417411956e-08
Position 13: 8.192409166224405e-08
Position 322: 2.6781712964479543e-08
Position 411: 1.6869260680499564e-08
Position 39: 1.2699073796229809e-08
Position 437: 1.2145176432156111e-08
Position 262: 5.0308309536272155e-09
Position 415: 3.2041708320439516e-09
Position 394: 9.403065672476653e-10
Position 355: 8.358341108300995e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 3241: 0.5624328892070671
Position 1059: 0.1648175558451759
Position 2977: 0.09890244946788913
Position 1564: 0.09361047495202754
Position 1093: 0.09335807515879924
Position 2433: 0.043763582146791394
Position 4120: 0.04205123949430632
Position 571: 0.03912844261131687
Position 2694: 0.03812879307728398
Position 1332: 0.033189037763085676
Position 411: 0.027339047370755355
Position 3184: 0.025249386285143085
Position 2763: 0.02148205815730114
Position 355: 0.018457027119971083
Position 1673: 0.01659715556542738
Position 2305: 0.010994495632445195
Position 2302: 0.010985915529209864
Position 3424: 0.010797722443207697
Position 2833: 0.010637277001969784
Position 2251: 0.009116791572227388
Position 932: 0.008531497531489792
Position 2537: 0.007884846020039185
Position 3494: 0.006629183051535939
Position 980: 0.006612982383809031
Position 766: 0.0063512678878512455
Position 448: 0.006087634098675764
Position 1352: 0.005929216910285453
Position 3348: 0.0058520483378308175
Position 4375: 0.005724719022811818
Position 3622: 0.005215180473999531
Position 262: 0.005141212930864455
Position 2987: 0.004187789397879221
Position 2016: 0.0038728109131614687
Position 3677: 0.0036777734340885317
Position 2001: 0.0027037913426293195
Position 2891: 0.002463463489111727
Position 2163: 0.0023765696677952477
Position 641: 0.0022238852983103544
Position 2111: 0.0021473068037902135
Position 3576: 0.001966333531926555
Position 469: 0.001880433979324007
Position 1790: 0.001848979454378425
Position 430: 0.0017822985903995434
Position 3204: 0.0017498389416363406
Position 1336: 0.0017224360850120744
Position 870: 0.0016752812192089557
Position 2854: 0.0016011745864000337
Position 627: 0.001522866676765787
Position 3902: 0.0013141043000859589
Position 2963: 0.0012449064187502249
Position 1097: 0.001229099763168683
Position 384: 0.0008712832136456066
Position 864: 0.0008449267628901871
Position 3122: 0.0007818411863560833
Position 1597: 0.0007703330601546288
Position 3297: 0.0007502570364623424
Position 3087: 0.0007363724534284291
Position 2874: 0.0007005217795599694
Position 270: 0.0006159169564985855
Position 3245: 0.000573254271545031
Position 701: 0.0005087327620544064
Position 3561: 0.0004973199978462399
Position 836: 0.00047739272790486636
Position 3448: 0.00047596528717177834
Position 773: 0.000468326893716567
Position 892: 0.00040638201690823105
Position 889: 0.0003978044222052835
Position 2446: 0.00037778082955742355
Position 3186: 0.0003712222130862375
Position 3539: 0.00032042667326205896
Position 715: 0.00031738304176369685
Position 1099: 0.0002848367121739526
Position 1178: 0.00026835896092098336
Position 1864: 0.0002553204992956636
Position 1723: 0.00025352555959393916
Position 1980: 0.0002514861806876501
Position 1447: 0.00020821604709645187
Position 1485: 0.00015818928308319202
Position 2036: 0.00015402245013897234
Position 222: 0.00014436887301666989
Position 285: 0.00013677243155513477
Position 381: 0.00013244211090943653
Position 845: 0.0001284814711999201
Position 1215: 0.00012507589792499113
Position 298: 9.973091646706963e-05
Position 1027: 3.717594837322145e-05
Position 1652: 3.599814023473909e-05
Position 1015: 3.579200849875124e-05
Position 1490: 3.412678120140355e-05
Position 1492: 3.1893406335613744e-05
Position 2592: 2.0759111512035302e-05
Position 515: 8.218188927299559e-06
Position 4047: 7.890723616266138e-06
Position 1389: 7.712388077632135e-06
Position 512: 6.62167984755264e-06
Position 738: 5.082629557110768e-06
Position 721: 4.986054774747733e-06
Position 732: 3.919804065363261e-06
Position 939: 2.717101779871396e-06
Position 595: 2.314082711799376e-06
Position 474: 2.1433051795571356e-06
Position 777: 2.1358412318355206e-06
Position 797: 1.8666748994644933e-06
Position 162: 1.3285086681865831e-06
Position 813: 9.083130656623261e-07
Position 727: 8.450405841568139e-07
Position 744: 7.907090677587917e-07
Position 1202: 7.162268984178013e-07
Position 725: 6.388037788072783e-07
Position 751: 6.292128448939971e-07
Position 471: 5.256786280075793e-07
Position 493: 4.227270444011807e-07
Position 542: 3.67604019634513e-07
Position 186: 6.401363793464036e-08
Position 173: 1.0591741492231817e-09
Position 135: 8.15462320049287e-10
Position 169: 5.46386009307498e-10
Position 104: 1.752027344205244e-10
Position 110: 9.067933631490879e-11
Position 517: 6.693924771602183e-11
Position 602: 5.933320006952722e-11
Position 591: 5.409085498210739e-11
Position 124: 2.331994940886808e-11
Position 116: 1.9202011744551483e-11
Position 80: 1.4804271726092017e-11
Position 141: 1.1883858994495714e-11
Position 75: 2.666498804145563e-12
Position 100: 1.1570364311715195e-12
Position 92: 1.0148511412772721e-12
Position 88: 6.401743282995014e-13
Position 481: 3.1194794691784383e-13
Position 118: 2.18524566080113e-13
Position 83: 6.08977251581448e-14
