Gene = Tfpt
index = 1076
Annotated 5SS: [ 333 1057 5286 8822 9108]
Annotated 3SS: [ 797 5214 8751 8900 9409]
SMsplice 5SS: [ 113 1057 5286 8822]
SMsplice 3SS: [ 797 5214 8751 9409]
top_k =  500
Partition function (log Z): -2.710239191786959

Sorted 5' Splice Sites (High to Low Probability):
Position 5286: 0.9853877326421976
Position 8822: 0.7633602540010519
Position 1057: 0.5773654940377471
Position 5949: 0.4411411737786792
Position 113: 0.406447127161609
Position 9108: 0.32468816484095686
Position 1061: 0.31223669086680406
Position 333: 0.22688659021365917
Position 9339: 0.20006026838465116
Position 201: 0.14263641690917242
Position 1813: 0.12833224457300826
Position 1758: 0.0947195863085219
Position 184: 0.08657820263317968
Position 5483: 0.08621238228307875
Position 3187: 0.08423338283067423
Position 5758: 0.06679932171503451
Position 9138: 0.06371853081821485
Position 253: 0.041141707479851596
Position 132: 0.03611707524960142
Position 8844: 0.031311146235166884
Position 9217: 0.031071423133441516
Position 1649: 0.02973958029287182
Position 6029: 0.028386485784212045
Position 5490: 0.025007066354945113
Position 7863: 0.022345986437858525
Position 890: 0.017329940803621692
Position 7966: 0.017041372825197493
Position 1638: 0.016570245766360455
Position 647: 0.016384215012063663
Position 7198: 0.015414760779284414
Position 9069: 0.014714441903785817
Position 1919: 0.013913149090078071
Position 2988: 0.01252646437757162
Position 3812: 0.011812150836651495
Position 6162: 0.011675939930482155
Position 1827: 0.011213515479059057
Position 3680: 0.010679146050727312
Position 6262: 0.01001901239307761
Position 3485: 0.009182526524437082
Position 3958: 0.006595164132720183
Position 1817: 0.006140296656143868
Position 9172: 0.005511314438404689
Position 2815: 0.004922291289960706
Position 33: 0.00398768333871147
Position 475: 0.0033285517781963675
Position 1929: 0.0031967294467621543
Position 104: 0.003154888504991022
Position 5762: 0.0030696764192096986
Position 413: 0.0027792890076864373
Position 4532: 0.0024231043180847076
Position 5649: 0.002366107563224638
Position 121: 0.002057761415474046
Position 2133: 0.0018469739103150868
Position 3742: 0.0018192028684190348
Position 4343: 0.0017310036402903182
Position 179: 0.0015927812726469974
Position 291: 0.0015875041231086856
Position 3710: 0.001542991496460342
Position 1031: 0.00148444706775726
Position 5423: 0.0012960478969040329
Position 3772: 0.0012316523234098377
Position 1017: 0.0011890634331574552
Position 3545: 0.0011661753987712033
Position 3817: 0.0011214807016243838
Position 4413: 0.0011170109268210007
