Gene = 1700028J19Rik
index = 15
Annotated 5SS: [ 116 3829 4859 5403]
Annotated 3SS: [3627 4711 5273 5542]
SMsplice 5SS: [ 116 4859 5403]
SMsplice 3SS: [4711 5268 5542]
top_k =  500
Partition function (log Z): -4.474284229422654

Sorted 5' Splice Sites (High to Low Probability):
Position 4859: 0.8778277687576724
Position 5403: 0.7215351931939801
Position 116: 0.5017648907663281
Position 507: 0.3593932614108759
Position 106: 0.24211521551739132
Position 5342: 0.1608010956823552
Position 3829: 0.15747141687951502
Position 3489: 0.11802984987624557
Position 4881: 0.07573211645130673
Position 4375: 0.06479344616678802
Position 3222: 0.06355613093785238
Position 173: 0.05573202784652503
Position 183: 0.04696852558619842
Position 4159: 0.03913654022764721
Position 230: 0.0343794432714139
Position 5908: 0.024098095000349016
Position 3754: 0.020214521213896212
Position 3264: 0.01863090597312669
Position 203: 0.013884699272601478
Position 5707: 0.012034539145070784
Position 1890: 0.007985083737696254
Position 576: 0.006505439769485777
Position 5603: 0.005560143990854974
Position 1684: 0.005271758210745813
Position 2021: 0.004582912825207495
Position 5173: 0.003864322487066126
Position 3356: 0.0037742912324859454
Position 4929: 0.0015287347546812415
Position 5689: 0.0014602566972105012
Position 5432: 0.001364904311714
Position 3185: 0.0013033431084553434
Position 5470: 0.0013017421977035823
Position 5685: 0.0008768664765214161
Position 23: 0.0008686829769451481
Position 162: 0.0006641499625453895
Position 3564: 0.000513721289585799
Position 5697: 0.0004951238522614233
Position 120: 0.00047086703541462536
Position 5843: 0.0003415805394619458
Position 131: 0.0002782272690628926
Position 6132: 0.00021538530519016856
Position 5384: 0.00020768869099557433
Position 6200: 0.00014768516949944561
Position 193: 0.00013823323919718544
Position 5585: 0.0001361110306267786
Position 41: 0.00012511354394768894
Position 342: 6.388063827189292e-05
Position 5566: 4.5960022906200564e-05
Position 146: 3.886185773956098e-05
Position 81: 3.46446166977757e-05
Position 36: 2.5902772811334204e-05
Position 470: 2.3390120833028826e-05
Position 2855: 1.652952013606881e-05
Position 1505: 8.164145903719169e-06
Position 1201: 5.329391293464099e-06
Position 295: 4.773364157893905e-06
Position 1489: 4.109572345673678e-06
Position 360: 3.4578818159341013e-06
Position 474: 3.049161394731229e-06
Position 303: 2.545891100795274e-06
Position 1467: 2.414073320700859e-06
Position 1288: 2.35950221966799e-06
Position 1471: 2.196647339629943e-06
Position 65: 1.9461754505999435e-06
Position 247: 1.654787213521041e-06
Position 1123: 8.971533288906266e-07
Position 45: 7.9647534335013e-07
Position 29: 7.361177868415344e-07
Position 5373: 5.451305804935289e-07
Position 56: 3.0687357221051144e-07
