Gene = Pate13
index = 796
Annotated 5SS: [ 52 187 625]
Annotated 3SS: [162 483 896]
SMsplice 5SS: [52]
SMsplice 3SS: [162]
top_k =  500
Partition function (log Z): -5.315435212611659

Sorted 5' Splice Sites (High to Low Probability):
Position 52: 0.9243685326183366
Position 625: 0.7190025596164764
Position 275: 0.09634014191522561
Position 297: 0.08310333434145752
Position 329: 0.04879556042622838
Position 411: 0.04657983488673199
Position 48: 0.03421930219898839
Position 378: 0.021565894934520186
Position 321: 0.015940495273649456
Position 98: 0.00589900980352176
Position 192: 0.004789983298349217
Position 187: 0.002783368230810458
Position 243: 0.0017045865658243608
Position 415: 0.0009468799501196261
Position 265: 0.0009116428652941855
Position 389: 0.00041203200113644955
Position 436: 0.00021744696389735204
Position 77: 0.0001902577358075282
Position 171: 0.00018474523986483572
Position 930: 0.00018138566950270832
Position 586: 8.275006529387616e-05
Position 114: 8.085928683866676e-05
Position 719: 4.928707321307187e-05
Position 24: 3.6353749934080366e-05
Position 898: 3.2984489676552997e-05
Position 993: 2.5931178561769137e-05
Position 952: 2.0992616401156047e-05
Position 658: 2.0346084615437e-05
Position 704: 1.5007399475932472e-05
Position 557: 1.3503105898627657e-05
Position 850: 1.3361124371227609e-05
Position 22: 1.0725348187635323e-05
Position 496: 8.145942299822747e-06
Position 912: 7.314682253348496e-06
Position 616: 7.170031404098141e-06
Position 1011: 5.257941123073702e-06
Position 939: 3.073270954338798e-06
Position 439: 1.7249820752023148e-06
Position 665: 1.3217593942330987e-06
Position 483: 8.282414129041658e-07
Position 521: 1.4078075692499414e-09
Position 505: 1.335507683933043e-09
Position 503: 1.1115781505643303e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 896: 0.685939694397089
Position 162: 0.6532312859204346
Position 483: 0.5344205715437824
Position 1002: 0.06214152925041003
Position 452: 0.05516534452490659
Position 490: 0.004212456312063686
Position 165: 0.0029365669868522746
Position 624: 0.0023221364338081407
Position 1055: 0.001710055599134487
Position 436: 0.0009412791735751643
Position 580: 0.0007761301057779719
Position 192: 0.0007607124836017964
Position 439: 0.0007596934569762129
Position 594: 0.0006891463892174862
Position 374: 0.0005845304665613165
Position 169: 0.0004025064823921035
Position 311: 0.0003113166347331626
Position 691: 0.0002622409662785938
Position 718: 0.00022298889996920105
Position 731: 0.00017035172210306748
Position 139: 7.626026466644817e-05
Position 697: 7.253554900324434e-05
Position 557: 6.662986119225952e-05
Position 849: 5.321399654611278e-05
Position 1076: 3.854130430810227e-05
Position 171: 3.630711239502395e-05
Position 784: 3.43093371500389e-05
Position 856: 3.253813202489281e-05
Position 757: 3.0511968776774693e-05
Position 978: 2.3315641633182213e-05
Position 761: 1.836159090155826e-05
Position 1057: 1.8047108505034312e-05
Position 243: 1.412904059998183e-05
Position 332: 1.0665763199326245e-05
Position 727: 1.0655430733537947e-05
Position 980: 1.0568396790167901e-05
Position 665: 8.521252458162343e-06
Position 753: 6.187844462833802e-06
Position 739: 6.052243972474179e-06
Position 733: 5.405718183722055e-06
Position 794: 5.367834249094019e-06
Position 704: 5.1122860400607165e-06
Position 1078: 4.802430344226037e-06
Position 1072: 4.555115980516295e-06
Position 709: 4.377132444302025e-06
Position 786: 4.251050030331393e-06
Position 859: 3.150390706092742e-06
Position 629: 2.5755285965827275e-06
Position 862: 2.394901550620751e-06
Position 297: 1.0892094012944502e-06
Position 811: 8.326366061186345e-07
Position 805: 8.103026446693999e-07
Position 237: 5.525887072450575e-07
Position 240: 4.937052975789899e-07
Position 389: 2.4465680863712054e-07
Position 329: 2.0260292909463267e-08
Position 345: 5.096203553335108e-09
Position 88: 2.832378286034775e-09
Position 387: 2.374441766886862e-09
Position 97: 2.3631613362588767e-11
Position 91: 3.513565728188978e-14
