Gene = Cops9
index = 288
Annotated 5SS: [ 106 2299]
Annotated 3SS: [2225 4581]
SMsplice 5SS: [ 379 2299]
SMsplice 3SS: [2225 4581]
top_k =  500
Partition function (log Z): -5.6651965201416505

Sorted 5' Splice Sites (High to Low Probability):
Position 2299: 0.9720812812314618
Position 379: 0.5204439161992587
Position 106: 0.3943199828673091
Position 662: 0.2981908900307691
Position 672: 0.0983735020114833
Position 597: 0.04858951686255992
Position 3301: 0.04741398483564711
Position 1364: 0.0287572802717897
Position 2583: 0.025768154785034757
Position 3713: 0.023364905794231457
Position 2447: 0.0208561044548499
Position 2146: 0.02050803652829625
Position 667: 0.020117270971920072
Position 389: 0.01899177201061859
Position 264: 0.017201262956755337
Position 396: 0.017195425152977447
Position 269: 0.013614644298239036
Position 3296: 0.012952544757333548
Position 691: 0.012322978778682577
Position 1271: 0.01090127835416341
Position 618: 0.008121359369032655
Position 1725: 0.0067487444264162175
Position 4042: 0.006362809302781643
Position 1742: 0.006032468541713428
Position 246: 0.005785701989482962
Position 140: 0.0044579618939959665
Position 4346: 0.003862996499833445
Position 280: 0.0034407008688487973
Position 1013: 0.0032227463344418174
Position 3838: 0.003169455559634639
Position 3246: 0.0021181587450520133
Position 2654: 0.0020994198142513546
Position 1798: 0.001846582698875525
Position 18: 0.001823752095663762
Position 3080: 0.001637725099922296
Position 622: 0.0015337837736925375
Position 2900: 0.0010132153049608205
Position 4616: 0.0009550396390536537
Position 4236: 0.0009025434774520391
Position 804: 0.000860427935788211
Position 111: 0.0008133733897040266
Position 542: 0.0007696805375289308
Position 2303: 0.0006831968432512603
Position 4167: 0.0006629391002910697
Position 240: 0.0006481687320782634
Position 642: 0.0005018912078179277
Position 579: 0.0004945865613444806
Position 2493: 0.0004921461788346923
Position 1764: 0.00045297706590243967
Position 948: 0.0003765696550625238
Position 3480: 0.00034114247476171313
Position 284: 0.0003269111524210679
Position 4761: 0.00032641244816046554
Position 1572: 0.00028970472439307027
Position 1299: 0.00019455254335022952
Position 2359: 0.00017420086962973515
Position 678: 0.00015740131138299802
Position 114: 0.0001359756909060779
Position 424: 0.00012111152864474706
Position 37: 0.00010995441258197577
Position 66: 0.0001029108709174353
Position 134: 9.373199441444253e-05
Position 91: 8.401270234679023e-05
Position 411: 7.294376605578395e-05
Position 2233: 5.7525231723506786e-05
Position 486: 3.907804599831303e-05
Position 222: 1.980985056979977e-05
Position 434: 1.9629545485776616e-05
