Gene = Stk17b
index = 1037
Annotated 5SS: [  151  8708 13615 19304 21193 22636 24243]
Annotated 3SS: [ 8544 13401 19158 21065 22586 24062 27453]
SMsplice 5SS: [  151  2633  8708 10931 19304 20218 22636 24243]
SMsplice 3SS: [ 2527  8544 10798 19158 20059 22586 24062 27453]
top_k =  500
Partition function (log Z): 0.4655715357072987

Sorted 5' Splice Sites (High to Low Probability):
Position 8708: 0.9999408412100125
Position 19304: 0.9646697397978317
Position 151: 0.9447481843066733
Position 22636: 0.942228099315405
Position 10931: 0.9215606151601318
Position 24243: 0.7809198601499586
Position 2633: 0.6172218797491746
Position 13615: 0.4937280144525269
Position 20218: 0.446089341668334
Position 21193: 0.3232157018666717
Position 3720: 0.29590240231875453
Position 12376: 0.2662579224451515
Position 9596: 0.25778362957260076
Position 943: 0.2508297409260932
Position 8452: 0.24877318486521596
Position 11997: 0.24445708228320895
Position 11954: 0.23691791975553128
Position 15948: 0.19262802038756488
Position 12348: 0.17296799248679678
Position 20222: 0.15037044394695065
Position 11142: 0.1446850687943206
Position 19763: 0.13226752359406585
Position 12068: 0.10860467891806308
Position 12166: 0.10632626625962564
Position 3675: 0.1021880588856398
Position 11311: 0.09334718058345934
Position 6567: 0.08501574170282958
Position 11353: 0.06389544331626595
Position 24418: 0.06243012778255038
Position 4109: 0.06131437037384852
Position 10467: 0.05712298591791924
Position 20187: 0.052869706126610676
Position 20957: 0.05129699671885211
Position 7736: 0.049958444854704666
Position 26065: 0.042329097506854346
Position 3462: 0.04132398695073389
Position 3550: 0.032563937241538075
Position 10988: 0.022412878994078865
Position 21154: 0.02145946064853532
Position 11315: 0.020519502037711027
Position 23893: 0.02013907660088723
Position 9852: 0.019648150830795647
Position 11138: 0.01792063141202558
Position 26370: 0.01775352316838271
Position 3759: 0.016929751755856527
Position 25887: 0.01618091416760439
Position 22142: 0.016051360102375352
Position 6479: 0.01601601744165356
Position 3085: 0.013552096860606823
Position 1593: 0.013313403947872235
Position 9424: 0.011699011843518405
Position 22657: 0.010857601963732416
Position 8319: 0.010809154230582659
Position 867: 0.009772604320195376
Position 933: 0.009527711174731912
Position 20360: 0.009298479506296833
Position 2151: 0.008711133994212084
Position 54: 0.008613244731247586
Position 9485: 0.008450929956062348
Position 21463: 0.008183694199436885
Position 442: 0.008177284332348225
Position 2835: 0.007531387628897005
Position 67: 0.007528317939138339
Position 7214: 0.00742945537434378
Position 22648: 0.007389751156768064
Position 7584: 0.007089911816949368
Position 223: 0.006770318872790581
Position 9779: 0.006057339602549706
Position 13543: 0.0060098943573265754
Position 7151: 0.005463855402217671
Position 9306: 0.005245932789125741
Position 4010: 0.005129109420146054
Position 13619: 0.00509121517406919
Position 20302: 0.00472066550178154
Position 7541: 0.004517321107553179
Position 19453: 0.004481091082032006
Position 4674: 0.004169801036474975
Position 22118: 0.004105095019594891
Position 5528: 0.0033996946718806847
