Gene = Ufc1
index = 1161
Annotated 5SS: [ 104  391 4876 5141 5507 5854]
Annotated 3SS: [ 196 4807 5076 5429 5762 6052]
SMsplice 5SS: [ 104  391 3457 4876 5170 5507 5854]
SMsplice 3SS: [ 196 3309 4807 5076 5429 5762 6052]
top_k =  500
Partition function (log Z): 7.6100476093009

Sorted 5' Splice Sites (High to Low Probability):
Position 4876: 0.9715199960108485
Position 5170: 0.8649785277093062
Position 391: 0.863806016642967
Position 5507: 0.810265673390599
Position 3457: 0.7761497245456
Position 104: 0.6923391432168557
Position 5854: 0.6842316157797771
Position 3749: 0.3226972458830932
Position 2419: 0.30811125834856457
Position 5141: 0.12416404456539941
Position 40: 0.07450907766870969
Position 798: 0.062218277850412965
Position 4017: 0.060756950208899624
Position 3447: 0.05639617421733903
Position 348: 0.050863882601294944
Position 5540: 0.048794384062325585
Position 217: 0.0409469333124016
Position 1538: 0.040551291720109024
Position 108: 0.03989643162048855
Position 5524: 0.03715768209425118
Position 1609: 0.035419689167682844
Position 2196: 0.03522204973899008
Position 1503: 0.0293711745369726
Position 213: 0.025223383057671522
Position 4296: 0.021810489879259366
Position 635: 0.013278644353395517
Position 3971: 0.011872194172230557
Position 4895: 0.010473638389407645
Position 2391: 0.010333174590296132
Position 1746: 0.009369782480912536
Position 4901: 0.009252382606655146
Position 352: 0.007490725654739109
Position 2573: 0.00739380937899068
Position 3759: 0.0059484520993381895
Position 4884: 0.005298825166230094
Position 55: 0.004686303008538482
Position 3167: 0.0038853730985001066
Position 3847: 0.0035333358169120036
Position 679: 0.0024032238939791168
Position 3975: 0.002282468297652424
Position 5521: 0.001853164312792417
Position 5188: 0.0017553940166962867
Position 310: 0.0016230684373720553
Position 5200: 0.0013142174195574874
Position 1456: 0.001291351479104893
Position 658: 0.0012429225286775696
Position 1265: 0.0012159431756736756
Position 158: 0.001163387858897178
Position 5279: 0.0011585471099260314
Position 3712: 0.0011211117122932612
Position 64: 0.0010193030226003377
Position 444: 0.001008675770964097
Position 5313: 0.0007355542058768172
Position 1494: 0.0007298022566037233
Position 3137: 0.0006449108188900395
Position 5906: 0.0005549203384131632
Position 2541: 0.0005327062347061588
Position 2218: 0.0005298215003134622
Position 5645: 0.00040288042538494525
Position 5501: 0.00038931719624729524
Position 4931: 0.00033418883086467087
Position 18: 0.00024157121003838121
Position 1292: 0.0002200233755935084
Position 6099: 0.00021494012917984564
Position 5872: 0.00021163033099361205
Position 5874: 0.00020153248689890965
Position 436: 0.00018429242124138847
Position 5245: 0.00014218653835654636
Position 4897: 0.00012809538989889878
Position 5351: 0.0001247599292245494
Position 5858: 0.0001153390269432568
Position 82: 8.381495608714563e-05
Position 196: 8.012916531139201e-05
Position 768: 7.848617509376541e-05
Position 5147: 7.20925314655329e-05
Position 378: 6.197909364183213e-05
Position 5174: 6.1358264698977e-05
Position 1297: 5.634004300637024e-05
Position 1541: 5.501105168766311e-05
Position 1209: 4.951941143449841e-05
Position 692: 4.0207437841028715e-05
Position 483: 3.8869572824979694e-05
Position 418: 3.655563702711314e-05
Position 1886: 3.4193040094050634e-05
Position 5095: 2.8853083755517614e-05
Position 1162: 2.7589642309790123e-05
Position 395: 2.266943078950264e-05
Position 21: 1.7654344871609698e-05
Position 5145: 1.7270792614025844e-05
Position 788: 1.7128687017410527e-05
Position 292: 1.603464590680331e-05
Position 4807: 1.4224366410130923e-05
Position 1571: 1.0521518144297965e-05
Position 1545: 9.247241923230236e-06
Position 467: 8.637803670408928e-06
Position 1175: 7.964830743514985e-06
