Gene = Cln6
index = 269
Annotated 5SS: [  170  5900  7268  8370  8856 10447]
Annotated 3SS: [ 5784  7168  8180  8799 10323 11831]
SMsplice 5SS: [  170  5900  7268  8856 10447]
SMsplice 3SS: [ 5784  7168  8799 10323 11831]
top_k =  500
Partition function (log Z): 1.0840687586178879

Sorted 5' Splice Sites (High to Low Probability):
Position 170: 0.9927693496005654
Position 5900: 0.9874486449362568
Position 10447: 0.919486724838745
Position 7268: 0.8066272667982706
Position 8856: 0.7294637224911867
Position 8370: 0.46211119096543984
Position 1807: 0.34658327719883003
Position 11145: 0.11460878340066127
Position 2850: 0.11047459252500166
Position 4348: 0.06693450481871888
Position 1160: 0.05610178956655742
Position 10701: 0.05374142871338377
Position 8969: 0.052102839391195664
Position 7511: 0.04806157336716984
Position 4470: 0.04516906345606264
Position 2254: 0.043669349323432194
Position 2844: 0.04323720281491591
Position 9440: 0.04296110592683328
Position 8003: 0.039773440163385014
Position 8937: 0.03565288553011947
Position 3336: 0.029514065702824315
Position 11720: 0.02910676769922708
Position 11991: 0.027448298596258965
Position 6108: 0.023580347977463414
Position 642: 0.023501527511382153
Position 6648: 0.019111815638885428
Position 8720: 0.016745293436062042
Position 2833: 0.016025538582983983
Position 2309: 0.014476590564911278
Position 10860: 0.013594173498836907
Position 8695: 0.012193591358473825
Position 1116: 0.011683028036653997
Position 12099: 0.011390965652497951
Position 8989: 0.010923730984913622
Position 5685: 0.00961661166946043
Position 9883: 0.009173806153007492
Position 10324: 0.008308325008008946
Position 917: 0.007662651017593263
Position 7147: 0.007126136992458919
Position 3523: 0.006842483917215639
Position 12430: 0.006725057582506888
Position 11955: 0.005918803017830061
Position 2079: 0.005868681703280096
Position 9720: 0.005381433177828524
Position 11273: 0.005261949878459252
Position 1196: 0.005194042075863418
Position 12085: 0.005055442823005011
Position 3174: 0.004882245175765501
Position 10829: 0.004786368127572375
Position 1288: 0.004598064305156009
Position 155: 0.004344584755827198
Position 9356: 0.003811323802620607
Position 9010: 0.003650143806105678
Position 10434: 0.003474408056093784
Position 9251: 0.0033473164164056365
Position 6523: 0.003234151657202854
Position 12160: 0.00314832274277642
Position 9660: 0.002753419544605201
Position 8306: 0.002679698681826926
Position 8302: 0.0025192976270267836
Position 11983: 0.0020097794589444633
Position 12033: 0.001767370809002515
Position 5076: 0.0016968375087083021
Position 8268: 0.0016024772321028794
Position 8321: 0.0013351900984570645
Position 11247: 0.0012124693822299205
Position 11200: 0.0008819392988545169
Position 12227: 0.0005890720228601512
Position 12232: 0.000523617253357172
Position 1624: 0.0005090312883451808
Position 7371: 0.0004134172928374318
Position 381: 0.00039619225320691867
Position 1088: 0.00031865176505295717
Position 12670: 0.00031635222564628084
Position 764: 0.00026235211057142743
Position 1027: 0.00019319366878215886
Position 148: 0.00016757771416768888
Position 150: 0.00015678182648635704
Position 11832: 0.00015265363400284576
Position 8325: 0.00012003593861263766
Position 868: 0.00011066557377191109
Position 10270: 0.00010858937977302578
Position 10421: 0.00010501792903554024
Position 570: 8.811096400301277e-05
Position 11995: 3.512446783706089e-05
Position 404: 2.4586712110128445e-05
Position 233: 1.818397252510947e-05
