Gene = Sprr2k
index = 1023
Annotated 5SS: [40]
Annotated 3SS: [746]
SMsplice 5SS: [40]
SMsplice 3SS: [746]
top_k =  500
Partition function (log Z): -7.756251215613067

Sorted 5' Splice Sites (High to Low Probability):
Position 40: 0.9790820177578051
Position 540: 0.09550756626924511
Position 646: 0.02791499902790843
Position 785: 0.016254171347369627
Position 652: 0.007919266484839527
Position 125: 0.004404921154895915
Position 406: 0.003261384168986333
Position 271: 0.0018805573783340168
Position 648: 0.0018777362786442087
Position 966: 0.0010449361899354465
Position 1214: 0.0006042584987876931
Position 161: 0.0005326994554815757
Position 715: 0.0004684654724094537
Position 544: 0.0004076497331231572
Position 567: 0.00037265290723792596
Position 111: 0.00035828814410957644
Position 10: 0.00029048038971396284
Position 154: 0.0002125127821218212
Position 66: 0.00020794330668377512
Position 604: 0.00013340496391795357
Position 309: 9.813437835794429e-05
Position 331: 8.044733042942193e-05
Position 177: 7.71862743489529e-05
Position 650: 7.346353422706836e-05
Position 145: 7.173547641801344e-05
Position 169: 6.613382861668046e-05
Position 412: 5.169988328541262e-05
Position 846: 5.1028732175747054e-05
Position 217: 4.0678075966789336e-05
Position 59: 3.721664687987769e-05
Position 44: 3.6716420491114535e-05
Position 97: 3.1053002961412876e-05
Position 719: 2.6987888865547614e-05
Position 525: 1.8445511368303497e-05
Position 256: 1.563230075940618e-05
Position 106: 1.5170213650935328e-05
Position 873: 7.735299786773952e-06
Position 813: 4.684812639932274e-06
Position 172: 1.7547457323344808e-06
Position 290: 1.5681330117021269e-06
Position 52: 1.367099711892262e-06
Position 209: 1.222624326024388e-06
Position 189: 4.7275832622426195e-07
Position 354: 4.1531585564043657e-07
Position 219: 4.1186339767216725e-07
Position 480: 3.0293959304684086e-07
Position 368: 1.682748297368605e-07
Position 512: 1.6801678227016933e-07
Position 507: 1.4340322034929866e-07
Position 797: 4.584454711275638e-08
Position 811: 1.7680332805027204e-08
Position 415: 4.707044801232248e-09
Position 197: 7.591046391672807e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 746: 0.7700583714364085
Position 405: 0.09283786935638864
Position 216: 0.0669733176096302
Position 873: 0.04669940395025499
Position 520: 0.042606726396521195
Position 365: 0.03070232624217522
Position 846: 0.02053212485665091
Position 556: 0.012243351856895223
Position 445: 0.012181260866108412
Position 828: 0.00627375071275035
Position 522: 0.006251815263123659
Position 1338: 0.005858341847345827
Position 1202: 0.004154168403470805
Position 897: 0.0030332169222931234
Position 1288: 0.002387554598882451
Position 1167: 0.0022582165787774456
Position 175: 0.0022246259408418567
Position 930: 0.0021599507955681317
Position 1110: 0.0019677026589569216
Position 453: 0.0015243763700035868
Position 368: 0.0014575253761748479
Position 775: 0.0014225894970600265
Position 340: 0.0012569573929492013
Position 232: 0.0009204695827480435
Position 1070: 0.0008749988733322174
Position 780: 0.0007232108356018666
Position 337: 0.0005804085806124211
Position 324: 0.000559419335996749
Position 942: 0.00035692836694906966
Position 622: 0.0002683195185076031
Position 906: 0.00025868094370922113
Position 1131: 0.0002548515354874936
Position 945: 0.00018934265156866974
Position 1254: 0.00018253024892674296
Position 145: 0.00018016542139950178
Position 777: 0.0001332712520412541
Position 962: 0.00010751599118159778
Position 573: 9.987428718585962e-05
Position 783: 8.862215492368315e-05
Position 380: 8.220252094414604e-05
Position 412: 6.444574264890834e-05
Position 703: 6.117726983506933e-05
Position 966: 4.185203093438344e-05
Position 1073: 4.183115203988043e-05
Position 882: 4.1214673029102e-05
Position 690: 3.9222307146354586e-05
Position 270: 3.9196224158320305e-05
Position 1225: 3.583111269159253e-05
Position 723: 3.447855350156069e-05
Position 103: 3.1582629417260665e-05
Position 177: 2.964065336478255e-05
Position 1291: 1.866519773629731e-05
Position 1268: 1.7636662496697518e-05
Position 972: 1.5902623429501627e-05
Position 754: 1.544430898042331e-05
Position 855: 1.4093492448695688e-05
Position 249: 1.2775135123716787e-05
Position 627: 1.1548914717030809e-05
Position 106: 1.1474687354594937e-05
Position 609: 1.1268855748068823e-05
Position 277: 1.0976063222563332e-05
Position 1295: 9.742657695024267e-06
Position 1221: 6.610868782551761e-06
Position 567: 2.596485185525335e-06
Position 347: 1.6117417588019568e-06
Position 658: 4.4564864653878197e-07
Position 630: 3.919976491818557e-07
Position 242: 3.47655938140877e-08
Position 100: 3.375570392411522e-08
Position 266: 2.567327471655914e-08
Position 254: 1.4625122361399907e-08
Position 284: 1.265619749681262e-09
