Gene = Tssc4
index = 1150
Annotated 5SS: [265 602]
Annotated 3SS: [505 686]
SMsplice 5SS: [265]
SMsplice 3SS: [686]
top_k =  500
Partition function (log Z): -8.027845594223614

Sorted 5' Splice Sites (High to Low Probability):
Position 265: 0.9133803466586824
Position 572: 0.2194331121701584
Position 687: 0.0356131347273006
Position 236: 0.024865071885092557
Position 17: 0.02303114649326608
Position 445: 0.02231955967005305
Position 248: 0.021789763953331646
Position 602: 0.01971619865359436
Position 1044: 0.01562634596724611
Position 40: 0.005863179635243449
Position 1618: 0.005808168416635273
Position 58: 0.003950603126692678
Position 828: 0.0026910942494341376
Position 820: 0.002455576452186904
Position 29: 0.0022657922219777547
Position 1709: 0.000991011287258658
Position 777: 0.0008306235184650351
Position 576: 0.0005614306705233208
Position 703: 0.00047733193599368577
Position 564: 0.0002844638176082456
Position 1143: 0.0002604325138943729
Position 1272: 0.00025822771377199564
Position 1087: 0.00017675853651254075
Position 65: 0.00016009316280984892
Position 1725: 0.00010149678534450222
Position 27: 7.525201052965175e-05
Position 52: 6.649283522893089e-05
Position 21: 4.000799688540694e-05
Position 383: 3.0445072259244423e-05
Position 458: 2.5849619531284702e-05
Position 432: 2.4038142741385588e-05
Position 6: 1.5596975453717557e-05
Position 341: 1.3241714919442029e-05
Position 834: 1.0408714032584938e-05
Position 329: 1.0193173178711518e-05
Position 158: 9.46842875822036e-06
Position 415: 9.134692883271187e-06
Position 817: 7.708399771968545e-06
Position 1500: 7.497398835326654e-06
Position 449: 6.876918809737524e-06
Position 1414: 6.789902999730869e-06
Position 350: 6.526759010344677e-06
Position 472: 5.453573694931156e-06
Position 1506: 4.823560556099922e-06
Position 106: 4.422386330456282e-06
Position 112: 1.1568347535837002e-06
Position 306: 7.615143513900841e-07
Position 109: 6.434196005622303e-07
Position 246: 5.997949210734825e-07
Position 955: 3.2293721310701076e-07
Position 312: 2.2664382169519963e-07
Position 511: 1.548305493660871e-07
Position 517: 1.468542485506593e-07
Position 596: 5.599993171651661e-08
Position 706: 2.063180901283122e-08
Position 696: 6.971682050796702e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 686: 0.6138215129430853
Position 505: 0.2069573929462495
Position 1579: 0.07303295919905713
Position 547: 0.04753057021130445
Position 527: 0.04705910841883368
Position 787: 0.04192043633415842
Position 357: 0.041200835907574465
Position 1042: 0.030044255747708068
Position 846: 0.029200866390793622
Position 927: 0.018266054363258455
Position 112: 0.01572735390740639
Position 166: 0.01525854407709325
Position 722: 0.011977077070669312
Position 702: 0.010570867884825613
Position 322: 0.00998472048467003
Position 1463: 0.009821786450770167
Position 1804: 0.00863733038143835
Position 1307: 0.007770868114695694
Position 720: 0.0068627356600061236
Position 1551: 0.00670497665661538
Position 971: 0.006420895547106408
Position 1443: 0.006264948800253751
Position 1413: 0.0057132060267130165
Position 976: 0.0054368419180812365
Position 869: 0.004049335318533318
Position 808: 0.004037896361335139
Position 1695: 0.0035327417770854236
Position 1542: 0.002985027882982188
Position 1141: 0.0026388137730034003
Position 422: 0.0026077476707546507
Position 1728: 0.0024116356559837817
Position 850: 0.002098839693501266
Position 1195: 0.0019039715525118915
Position 982: 0.0018828624977244451
Position 1811: 0.0017097046404965515
Position 432: 0.001384923782110122
Position 359: 0.0012345267690604181
Position 361: 0.0011114581236099034
Position 1754: 0.0010755087665554935
Position 932: 0.001017383414228519
Position 129: 0.0009374648296384268
Position 1087: 0.0008488396779864672
Position 1152: 0.0008161343051635649
Position 948: 0.0007825528328917633
Position 81: 0.0007327444938289107
Position 398: 0.0006384397604301774
Position 1284: 0.0005445803934278274
Position 152: 0.0005004442806074867
Position 1515: 0.0004874516016259153
Position 1583: 0.00037343561457340674
Position 1469: 0.00034599628311823816
Position 1612: 0.0003440439003892726
Position 1215: 0.00032789998342055613
Position 1178: 0.00029670911105843196
Position 106: 0.00029589741423210716
Position 1001: 0.00029426118372605903
Position 377: 0.00026260662596652094
Position 1271: 0.0002446874794417644
Position 1667: 0.00023221654693830372
Position 1586: 0.0002297680753786631
Position 1487: 0.00021569222828007577
Position 1008: 0.0002112650812919108
Position 848: 0.00020826586034659208
Position 817: 0.00018834237552832752
Position 716: 0.000173597718938489
Position 1777: 0.00013449753210771528
Position 752: 0.00011709117667884203
Position 379: 0.00010300983130412064
Position 395: 0.00010292263180155179
Position 556: 7.890976146162287e-05
Position 579: 7.310440693085037e-05
Position 581: 7.197100268676458e-05
Position 188: 5.45039823024874e-05
Position 596: 4.6283183533801665e-05
Position 175: 2.7952988705817256e-05
Position 887: 1.766724581877913e-05
Position 179: 1.596740858631062e-05
Position 872: 1.2046279483852295e-05
Position 863: 9.534786480647092e-06
Position 576: 7.972695304011645e-06
Position 285: 5.548847160884708e-06
Position 601: 4.8791686683777115e-06
Position 955: 4.221794411373235e-06
Position 608: 2.0255275255954393e-06
Position 296: 8.842818280945432e-07
Position 407: 8.725169562549734e-07
Position 639: 4.5760869641380684e-07
Position 227: 4.2871154722513255e-07
Position 234: 3.492723664324011e-07
Position 623: 2.9956592344870454e-07
Position 243: 1.3047937561989885e-08
Position 223: 1.2896086597905042e-08
