Gene = Bri3
index = 187
Annotated 5SS: [286 679]
Annotated 3SS: [ 575 8774]
SMsplice 5SS: [286 679]
SMsplice 3SS: [ 575 8774]
top_k =  500
Partition function (log Z): -3.752054790208535

Sorted 5' Splice Sites (High to Low Probability):
Position 679: 0.993157431715006
Position 286: 0.9282600388284261
Position 2403: 0.448223344010142
Position 2660: 0.42178890645567607
Position 6645: 0.332204010084961
Position 3279: 0.29220898420001623
Position 2573: 0.24869483399675232
Position 8374: 0.1231279176066059
Position 7019: 0.05593732519572309
Position 3335: 0.04986969694369886
Position 7302: 0.027219446240255563
Position 2581: 0.027126084988352978
Position 1398: 0.01837184453386122
Position 4194: 0.01749427101282273
Position 1310: 0.016910696521386846
Position 3350: 0.015828916082167695
Position 4170: 0.015271844922648081
Position 4443: 0.013468264206810767
Position 3233: 0.0131434269345965
Position 4429: 0.012452519388212199
Position 7439: 0.012215386890279706
Position 6275: 0.009743578620699063
Position 2597: 0.005307159226865257
Position 4209: 0.0049764070760899455
Position 215: 0.0048098939137996575
Position 4233: 0.004504777162619926
Position 4370: 0.004129049857240566
Position 3213: 0.0032088657102766985
Position 1147: 0.002369110631725705
Position 1013: 0.0023259809774133226
Position 1650: 0.0021114794833967956
Position 3021: 0.0021099059924187267
Position 2879: 0.0017725768434597928
Position 2057: 0.0012888676060932836
Position 2288: 0.0010024419814831115
Position 5218: 0.0009910273690601245
Position 831: 0.0009433206010388711
Position 411: 0.0008692313683722218
Position 436: 0.0007495064197430717
Position 428: 0.0006706140964102896
Position 631: 0.00047664764310626303
Position 1153: 0.0003969501273264185
Position 671: 0.00036136086881172436
Position 1124: 0.0003317577191465097
Position 1097: 0.0003268495513081058
Position 2263: 0.0003077469204639709
Position 417: 0.00026472457078175246
Position 341: 0.0002590324084057239
Position 2415: 0.0002495658629620618
Position 2368: 0.0001893369187256876
Position 307: 0.00017749302834830296
Position 1613: 0.00016626341638403504
Position 2257: 0.00012770052932348493
Position 698: 9.93351375855207e-05
Position 1680: 7.896637061166273e-05
Position 1051: 7.360728751106589e-05
Position 2743: 7.258709344377399e-05
Position 934: 6.754888824151639e-05
Position 1928: 6.717320518186458e-05
Position 426: 5.3104515526457906e-05
Position 2470: 4.7840949025980085e-05
Position 2172: 4.471845317572353e-05
Position 2080: 4.0050535471578005e-05
Position 2339: 3.067491553380844e-05
Position 482: 2.498244929026894e-05
Position 279: 2.1872147198665627e-05
Position 60: 2.091142051180059e-05
Position 161: 1.796336286600235e-05
Position 1850: 1.578231097038946e-05
Position 2407: 8.469517644970638e-06
Position 2500: 4.350880196653852e-06
Position 541: 9.435555082119161e-07
Position 683: 6.473737812240375e-07
Position 2600: 4.450345774246383e-07
Position 754: 3.618549649033447e-07
Position 656: 2.4323910084848197e-07
Position 650: 1.8316159448516794e-07
Position 764: 1.3219211203000003e-07
Position 902: 7.774595953871556e-08
Position 623: 3.984807968965164e-08
Position 705: 2.3962538793571125e-08
Position 836: 1.6666153591545838e-08
Position 724: 1.637651295198035e-08
Position 895: 5.751087847728028e-09
Position 907: 1.5736639723878163e-09
Position 653: 1.2338191660310884e-09
Position 799: 1.0989281974174535e-09
Position 883: 9.272036199847208e-10
Position 786: 8.959958298562533e-10
Position 769: 8.803636212929384e-10
Position 599: 1.6812876417600796e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 8774: 0.9663689147137426
Position 575: 0.8906988356850943
Position 2521: 0.4724592551674004
Position 2202: 0.39110561192938714
Position 6554: 0.32032155675073315
Position 2495: 0.22610009446048374
Position 3112: 0.21123343537456682
Position 8166: 0.12537129018052634
Position 2972: 0.051191916965843735
Position 7216: 0.04504098360033299
Position 6845: 0.04067343678560488
Position 2138: 0.038523461109891355
Position 3144: 0.038486952829509896
Position 4032: 0.036311177423328414
Position 3193: 0.02715716238858493
Position 3267: 0.01874028501382654
Position 588: 0.017769672160175443
Position 6957: 0.016597121848064715
Position 4317: 0.016503307321414428
Position 4297: 0.015840322918110727
