Gene = Tchh
index = 1063
Annotated 5SS: [138]
Annotated 3SS: [1062]
SMsplice 5SS: [138]
SMsplice 3SS: [1062]
top_k =  500
Partition function (log Z): -7.582772430686059

Sorted 5' Splice Sites (High to Low Probability):
Position 138: 0.9890888655649769
Position 987: 0.3549227736271416
Position 1343: 0.2576217081222705
Position 1481: 0.025854430974840872
Position 1513: 0.008619117951103856
Position 689: 0.007789159869062113
Position 6079: 0.007747135753637475
Position 5665: 0.006387600508518305
Position 3371: 0.006272731950909771
Position 5639: 0.004897282058536402
Position 5179: 0.004594624333364064
Position 364: 0.0045282976866721425
Position 3431: 0.003511800107943178
Position 492: 0.003468349716289106
Position 3491: 0.0026865291195043396
Position 3551: 0.002649018743780778
Position 3671: 0.002381768748182422
Position 172: 0.0018626133290664641
Position 4163: 0.0014295174986622755
Position 2457: 0.0012405342065411643
Position 5789: 0.0011503536167919378
Position 3299: 0.001117122283776245
Position 1129: 0.0008359704268419828
Position 404: 0.000530560046754186
Position 5347: 0.000513839734146697
Position 594: 0.000388982365251025
Position 781: 0.00034893466495955553
Position 467: 0.00024511358903331494
Position 569: 0.00019234398608571312
Position 905: 0.00014158210940762837
Position 848: 8.538387229211643e-05
Position 708: 4.997371717397407e-05
Position 942: 3.916642978731815e-05
Position 287: 3.5796528298089114e-05
Position 64: 3.134365611072688e-05
Position 347: 2.9037711135874752e-05
Position 646: 2.2642067837744815e-05
Position 292: 2.0653279970815957e-05
Position 301: 1.9757912795947345e-05
Position 274: 1.3296206850113435e-05
Position 504: 1.3230581347265036e-05
Position 1152: 1.2557364059156579e-05
Position 967: 9.717051581391585e-06
Position 1010: 6.477295267405869e-06
Position 705: 5.710071246246945e-06
Position 863: 4.244816626181143e-06
Position 312: 3.4785064282532775e-06
Position 999: 2.5604779456399624e-06
Position 991: 2.3949525889764896e-06
Position 129: 2.1149632262994027e-06
Position 351: 2.077034909191285e-06
Position 860: 1.3633466872813104e-06
Position 333: 1.222685818908997e-06
Position 900: 9.205806885848771e-07
Position 174: 5.169799354915813e-07
Position 24: 4.746171318107324e-07
Position 368: 4.590241585435968e-07
Position 67: 4.5245824429600027e-07
Position 693: 4.128004833121984e-07
Position 845: 2.7396054950454415e-07
Position 39: 2.418425427571662e-08
Position 233: 1.1551107870750003e-08
Position 362: 5.667066052396972e-09
Position 649: 2.728320191764886e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1062: 0.6207269238011527
Position 5918: 0.40365317363664277
Position 805: 0.21515785715078783
Position 1164: 0.06319765907457411
Position 759: 0.06106425356897512
Position 6196: 0.04085710613708122
Position 839: 0.03560339347718524
Position 450: 0.025766655653684797
Position 5517: 0.023161603340305675
Position 2211: 0.019072349151689497
Position 5861: 0.0185239241348614
Position 883: 0.014236058933915417
Position 1262: 0.011289393863564126
Position 3222: 0.010951246827020419
Position 1197: 0.009227943677944743
Position 5953: 0.006834836307262118
Position 1204: 0.006564738213343517
Position 6219: 0.006434778304132794
Position 5490: 0.006204307490016275
Position 659: 0.006070312715871372
Position 5178: 0.005942777849375431
Position 1239: 0.005815655609097402
Position 5250: 0.005438889765495878
Position 5070: 0.00540028986497751
Position 827: 0.004794695530645123
Position 934: 0.0039040483601220106
Position 249: 0.003814130201912364
Position 2864: 0.0037207772774675713
Position 636: 0.003299985901100962
Position 1087: 0.003288907855036578
Position 6473: 0.002877258508140775
Position 3415: 0.0027616226437733858
Position 6520: 0.0024558780548463053
Position 1255: 0.00240329737458601
Position 4089: 0.002246971714818952
Position 3219: 0.002135081024240812
Position 1099: 0.002026455841219705
Position 1241: 0.0019171447812118775
Position 354: 0.0015348357372094467
Position 3297: 0.0015302742686172312
Position 717: 0.0014598145448752925
Position 3535: 0.0014532000353417087
Position 2306: 0.0014421506232277297
