Gene = Hrc
index = 546
Annotated 5SS: [2085 2242 2666 2919 3436]
Annotated 3SS: [2170 2596 2863 3398 3590]
SMsplice 5SS: [ 336 2364 2666 2919]
SMsplice 3SS: [2170 2596 2863 3398]
top_k =  500
Partition function (log Z): -2.757317313577761

Sorted 5' Splice Sites (High to Low Probability):
Position 2919: 0.7389678706465527
Position 2666: 0.7231416170262124
Position 336: 0.7195018681510599
Position 2364: 0.5392300934161406
Position 2085: 0.4272017030983692
Position 2242: 0.39262908106821215
Position 3507: 0.3850524194987952
Position 109: 0.27330392614838206
Position 1337: 0.16403559594574454
Position 588: 0.14786631406215148
Position 412: 0.13694537441786445
Position 945: 0.10079133045587686
Position 1889: 0.06562669499605965
Position 3436: 0.05633006867783014
Position 3210: 0.03238812422524829
Position 716: 0.02966263031558828
Position 954: 0.026706713999929604
Position 1409: 0.02621507633528495
Position 1707: 0.019639636336659973
Position 1392: 0.01309306565672469
Position 2350: 0.012414318011535792
Position 1208: 0.010457069168418636
Position 2106: 0.009892123575481488
Position 428: 0.008095738840495682
Position 1761: 0.007229851226484829
Position 683: 0.0063438936457823935
Position 3107: 0.004348583111409398
Position 3128: 0.004187609405053962
Position 1420: 0.0035570740674418563
Position 677: 0.0031749481311086525
Position 2246: 0.0030388239665114043
Position 2328: 0.0028030715917433
Position 2356: 0.00263582362912273
Position 366: 0.002593525136798877
Position 2696: 0.0019510283900689613
Position 3145: 0.001801081692475407
Position 2039: 0.0013937790890670137
Position 2894: 0.0011947698057858168
Position 3185: 0.0011715812014108681
Position 2052: 0.0011050456734767473
Position 2472: 0.001031373214334375
Position 723: 0.0009923990840742564
Position 3116: 0.0007478394499832054
Position 212: 0.0006686835534841253
Position 2280: 0.0006153722592320378
Position 131: 0.0005252457418353184
Position 237: 0.0005119845036377641
Position 168: 0.0003689063447145003
Position 455: 0.00033874071736936316
Position 200: 0.0002476376126019796
Position 1127: 0.00022737516301196003
Position 1105: 0.0002007312568012666
Position 223: 0.00017218679401030172
Position 3537: 0.00015757335744672287
Position 592: 0.00013802567853937427
Position 2973: 0.00012705087093105416
Position 3050: 0.00012435932810515334
Position 3496: 0.00011366891745919887
Position 581: 0.00011323073655387369
Position 3511: 0.00011258471540745466
Position 57: 0.00010620990955855011
Position 2389: 8.768054915233824e-05
Position 157: 8.23261730300034e-05
Position 813: 7.311914187642784e-05
Position 792: 6.704922235712853e-05
Position 3440: 4.6713893844615076e-05
Position 185: 3.4264141014312724e-05
Position 470: 2.0349565085116044e-05
Position 20: 1.633075682054876e-05
Position 398: 1.2064910351011452e-05
Position 3084: 5.642731107157217e-06
Position 209: 4.631242108629155e-06
Position 309: 4.343418081970427e-06
Position 280: 2.486389312335502e-06
Position 443: 8.387337592962445e-07
