Gene = Ufm1
index = 1162
Annotated 5SS: [  82  217 2616 3597 4589]
Annotated 3SS: [ 159 2557 3556 4555 5834]
SMsplice 5SS: [  82  217 2616 3632 9903]
SMsplice 3SS: [  159  2557  3556  9814 10250]
top_k =  500
Partition function (log Z): -4.795674122423815

Sorted 5' Splice Sites (High to Low Probability):
Position 2616: 0.9543751842151771
Position 82: 0.7786957035901203
Position 217: 0.6608892458612261
Position 3632: 0.6428821877059442
Position 9903: 0.39358816582358946
Position 4589: 0.18937545043855866
Position 3597: 0.15999309557482377
Position 58: 0.14530159853883676
Position 2138: 0.12318415704246524
Position 350: 0.12039964227491186
Position 3889: 0.1003311159366341
Position 334: 0.050702157549059566
Position 8067: 0.04842991973013456
Position 280: 0.04691834387001893
Position 4297: 0.044401449666714894
Position 7168: 0.037263468133717545
Position 4415: 0.029574032960880133
Position 452: 0.02299361623473767
Position 326: 0.020098191829187036
Position 387: 0.016010983250650177
Position 8476: 0.012602053157776578
Position 3133: 0.01230199732315992
Position 3474: 0.01105263097430131
Position 8075: 0.009260864182216617
Position 86: 0.009225018318213837
Position 9683: 0.007216359598944853
Position 2747: 0.00546484718347289
Position 416: 0.005238736709020909
Position 2575: 0.004153122040088317
Position 4830: 0.0038588069573639704
Position 7027: 0.0037652448446739975
Position 523: 0.003440753732371252
Position 925: 0.0029777698955715712
Position 2622: 0.0027561957555167415
Position 167: 0.0025140116312336704
Position 3516: 0.00199146340554861
Position 3430: 0.0018937588551152902
Position 2146: 0.0016116336835466855
Position 215: 0.0014865282564641197
Position 2875: 0.0014547281861334153
Position 2916: 0.0009476011972918444
Position 60: 0.0006404287604172208
Position 4301: 0.0005851336236082837
Position 2635: 0.0005774500072884578
Position 160: 0.0005330214388971228
Position 221: 0.0004978158306885585
Position 72: 0.00048710007808419023
Position 776: 0.0004736227685064155
Position 1012: 0.0004511623614732809
Position 3477: 0.00044256109668664123
Position 3410: 0.00044024082435931903
Position 1428: 0.0004261394634883395
Position 370: 0.00036461228622717163
Position 2859: 0.00027444017760771666
Position 984: 0.00025095471427251696
Position 1522: 0.00021559015328615318
Position 208: 0.00019876484190108922
Position 4092: 0.00018283860197051898
Position 2184: 0.00014719747163901092
Position 2764: 0.0001382185211570564
Position 515: 0.00013670327004609682
Position 2651: 0.0001270387270877285
Position 3226: 0.00010326179599752594
Position 4355: 0.00010059015195878411
Position 2626: 9.524158347998491e-05
Position 4245: 8.108593904410905e-05
Position 64: 7.310683449729261e-05
Position 2925: 7.097879234387387e-05
Position 2600: 6.882856579335264e-05
