Gene = Fank1
index = 400
Annotated 5SS: [   110  76483  85367  91339  92492  93227 100053 103162 103489 103628]
Annotated 3SS: [ 76304  85241  91256  92416  93160  99886 103017 103410 103582 103736]
SMsplice 5SS: [   110  15433  21988  24879  33686  64072  76483  85367  85603  91339
  92735  93227 100053 103628]
SMsplice 3SS: [ 15306  21853  24784  33568  63954  76304  85241  85453  91256  92546
  93160  99886 103410 103736]
top_k =  500
Partition function (log Z): -65.14954362122046

Sorted 5' Splice Sites (High to Low Probability):
Position 110: 0.8700651502141555
Position 6078: 0.6076924602541024
Position 15433: 0.28637635465999
Position 15552: 0.2622936483505878
Position 6058: 0.15968293006522738
Position 14650: 0.11691954248216016
Position 707: 0.10036127000077243
Position 12697: 0.059430440845661486
Position 165: 0.05618944859086188
Position 11068: 0.051320200152095485
Position 6855: 0.040861485818121566
Position 3931: 0.024532705910562176
Position 1384: 0.02013677584181149
Position 11571: 0.01980998829706656
Position 2209: 0.015173725794292072
Position 3484: 0.014997919121414746
Position 244: 0.005518590354552553
Position 487: 0.005512812327482488
Position 342: 0.00450985794303647
Position 6041: 0.004222890776652416
Position 6099: 0.0024076666932707743
Position 134: 0.0010241187560165654
Position 499: 0.0005359345370798311
Position 476: 0.00024858763073881164
Position 335: 0.00021907460797683458
Position 6339: 5.924969886692321e-05
Position 870: 4.02769328800627e-05
Position 468: 3.956424029915909e-05
Position 357: 3.2637452814286067e-05
Position 251: 2.9027408621143143e-05
Position 41: 1.8332213441099688e-05
Position 268: 1.3906729916079508e-05
Position 538: 8.708542792911097e-06
Position 390: 7.311491850382614e-06
Position 746: 6.533437192281201e-06
Position 262: 6.086694663630593e-06
Position 339: 6.00565138029134e-06
Position 719: 5.918843920637775e-06
Position 939: 5.679373214628857e-06
Position 711: 5.265043417623768e-06
Position 470: 3.904416733426266e-06
Position 260: 3.794796737376208e-06
Position 302: 3.771575919369012e-06
Position 403: 3.5247359410528694e-06
Position 442: 3.2012152967464914e-06
Position 512: 2.2234177820321264e-06
Position 501: 1.849190691300068e-06
Position 454: 1.8196381397672773e-06
Position 514: 1.4364341289314578e-06
Position 456: 1.3417015647440388e-06
Position 304: 9.016584163915994e-07
Position 563: 8.321103347396031e-07
Position 460: 4.667132631143524e-07
Position 421: 3.83494086331834e-07
Position 540: 1.3664268522570327e-07
Position 428: 1.2018670409002097e-07
Position 407: 1.094339391018191e-07
Position 595: 1.0934869918411098e-07
Position 593: 6.347628295653003e-08
Position 478: 3.2173301727563105e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 15306: 0.6933097663879298
Position 17701: 0.42024254981121517
Position 5963: 0.27668558666765825
Position 16026: 0.25790436866844124
Position 5966: 0.2112960788690926
Position 5885: 0.16567244943421064
Position 14536: 0.13530774118463307
Position 5931: 0.10300139159010553
Position 14756: 0.07126853208170937
Position 12479: 0.060789087083528585
Position 10949: 0.051320200152095485
Position 11425: 0.03847655294065481
Position 600: 0.03805907897193265
Position 6806: 0.03772020284512102
Position 12081: 0.01702413055208732
Position 1265: 0.014248965105322229
Position 6001: 0.012031901566323305
Position 12107: 0.011598395908784196
Position 3783: 0.010980019306748155
Position 14759: 0.01067428451451921
Position 2064: 0.010024198118371777
Position 3218: 0.007077897026025197
Position 657: 0.00553886651345392
Position 12012: 0.005239755775593225
Position 3343: 0.00473107341698705
Position 2080: 0.004410745046416741
Position 3800: 0.003974840398446946
Position 3711: 0.003863382935906024
Position 5739: 0.0038569563962058007
Position 3862: 0.0035395203487644245
Position 10065: 0.003393624437769483
Position 6714: 0.0025073774417328338
Position 1197: 0.0024071991890265475
Position 6664: 0.0023641445718859187
Position 10069: 0.002172664823268434
Position 11341: 0.002094960910461943
Position 5871: 0.001932498330269642
Position 6689: 0.0015807819382665403
Position 5819: 0.0015638380437200292
Position 6425: 0.0015590283146963578
Position 6223: 0.0014594504647264946
Position 1289: 0.0014220091516341823
Position 3853: 0.0012670438286946754
Position 3328: 0.0011315532608629738
Position 3408: 0.0011155244008206962
Position 10729: 0.0009816490128463273
Position 11977: 0.0008250177020589396
Position 475: 0.0008156273730229217
Position 4920: 0.0008103376785148175
Position 1062: 0.0007842608629991207
Position 3918: 0.0007473633437008283
Position 5519: 0.0006981441201414199
Position 3437: 0.00066604946152686
Position 1246: 0.0005921248394370503
Position 1220: 0.0005055698545061701
Position 486: 0.00037879754232670763
Position 2008: 0.0003434779246275427
Position 4678: 0.0003429333078730674
