Gene = Pbxip1
index = 797
Annotated 5SS: [   75  2896  6543  6811  7050  8974  9110  9468  9706 11560]
Annotated 3SS: [ 2810  6415  6745  6889  8745  9085  9384  9573 10339 11966]
SMsplice 5SS: [  75 2896 3113 6543 6811 7050 8974 9182 9468 9706]
SMsplice 3SS: [ 2810  2972  6415  6745  6889  8745  9085  9384  9573 11966]
top_k =  500
Partition function (log Z): 9.307374355626294

Sorted 5' Splice Sites (High to Low Probability):
Position 9706: 0.9895349999069505
Position 75: 0.9738943755607834
Position 6543: 0.9610787584218172
Position 6811: 0.919213391626874
Position 8974: 0.913092878496613
Position 9468: 0.9080002044776951
Position 9182: 0.8533758023477761
Position 3113: 0.6134613628691307
Position 2896: 0.5729524661594413
Position 7050: 0.493835691148609
Position 11560: 0.4174942382737775
Position 7745: 0.3908910874531703
Position 2074: 0.3067441201837863
Position 1680: 0.2100797606506129
Position 2294: 0.16832055364520176
Position 1754: 0.15651131709901028
Position 7008: 0.138781705481019
Position 1803: 0.11068976687419231
Position 7755: 0.07389993736679618
Position 1957: 0.06632892812572015
Position 8260: 0.061679656531625035
Position 8887: 0.056881514909826555
Position 9489: 0.05663986835945723
Position 12965: 0.05479710519363992
Position 9110: 0.05234904016468324
Position 2129: 0.03283211603857545
Position 9150: 0.02891795594096092
Position 1700: 0.02420299710017807
Position 7891: 0.02394178122641279
Position 6833: 0.0206873816567138
Position 11087: 0.019660603201238604
Position 285: 0.016757121153636253
Position 534: 0.015594668404661784
Position 6816: 0.013657331845866127
Position 11630: 0.01212259181778751
Position 8415: 0.0120689137826418
Position 8601: 0.01120514509191926
Position 8850: 0.009733766052372245
Position 1961: 0.008168947431495587
Position 12227: 0.007129713935661312
Position 1602: 0.005681043938200821
Position 2272: 0.005554672304405194
Position 8893: 0.005147130226250309
Position 2043: 0.004897158533502561
Position 14093: 0.004743351792115992
Position 2325: 0.0045191001186332905
Position 7931: 0.004144197416619995
Position 1989: 0.004018331584274587
Position 8411: 0.0035939751229598135
Position 9284: 0.003297681138951107
Position 9295: 0.0031337074415512564
Position 1126: 0.0029221863654234834
Position 8495: 0.002921445211695556
Position 10523: 0.0028485832353057766
Position 1720: 0.0027219617509699335
Position 11226: 0.0026379091847596892
Position 1691: 0.0026242766020278217
Position 433: 0.0023726162284227505
Position 6713: 0.0016912425953934868
Position 9444: 0.0014536215958524396
Position 269: 0.001400411855685538
Position 752: 0.001147423812341548
Position 70: 0.0011231787348418626
Position 642: 0.001055070011346302
Position 12339: 0.0010456480302407634
Position 9323: 0.0009600124806545681
Position 9472: 0.0008921281903063424
Position 7778: 0.0008439250166971269
Position 8856: 0.0008281248318712321
Position 10911: 0.000703070354693654
Position 1858: 0.0006592524750954579
Position 923: 0.0006546276818597322
Position 8803: 0.0004550961681758213
Position 953: 0.00045425732825097286
Position 1496: 0.0004093292991430374
Position 10687: 0.00039009570329206795
Position 12122: 0.0003479624701170573
Position 722: 0.0003405743219002271
Position 10503: 0.00030128123885730517
Position 7961: 0.0002858417057886576
Position 1668: 0.0002769903326816446
Position 40: 0.00025448026262323464
Position 900: 0.00025392575252159734
Position 582: 0.00020877542020398903
Position 1489: 0.00015673346936415693
Position 429: 0.00014427872501660956
Position 1206: 0.00012667944683595443
Position 302: 0.00011327327835818821
Position 452: 7.609421674025212e-05
Position 2017: 5.949287819671356e-05
Position 426: 4.367026819840712e-05
Position 30: 4.143304959813921e-05
Position 729: 4.115602472625246e-05
Position 1355: 3.6560225421127906e-05
Position 83: 2.5924105748602523e-05
Position 8862: 2.461231878606447e-05
Position 408: 2.4483103209506933e-05
Position 697: 2.3702217040805478e-05
Position 937: 1.6954922811183964e-05
Position 930: 1.690660990009595e-05
Position 149: 1.4228450243138466e-05
Position 253: 1.3777939084297551e-05
Position 591: 1.3565572052680326e-05
Position 612: 1.1199169718348664e-05
Position 821: 8.68678501578956e-06
Position 1210: 8.588361905197553e-06
Position 1479: 8.44065461924189e-06
Position 9753: 4.88184760562569e-06
Position 997: 4.430654084982849e-06
Position 1191: 4.416736749439212e-06
Position 963: 4.336335272072037e-06
Position 10003: 3.07209287873499e-06
Position 9086: 2.3090529409685064e-06
Position 9187: 1.9815347600963656e-06
Position 1930: 1.7056349658890919e-06
Position 713: 1.631576852657339e-06
Position 9155: 1.3451356295717257e-06
Position 10272: 1.169955646561298e-06
Position 102: 2.471247028901475e-07
Position 175: 1.0130385580935911e-07
Position 160: 8.413785302540062e-08
Position 12: 2.4347094676353436e-08
Position 542: 2.9925772163568303e-09
Position 437: 2.154854754379638e-09
Position 262: 1.1815004343048325e-09
Position 259: 1.0557866896730145e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 8745: 0.9778095161740801
Position 9573: 0.9353628436691843
Position 6415: 0.9072473207047144
Position 9085: 0.9058190965319789
Position 11966: 0.8518472891568983
Position 2810: 0.6154228611195032
Position 2972: 0.5607754135131466
Position 6889: 0.5560310060205959
Position 6745: 0.5089087494468972
Position 1579: 0.48818216985386276
Position 9384: 0.38133853822140407
Position 9358: 0.35868710126998243
Position 6633: 0.3435053403734626
Position 11427: 0.21888635229886155
Position 7624: 0.19782653344532117
Position 2169: 0.17049181957913315
Position 7674: 0.15510080701991355
Position 9267: 0.13606626259671778
Position 7659: 0.11741502257418254
Position 1948: 0.11255572916603294
Position 1988: 0.09033781841944298
Position 1896: 0.08674980122067781
Position 12834: 0.0763231177196708
Position 11393: 0.06495276998334293
Position 6922: 0.06410908121119203
Position 1843: 0.06203320020796472
Position 8089: 0.056880519265816755
Position 6663: 0.05409312621078777
Position 6394: 0.0527701769496364
Position 11429: 0.05218044711048644
Position 1639: 0.042393051322498335
Position 11449: 0.039738072166073175
Position 9366: 0.038596372743485804
Position 10339: 0.03506220740128504
