Gene = Knop1
index = 608
Annotated 5SS: [ 166  632 3852 5634 7806]
Annotated 3SS: [  279  2913  5564  7679 10159]
SMsplice 5SS: [ 632 5634 7596 7806]
SMsplice 3SS: [ 5564  7466  7679 12501]
top_k =  500
Partition function (log Z): -3.045825547256607

Sorted 5' Splice Sites (High to Low Probability):
Position 632: 0.9968163499470818
Position 7806: 0.928986999972946
Position 5634: 0.8666510614869508
Position 4702: 0.5993504065260685
Position 11554: 0.45052331310211485
Position 7596: 0.4336455257593222
Position 11015: 0.35829427115767665
Position 3366: 0.2507733070031568
Position 7440: 0.2387031228280252
Position 2070: 0.22142294841891774
Position 867: 0.2175476149905197
Position 11011: 0.19428763563713833
Position 4359: 0.175785340149168
Position 2769: 0.14954933257549738
Position 3043: 0.1402703604761427
Position 8096: 0.10530660456014171
Position 4934: 0.08534991683318689
Position 8984: 0.0820445614814367
Position 12594: 0.08184123309415761
Position 13111: 0.0780808111519591
Position 5097: 0.07684788023566813
Position 12862: 0.07155170119505685
Position 2037: 0.06320431006558626
Position 2340: 0.06015754126690082
Position 1789: 0.05346624286246667
Position 2725: 0.03517610516881245
Position 802: 0.03298560333835895
Position 4389: 0.023640087740189927
Position 7762: 0.019527336417853453
Position 10421: 0.018751430266545455
Position 7842: 0.016396808727862283
Position 4719: 0.015263176516332737
Position 13176: 0.015008860665915261
Position 11279: 0.014925551605183843
Position 6371: 0.013928833347405056
Position 9915: 0.013632471417938503
Position 8789: 0.013531112080308326
Position 7758: 0.013132440050598127
Position 798: 0.012702653203149011
Position 11268: 0.011330545923645451
Position 7810: 0.010754619304083432
Position 2882: 0.010226328400628752
Position 11260: 0.009518004904386987
Position 10375: 0.009301084360670264
Position 7558: 0.009098481051064308
Position 3006: 0.008376222118955712
Position 11589: 0.008291928686399287
Position 6397: 0.007205599515598089
Position 3108: 0.00704674446649527
Position 1072: 0.0060586160768008315
Position 10291: 0.005857829283037167
Position 8343: 0.005584685559658277
Position 3875: 0.0053124076685838045
Position 1448: 0.005127533144016055
Position 832: 0.005032005671280763
Position 1171: 0.0038394035543390876
Position 890: 0.0035009622827933433
Position 1893: 0.003250843356910908
Position 1136: 0.0031098791346793452
Position 1299: 0.0027148199256621305
Position 2730: 0.0023243251828270646
Position 48: 0.0020155900131573652
Position 2994: 0.0017063646358404726
Position 7205: 0.0016749842282643187
Position 6403: 0.0013892980767526803
Position 645: 0.0013296255676864697
Position 2570: 0.0012002695360299415
Position 1771: 0.0011501222184894266
Position 347: 0.0009549534835751093
Position 2748: 0.0008364170231775882
Position 124: 0.0008334194299077789
Position 6401: 0.0004731477467436125
Position 2591: 0.00034892411530848587
Position 668: 0.00034667609850198546
Position 168: 0.0002401391112739425
Position 400: 0.0002325255306319206
Position 394: 0.00017923593339652948
Position 1207: 0.00016151925272124318
Position 247: 0.00016074093535659294
