Gene = Retreg2
index = 897
Annotated 5SS: [ 343  690 1168 1654 1921 2318 2568 3030]
Annotated 3SS: [ 582 1136 1517 1835 2173 2472 2893 3643]
SMsplice 5SS: [ 343  690 1654 1921 2318 3030 3934]
SMsplice 3SS: [ 582 1517 1835 2173 2893 3643 4044]
top_k =  500
Partition function (log Z): 3.0164178532967885

Sorted 5' Splice Sites (High to Low Probability):
Position 1654: 0.9344499936613307
Position 2318: 0.917196344725831
Position 3030: 0.9021310025535427
Position 690: 0.8925248895233595
Position 1921: 0.8070672982604584
Position 343: 0.743758784380231
Position 3934: 0.4912844287816878
Position 2568: 0.4573872614049095
Position 96: 0.2749050714198536
Position 1168: 0.14275516207666916
Position 4228: 0.05717456364732077
Position 1357: 0.05612065434950014
Position 1419: 0.044663784556792985
Position 1300: 0.031657238473296406
Position 3321: 0.028296551407593403
Position 3668: 0.026723524876768504
Position 74: 0.021495282843855025
Position 159: 0.02003038951416493
Position 459: 0.017595685243165363
Position 491: 0.015074181970846156
Position 3746: 0.013330840412326454
Position 3344: 0.013057039052575495
Position 2573: 0.010837983685489626
Position 2619: 0.010148275133398263
Position 3328: 0.006728132410617087
Position 4258: 0.006409973916430863
Position 1433: 0.005420669574102944
Position 792: 0.005147451366766886
Position 885: 0.004094285100061416
Position 2052: 0.0029445472459648328
Position 716: 0.0024663195362213315
Position 444: 0.00229663616569871
Position 4442: 0.0019422418153996737
Position 2380: 0.0017946793036741114
Position 1272: 0.0015189825173699085
Position 2637: 0.0012769794295865147
Position 2008: 0.001186005044521157
Position 311: 0.0010827331877078937
Position 3941: 0.000982294684483276
Position 2180: 0.0009756965698018334
Position 959: 0.000800123171358092
Position 406: 0.0007297945196555082
Position 284: 0.0007243382151907565
Position 90: 0.0006804505903031548
Position 257: 0.0005878469737575976
Position 2368: 0.0005662433768679973
Position 963: 0.0005197065853970455
Position 2098: 0.00042398638190933825
Position 2987: 0.0003982640890794137
Position 111: 0.00037456794125077905
Position 2530: 0.00035495221739763436
Position 2134: 0.000350180409895089
Position 3844: 0.0003110510117433801
Position 2614: 0.0003011528775845922
Position 4808: 0.000275867166330718
Position 1208: 0.00027323231311437085
Position 1324: 0.0002544715092907478
Position 1962: 0.00023478508940494294
Position 3315: 0.00023179714073554898
Position 3384: 0.00022774213668277238
Position 1899: 0.00020411405498747844
Position 2627: 0.00019883471281100732
Position 1369: 0.00019488708451647417
Position 1364: 0.00013921632772558753
Position 1720: 0.00012728773977457405
Position 475: 0.00011760645463489345
Position 583: 8.55875592043152e-05
Position 2565: 8.493369892706207e-05
Position 2979: 7.928608594323655e-05
Position 3325: 7.783357324919934e-05
Position 1977: 7.681787896791735e-05
Position 428: 7.488229134740289e-05
Position 483: 7.328596392045364e-05
Position 2546: 7.142403632924236e-05
Position 1925: 6.339857612203101e-05
Position 1957: 6.224804377577346e-05
Position 1917: 5.44550361380295e-05
Position 1629: 4.741074417631025e-05
Position 2170: 3.974954792835506e-05
Position 1711: 3.8195992706856445e-05
Position 1717: 3.5790793578679944e-05
Position 1699: 3.575644542378076e-05
Position 2153: 3.0192660786471928e-05
Position 1458: 2.592578457965987e-05
Position 1049: 2.388848329708983e-05
