Gene = Mmab
index = 683
Annotated 5SS: [ 185 1300 5540 6243 7011 7351 7582 8783]
Annotated 3SS: [ 1237  5445  6184  6937  7252  7516  8722 10701]
SMsplice 5SS: [ 185 1300 5540 6243 7355 7582]
SMsplice 3SS: [ 1237  5445  6184  7252  7516 10701]
top_k =  500
Partition function (log Z): 2.2183940688617207

Sorted 5' Splice Sites (High to Low Probability):
Position 185: 0.9755398031687008
Position 1300: 0.9475031711454728
Position 5540: 0.9249905124128733
Position 6243: 0.8398572002375811
Position 7582: 0.7104248468536553
Position 7355: 0.479263727975572
Position 10978: 0.46628478925379485
Position 8783: 0.29168736160512504
Position 7351: 0.29012993439129287
Position 7642: 0.21773295481300914
Position 8805: 0.1831626414936987
Position 10817: 0.16754440010296573
Position 5682: 0.1433082229302162
Position 1062: 0.09941213812853184
Position 6114: 0.0758681314044609
Position 5562: 0.05975850967792879
Position 11037: 0.04827088604443308
Position 5712: 0.045439797916561914
Position 9669: 0.04040999260402997
Position 12165: 0.0348042246608351
Position 6812: 0.02546818611629302
Position 6046: 0.02526404235350496
Position 42: 0.023597352120660182
Position 4163: 0.022137385417174523
Position 3161: 0.020404721741449115
Position 4589: 0.02035024874898841
Position 4088: 0.019656782768308154
Position 5646: 0.01806520945343497
Position 7051: 0.017924039119697772
Position 3143: 0.017614817235460736
Position 7011: 0.017297103820616423
Position 3205: 0.014887743130854442
Position 4685: 0.014425706731763105
Position 5268: 0.01413676705943024
Position 6596: 0.014012202912281701
Position 9559: 0.011695628776599735
Position 4770: 0.01106421327990907
Position 11605: 0.01046702460535685
Position 9641: 0.009998460848012357
Position 5666: 0.008542483512281604
Position 4577: 0.008418114095932325
Position 347: 0.007667420393471454
Position 1365: 0.007651095529978838
Position 7034: 0.007389426947076543
Position 5245: 0.00656364024752148
Position 7106: 0.006199691685135394
Position 9957: 0.0060911646006374135
Position 5716: 0.006080594683672834
Position 4106: 0.005839373395539184
Position 4024: 0.005603034625666444
Position 6342: 0.004566498214445932
Position 993: 0.004330761251236329
Position 12064: 0.0037505584072212994
Position 9030: 0.0036037536257040796
Position 7308: 0.003510729573202223
Position 5241: 0.0034810093715625513
Position 9530: 0.0033734101387090194
Position 4665: 0.003311038217414009
Position 8218: 0.003310479891064161
Position 7617: 0.0028945202655168115
Position 3684: 0.0028758883517955827
Position 789: 0.0026673178112325588
Position 12482: 0.0025802458175737883
Position 9053: 0.0025055882887806947
Position 7363: 0.0025035370286710774
Position 7385: 0.002496640124643337
Position 777: 0.0019900744705399244
Position 438: 0.0018222100093872521
Position 7375: 0.0017775766998203513
Position 10806: 0.0016866679360556024
Position 8355: 0.0016250065564665662
Position 5679: 0.0015704204020030668
Position 5626: 0.0014909881274837364
Position 8198: 0.0014194046075127625
Position 5981: 0.0013458076550123409
Position 5728: 0.0013302537951405988
Position 8322: 0.0013229616966158719
Position 4705: 0.0012621316321071332
Position 9413: 0.0012316656542409907
Position 8593: 0.0012237784740644557
Position 8369: 0.001203392007883411
Position 1505: 0.001189163370852049
Position 1577: 0.0011866785636599144
Position 5952: 0.0011831334822841135
Position 7469: 0.0011401537485720827
Position 1621: 0.0011106322011631038
Position 1327: 0.0010105408536470331
Position 6610: 0.0010103986069477254
Position 9839: 0.0009302021006362927
Position 1037: 0.0009203487261719881
Position 238: 0.0009103362528751352
Position 5686: 0.0008112928846976386
Position 2254: 0.0008001204006469916
Position 896: 0.0007848522209634575
Position 8522: 0.0006438857451758811
Position 6023: 0.000581085714332324
Position 4635: 0.0005622171904971223
Position 63: 0.0005499520063132675
Position 242: 0.0005108963428381069
Position 4147: 0.00046284190763587994
Position 6280: 0.00043343432492545764
Position 1157: 0.0004299091448361793
Position 8953: 0.0004284996579951451
Position 7675: 0.00042250422958914184
Position 4053: 0.0003976787782742305
Position 229: 0.0003868272810962807
Position 325: 0.0003837111196506306
Position 1312: 0.00037350928511728325
Position 5876: 0.0003615330870157485
Position 5694: 0.00027235896370434945
Position 5701: 0.000269680735239195
Position 5922: 0.0002677540251259336
Position 6050: 0.00023343083144780182
Position 299: 0.0002316654435983273
Position 7655: 0.00022679751856944622
Position 501: 0.00022189446763157136
Position 530: 0.00017426093875231016
Position 205: 0.00016773736173311582
Position 134: 0.00016452057797253713
Position 142: 0.00016263001295517066
Position 8589: 0.000148745780216962
Position 7646: 0.00014149037225225764
Position 9850: 0.00013462884548767052
Position 5566: 0.00013231079784788507
Position 30: 0.000130715793636625
Position 112: 0.00012149140625026998
Position 291: 0.00011025213864627553
Position 5777: 0.00010732600347161428
Position 750: 8.092575834025552e-05
Position 5656: 7.353363008114256e-05
Position 6739: 7.005892250723485e-05
Position 189: 6.786113988779078e-05
Position 986: 6.481380905693874e-05
Position 506: 5.53565385736808e-05
Position 1056: 4.8867619358440455e-05
Position 553: 3.799488790943917e-05
Position 936: 3.52091741349252e-05
Position 232: 3.4775852297336675e-05
Position 5493: 3.4041077506437874e-05
Position 269: 3.308661333328859e-05
Position 373: 3.110253764682034e-05
Position 136: 2.528514737242791e-05
Position 1010: 2.476450502223773e-05
Position 965: 2.4756233042193166e-05
Position 704: 2.1904126863721706e-05
Position 351: 2.179006686854325e-05
Position 260: 2.0034199381940284e-05
Position 46: 6.386601237057489e-06
Position 77: 2.9914345902062315e-06
Position 75: 2.630097675767517e-06
Position 57: 1.6914003403348406e-06
Position 9: 1.3619591189316335e-06
Position 91: 3.454973010109602e-07
Position 154: 5.067095519960952e-08
Position 336: 3.821012746911761e-08
