Gene = Sycn
index = 1050
Annotated 5SS: [420]
Annotated 3SS: [1188]
SMsplice 5SS: [212 420]
SMsplice 3SS: [ 312 1188]
top_k =  500
Partition function (log Z): -7.190540688607621

Sorted 5' Splice Sites (High to Low Probability):
Position 420: 0.6459926784881025
Position 212: 0.644599187863435
Position 131: 0.27921013814644874
Position 308: 0.03486525063051133
Position 723: 0.00360185765925396
Position 135: 0.003202659453164337
Position 1014: 0.002616303937619775
Position 877: 0.002314650320871097
Position 158: 0.0008527323717093573
Position 12: 0.0005909773837766892
Position 1046: 0.000590059697706645
Position 390: 0.0005450856908746558
Position 503: 0.0003769696195869966
Position 424: 0.0002918101444475239
Position 117: 0.00019878529061027452
Position 265: 0.00015824390846035596
Position 195: 0.00014922644010143587
Position 97: 0.00011810110657236282
Position 747: 0.00011610168124022198
Position 534: 9.096276507749424e-05
Position 281: 5.981393293154797e-05
Position 1189: 5.148217044911209e-05
Position 765: 4.9734418249423094e-05
Position 1031: 3.8652553410158386e-05
Position 202: 3.6980433438580005e-05
Position 36: 3.2208978153434946e-05
Position 363: 2.747910122753288e-05
Position 27: 1.8806479720495186e-05
Position 19: 1.3698174796068699e-05
Position 341: 1.2415798015601298e-05
Position 980: 1.0037250423302341e-05
Position 198: 9.580204032945209e-06
Position 77: 7.801440463279785e-06
Position 243: 7.532671875320594e-06
Position 64: 6.0069680538273025e-06
Position 193: 4.385104158977354e-06
Position 70: 3.811437822799144e-07
Position 258: 5.5688930861196014e-08
Position 330: 4.3548732136146903e-08
Position 268: 4.1290359502224846e-08
Position 297: 3.955272393479974e-08
Position 292: 1.17410008549954e-08
Position 294: 2.2064677247790644e-09
Position 547: 1.9074067688075422e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 312: 0.5696541993362353
Position 1188: 0.5389827022979836
Position 606: 0.14221766892828958
Position 268: 0.07152121233101687
Position 678: 0.048050915529029084
Position 918: 0.041028568070913964
Position 979: 0.03746508642811273
Position 948: 0.03642972750288288
Position 211: 0.0194622123403087
Position 969: 0.01583019135499266
Position 772: 0.014741096060677802
Position 639: 0.012510111428603587
Position 1123: 0.010935311155058632
Position 1222: 0.0074893630893450094
Position 1046: 0.005389402714587554
Position 559: 0.0038067362137341743
Position 361: 0.0037169381666623444
Position 1090: 0.0036619825595168307
Position 1245: 0.0035218259935864697
Position 518: 0.0034876989667835044
Position 815: 0.0031030787629828414
Position 1291: 0.0030691520306595226
Position 276: 0.0028818962276861058
Position 321: 0.0021148494271046895
Position 1006: 0.0019177625400551709
Position 614: 0.001898742478942805
Position 808: 0.001794337211907707
Position 625: 0.001469382481849184
Position 1307: 0.0014173889321282556
Position 420: 0.0013901233729451063
Position 845: 0.001135436901994401
Position 923: 0.0011157395814710821
Position 469: 0.0010929959947380452
Position 1207: 0.0007887772290548593
Position 330: 0.0006846969829081558
Position 207: 0.0006589823502892489
Position 106: 0.0006495320883233958
Position 957: 0.0006294384648885998
Position 455: 0.0006021956670639413
Position 985: 0.0005516189465141746
Position 694: 0.0004118847178097709
Position 1105: 0.0001950077015051924
Position 285: 0.00016889413312665168
Position 1050: 0.00013505395193411112
Position 363: 0.00013443325115236054
Position 533: 0.000129788425442349
Position 860: 0.00012150529904653044
Position 722: 0.00012063721769881883
Position 737: 0.0001147746676096333
Position 643: 9.26139747450247e-05
Position 385: 8.091687022060401e-05
Position 998: 6.75179864265987e-05
Position 785: 5.1823198606684546e-05
Position 875: 3.70282389733676e-05
Position 506: 2.58788555040525e-05
Position 828: 2.1048055993845617e-05
Position 476: 2.040936837591046e-05
Position 486: 2.0065003217807766e-05
Position 498: 1.962476070977632e-05
Position 373: 1.8758905687124194e-05
Position 1318: 8.498811927494817e-06
Position 186: 3.245323651689284e-06
Position 143: 2.47641210372012e-07
Position 114: 9.690435331852388e-08
Position 424: 7.85992996080842e-08
Position 156: 3.435423274476679e-08
Position 117: 1.88377174548905e-08
Position 121: 5.74411045369335e-09
Position 158: 4.798270404149067e-09
Position 153: 1.6179879238217218e-09
