Gene = Tapt1
index = 1058
Annotated 5SS: [  209  8519 22413 32375 33436 34256 34542 38004 40391 41668 42042 43925
 47762]
Annotated 3SS: [ 8387 22293 32211 33299 34157 34471 37922 40280 41607 41972 43847 47600
 49439]
SMsplice 5SS: [  209  8519 32375 33547 34542 38004 47762]
SMsplice 3SS: [ 8387 32211 33299 34471 37922 47600 49439]
top_k =  500
Partition function (log Z): -31.157468362326625

Sorted 5' Splice Sites (High to Low Probability):
Position 209: 0.9898501328066416
Position 8519: 0.5019221312022676
Position 8625: 0.4177122751429304
Position 3182: 0.2811286579263183
Position 4557: 0.2650228843402994
Position 7276: 0.20669697577536592
Position 1062: 0.15684218684882054
Position 7412: 0.12443438894765725
Position 8986: 0.09760457540450924
Position 10659: 0.05584990403181389
Position 6966: 0.054947667692759425
Position 423: 0.04558115186464078
Position 4219: 0.04232888087598538
Position 4692: 0.02970960534851241
Position 6393: 0.016318378009354366
Position 2735: 0.015499458624655486
Position 10055: 0.014786582886462292
Position 556: 0.01438656799687618
Position 1582: 0.013000678242985574
Position 10354: 0.008922811592651458
Position 1100: 0.007675588004217687
Position 1150: 0.005469704426862277
Position 1120: 0.005468874842401591
Position 2467: 0.0054479010331797565
Position 3767: 0.0025396794416236994
Position 509: 0.0019934681463566737
Position 2224: 0.0016426001199652677
Position 3227: 0.0009822108896992904
Position 6886: 0.0006906565128265343
Position 3164: 0.0006790336438459383
Position 4619: 0.0006269865563160809
Position 3208: 0.000598600403213334
Position 2742: 0.0002714114251523231
Position 2420: 0.00022703410107498688
Position 2795: 0.00022238509222485307
Position 2462: 0.0002185853533858241
Position 1092: 0.00021241703728552515
Position 3525: 0.0002030132375494595
Position 1532: 0.0001720687668506229
Position 695: 0.0001578168192189254
Position 360: 3.2387720206829647e-05
Position 885: 2.4760380448190272e-05
Position 116: 1.8604765967470874e-05
Position 450: 1.7288692080865152e-05
Position 662: 1.5598753382865667e-05
Position 667: 1.394147021261586e-05
Position 1613: 1.2406887794325688e-05
Position 439: 1.1558011822415837e-05
Position 336: 1.1428358942891877e-05
Position 586: 8.961399824173052e-06
Position 480: 7.71559649807438e-06
Position 826: 7.520012139307187e-06
Position 1146: 6.086475736791265e-06
Position 1558: 6.06142341568011e-06
Position 460: 5.820515769423917e-06
Position 382: 5.599653358419308e-06
Position 443: 5.311299310774649e-06
Position 782: 5.0875613719967705e-06
Position 721: 4.602288489235884e-06
Position 656: 4.396272410033944e-06
Position 591: 4.287545113797582e-06
Position 1939: 3.701103920932473e-06
Position 1610: 3.5857780305705713e-06
Position 761: 2.7866822910592696e-06
Position 62: 1.9055889268563345e-06
Position 604: 1.7065793134165824e-06
Position 2910: 1.6186692724209798e-06
Position 119: 1.512984200245611e-06
Position 544: 1.5105740777468286e-06
Position 1824: 1.362308405749289e-06
Position 653: 1.1648870028764793e-06
Position 1859: 1.118683469079558e-06
Position 1217: 1.0611954763865414e-06
Position 574: 7.473652411860658e-07
Position 1137: 7.115743874335688e-07
Position 3119: 7.035420729349457e-07
Position 955: 6.01691886530972e-07
Position 803: 4.008519247811104e-07
Position 726: 1.3978607531221093e-07
Position 849: 9.778377161175785e-08
Position 901: 8.767139290575945e-08
Position 632: 7.065745722653998e-08
Position 714: 6.374565759440022e-08
Position 675: 4.957315577519617e-08
Position 284: 2.7224053258054837e-08
Position 281: 9.921422397870398e-09
Position 347: 7.3887080461761504e-09
Position 3: 3.026094463117338e-09
Position 28: 1.323578782220535e-09
Position 5: 9.877333298739619e-10
Position 398: 5.542408322817153e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 8387: 0.9338946583213408
Position 15106: 0.46292497347611855
Position 7194: 0.2604915727432393
Position 4376: 0.24153234656383538
Position 991: 0.17453546037323944
Position 9032: 0.1672359631463612
Position 3026: 0.12502864088079216
Position 2901: 0.11798088393932561
Position 8870: 0.11753412951846433
Position 10498: 0.11230007332152096
Position 10658: 0.0777897968306892
Position 6816: 0.07669104284203981
Position 6965: 0.06869066788253414
Position 15536: 0.052025117914467754
Position 10164: 0.04653777438059848
Position 321: 0.03826087451824856
Position 4379: 0.0293076377788764
Position 8968: 0.022407392216068994
Position 2626: 0.02234650170158316
Position 4336: 0.018231153938295296
Position 11455: 0.015917262574877692
Position 4118: 0.014053339840313036
Position 2909: 0.014007280141018888
Position 6239: 0.013056283254506706
Position 9975: 0.012247962767552297
