Gene = Lipt2
index = 639
Annotated 5SS: [471]
Annotated 3SS: [896]
SMsplice 5SS: [471]
SMsplice 3SS: [896]
top_k =  500
Partition function (log Z): -7.386055145816675

Sorted 5' Splice Sites (High to Low Probability):
Position 471: 0.667575481878085
Position 242: 0.38008734900752017
Position 138: 0.06837022106343733
Position 1052: 0.016144581325792735
Position 964: 0.01392419767481393
Position 1017: 0.01336377455540105
Position 992: 0.010857200685705623
Position 1099: 0.002777257489132329
Position 770: 0.002694501608080676
Position 149: 0.00227089765717326
Position 605: 0.0013365009560953106
Position 619: 0.0013228684899215294
Position 44: 0.0010693549907095355
Position 1093: 0.0010674943661224867
Position 121: 0.0009784505094079935
Position 308: 0.0005712089379346808
Position 787: 0.0004355543888577309
Position 1942: 0.000402892691207111
Position 382: 0.00037739549948256283
Position 945: 0.0003347688918637559
Position 170: 0.00027497387971380416
Position 39: 0.00023796731228487654
Position 977: 0.00023133526075771107
Position 727: 0.00019283498624499164
Position 367: 0.00018167005595859614
Position 1399: 0.00013704897629181946
Position 1004: 0.00013222722905952821
Position 20: 0.0001310085668641765
Position 140: 0.00012552958826857736
Position 1160: 0.00011958999465299927
Position 1043: 0.00011258096016514207
Position 374: 9.978710284621435e-05
Position 1735: 9.940271405175633e-05
Position 800: 9.868181182725887e-05
Position 600: 8.97130360665082e-05
Position 592: 6.00946532631122e-05
Position 922: 5.65346788554658e-05
Position 1192: 5.426621384293459e-05
Position 292: 3.8874750066799436e-05
Position 192: 3.0904568008067875e-05
Position 7: 1.994973838636173e-05
Position 350: 1.783220484480393e-05
Position 1907: 1.0721406311924428e-05
Position 67: 3.0792187939350214e-06
Position 29: 7.029214215851537e-07
Position 776: 6.680835412041084e-07
Position 774: 5.943900636047846e-07
Position 629: 5.417881393996754e-07
Position 17: 5.360595773255859e-07
Position 725: 4.768728734540277e-07
Position 692: 2.418511104426638e-07
Position 984: 1.2669056070074223e-07
Position 437: 8.570491027264112e-08
Position 1311: 7.88588191027603e-08
Position 899: 9.670172944214067e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 896: 0.97321937171719
Position 329: 0.11630190228840247
Position 1512: 0.033860251383493675
Position 1331: 0.017328248513857183
Position 1290: 0.008378199411339382
Position 403: 0.008134262674175342
Position 1227: 0.0033427252963152804
Position 1081: 0.003114188245645199
Position 2026: 0.0030714234431404013
Position 1462: 0.0028667595078380598
Position 824: 0.0022091221533584947
Position 364: 0.0016331607099894017
Position 649: 0.0016184686060421298
Position 1811: 0.0015077038628150733
Position 899: 0.0014828196979164662
Position 1262: 0.0011524890883038486
Position 1941: 0.001105945048976325
Position 241: 0.0009013506294762244
Position 1116: 0.0007153354368394214
Position 292: 0.0006296190118663274
Position 1554: 0.0005743753902346613
Position 1697: 0.000519899344175831
Position 714: 0.00045485575757930836
Position 757: 0.0004272810147859107
Position 1794: 0.0003619536671540141
Position 736: 0.0003331190111285719
Position 1052: 0.00032545090178560097
Position 618: 0.0002268592286317106
Position 2061: 0.0002102243384397732
Position 1171: 0.0001842995770854726
Position 1580: 0.0001793578814576926
Position 1199: 0.00017454628097343728
Position 1705: 0.000173439921602519
Position 1601: 0.00016752663459615154
Position 1848: 0.0001608479250145682
Position 208: 0.0001529723762658562
Position 764: 0.00013031850662155437
Position 1364: 0.00011614152246215776
Position 605: 0.00011184638694631256
Position 830: 0.0001046761937878683
Position 211: 9.62107700660817e-05
Position 1084: 9.392172049648506e-05
Position 1496: 7.552047532149078e-05
Position 1499: 7.460300377362859e-05
Position 1844: 6.0002455057796674e-05
Position 578: 5.4194859057860285e-05
Position 1989: 5.2856350313337254e-05
Position 161: 3.457903124814683e-05
Position 457: 3.270165999155623e-05
Position 134: 3.150162651516313e-05
Position 583: 2.802557228980776e-05
Position 1093: 2.75099578388991e-05
Position 1757: 2.4787995774151973e-05
Position 1548: 1.868206423912386e-05
Position 787: 1.5728482723385528e-05
Position 1021: 1.567664224584689e-05
Position 2074: 1.4675232870337035e-05
Position 1111: 1.3775103479270354e-05
Position 807: 1.3639921895478674e-05
Position 645: 1.3332110159475421e-05
Position 794: 1.3070738174163056e-05
Position 1122: 1.2854065024400333e-05
Position 600: 8.008174074438478e-06
Position 557: 5.737966106008124e-06
Position 157: 5.412466655925965e-06
Position 97: 5.374671650415327e-06
Position 225: 5.239870065473797e-06
Position 73: 3.124578019371304e-06
Position 719: 3.0143500606435833e-06
Position 451: 2.9605226772955004e-06
Position 590: 1.274720370899116e-06
Position 510: 9.118829856874335e-07
Position 855: 1.4883700133625893e-07
Position 852: 1.435190596423216e-07
Position 875: 4.7366815783785355e-08
Position 76: 1.6754046867624487e-08
Position 101: 9.205246248183053e-09
Position 970: 1.3881090700751711e-09
Position 475: 8.251497843079335e-11
Position 501: 1.808465302873122e-11
Position 592: 5.049807390011147e-12
