Gene = Hrk
index = 547
Annotated 5SS: [381]
Annotated 3SS: [14729]
SMsplice 5SS: [ 381 6272]
SMsplice 3SS: [ 6131 18978]
top_k =  500
Partition function (log Z): -16.991046197703895

Sorted 5' Splice Sites (High to Low Probability):
Position 6272: 0.7489240211766421
Position 381: 0.6387309226412163
Position 3013: 0.30599234599852443
Position 128: 0.28275226048417235
Position 3354: 0.22947992793879035
Position 5261: 0.21895070947921488
Position 1512: 0.18110033684467763
Position 2662: 0.16592292523432997
Position 1767: 0.13387247689966547
Position 1722: 0.11411885863539979
Position 4561: 0.10769957194943593
Position 1913: 0.09970787232809042
Position 13130: 0.0763556856998898
Position 2657: 0.07631466243903948
Position 269: 0.042366752879831014
Position 5235: 0.038029346589198994
Position 2941: 0.03351814870783909
Position 1647: 0.028930004709947676
Position 1376: 0.022275425937077164
Position 310: 0.01905359225105757
Position 1342: 0.015783146170969924
Position 7545: 0.014592114527146094
Position 1249: 0.014561627091276523
Position 1394: 0.006706339610905179
Position 6255: 0.006281198852417066
Position 504: 0.005394534904822959
Position 9602: 0.004571356827853396
Position 1433: 0.00419623887396868
Position 3020: 0.003999193235819283
Position 456: 0.003613856178315956
Position 1447: 0.0029544589888833832
Position 186: 0.0016663055496775926
Position 253: 0.0008650014413934617
Position 1733: 0.0008231711763611148
Position 2182: 0.0007062571629433137
Position 1566: 0.0006391315561642727
Position 1318: 0.0005361193075044364
Position 1421: 0.00045760654854641456
Position 1552: 0.00045636564139909944
Position 337: 0.0004181181948517727
Position 1684: 0.00029426482496366165
Position 79: 0.00016051233734829955
Position 1278: 0.00014074199242315467
Position 1440: 0.0001220607058771601
Position 481: 0.00012007161189898214
Position 1350: 7.873328608429978e-05
Position 6489: 4.5097650222348436e-05
Position 1516: 3.505574672746409e-05
Position 1501: 3.3109352663910476e-05
Position 84: 3.241995117729486e-05
Position 1305: 3.001446561479348e-05
Position 77: 5.156400494025566e-06
Position 43: 4.904486735147018e-06
Position 37: 4.715211146766631e-06
Position 1043: 3.594753116761242e-06
Position 45: 3.3155507292372547e-06
Position 1026: 3.2784033938865925e-06
Position 10: 2.5856237247099656e-06
Position 1121: 2.228915116364689e-06
Position 1123: 1.582312803910827e-06
Position 921: 1.02894266956695e-06
Position 989: 4.6398324651518103e-07
Position 926: 4.403802668164021e-07
Position 915: 4.2322822480909765e-07
Position 1074: 3.971693782215229e-07
Position 1090: 6.07039262563521e-08
Position 1291: 5.411127247333175e-08
Position 987: 5.1441320297835895e-08
Position 1041: 2.2923633800437843e-08
Position 613: 7.235060866795137e-09
Position 1444: 6.181970365338503e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 6131: 0.7919548285513274
Position 14729: 0.34647177237071447
Position 7406: 0.3142762444052579
Position 5143: 0.2661136927610841
Position 3223: 0.23278767907877318
Position 2890: 0.20102179744334908
Position 1228: 0.17211663506504374
Position 1634: 0.1274601752800939
Position 1609: 0.11136805024118336
Position 2508: 0.10161096104539992
