Gene = Il18bp
index = 570
Annotated 5SS: [  46  559  869 1406 1878 2113]
Annotated 3SS: [ 490  803 1213 1753 1964 2319]
SMsplice 5SS: [ 559 1878 2113]
SMsplice 3SS: [1787 1964 2319]
top_k =  500
Partition function (log Z): 0.039289435622989366

Sorted 5' Splice Sites (High to Low Probability):
Position 1878: 0.9874036357083155
Position 559: 0.8933790421950085
Position 2113: 0.8681398519720093
Position 869: 0.3793365961151739
Position 1406: 0.2455017629277786
Position 46: 0.21603542510089604
Position 317: 0.1661237210875048
Position 212: 0.15734138679244564
Position 1417: 0.14972091275562974
Position 975: 0.1485805796036486
Position 138: 0.09187982335254638
Position 1088: 0.08884926579301433
Position 1132: 0.05508103674978736
Position 1116: 0.029916828489270988
Position 2197: 0.023956126684778374
Position 374: 0.012232534340618724
Position 396: 0.010212006425546627
Position 1653: 0.010173050733084544
Position 703: 0.00788144512438076
Position 379: 0.006488847162454743
Position 1227: 0.0051687302135419175
Position 327: 0.004606214299520329
Position 190: 0.00433779291811897
Position 2748: 0.004154430149752594
Position 1359: 0.0022862758293506914
Position 2085: 0.002125235739524723
Position 2377: 0.0019156166491651695
Position 1081: 0.0015212567382569024
Position 97: 0.0013915261136777126
Position 1375: 0.0011528037013806515
Position 1476: 0.0009904970968275626
Position 2077: 0.0008806244987223539
Position 118: 0.0007698206552981486
Position 2483: 0.0007532755334219945
Position 85: 0.0007240876870287953
Position 1457: 0.0004575237179980392
Position 2670: 0.00040852141117296516
Position 2904: 0.0003819711248531718
Position 2545: 0.00037339473158089025
Position 1102: 0.0002793206627342461
Position 204: 0.0002752844444673798
Position 2230: 0.00026715044483865204
Position 632: 0.0002439832442769841
Position 2919: 0.0001786238364645711
Position 2039: 0.0001761202604284635
Position 101: 0.00015242645889423895
Position 79: 0.00013424147166798205
Position 1051: 0.00010536818433715536
Position 601: 6.781359144721555e-05
Position 987: 5.956035403687484e-05
Position 238: 5.142582793188118e-05
Position 739: 4.752614934330703e-05
Position 475: 4.328022833714445e-05
Position 735: 3.610628665705619e-05
Position 111: 2.9978710450159802e-05
Position 216: 2.890154959900734e-05
Position 577: 2.828539589101943e-05
Position 99: 2.5740276084546244e-05
Position 285: 2.278808198924116e-05
Position 219: 1.5049825261511642e-05
Position 113: 1.4387006111777323e-05
Position 231: 1.3516088265887515e-05
Position 299: 1.0092193598152437e-05
Position 151: 9.247046501464134e-06
Position 693: 9.217607119723324e-06
Position 292: 8.742495598902116e-06
Position 2462: 5.389632155478223e-06
Position 264: 2.1399877051178066e-06
Position 911: 1.9805851213840785e-06
Position 465: 1.9291080682869853e-06
Position 91: 7.366008043964162e-07
Position 2054: 5.75942321277426e-07
Position 2764: 3.9857433898796945e-07
Position 2008: 2.60656147755192e-07
Position 1065: 1.9766204806566935e-07
Position 2205: 9.519822971068432e-08
Position 2188: 4.244845709006739e-08
Position 268: 1.889522046829919e-09
Position 459: 6.119734625529455e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1964: 0.9725647422668684
Position 1787: 0.6857124625510141
Position 803: 0.5617077985271758
Position 2319: 0.3919452061435101
Position 450: 0.30770776177557924
Position 1213: 0.2885333921288915
Position 2850: 0.18383384792005492
Position 3013: 0.15637002449066706
Position 1753: 0.1347035343537989
Position 1805: 0.10932468672089525
Position 490: 0.1039707225312335
Position 947: 0.06369482872522945
Position 1725: 0.057747686095783624
Position 2596: 0.056428400564474936
Position 1265: 0.05116979662201426
Position 1080: 0.045611496810886144
