Gene = Prcc
index = 850
Annotated 5SS: [  734 13399 16026 18294 23478 25463]
Annotated 3SS: [13350 15458 18197 23333 25396 26261]
SMsplice 5SS: [  734 13399 18294 23478 25463]
SMsplice 3SS: [13350 18197 23333 25396 26261]
top_k =  500
Partition function (log Z): -5.011054303846526

Sorted 5' Splice Sites (High to Low Probability):
Position 18294: 0.9999998626923758
Position 23478: 0.9772237863728441
Position 25463: 0.9675111357600676
Position 13399: 0.8529599825992613
Position 734: 0.796478565889974
Position 1173: 0.693067104344584
Position 181: 0.06462569921734039
Position 220: 0.048405924365178835
Position 36: 0.030730840358051268
Position 557: 0.02376701189303017
Position 25000: 0.016427714876914946
Position 698: 0.012491178988592498
Position 25550: 0.011380454569543619
Position 905: 0.009723369555947051
Position 23398: 0.009398294834038725
Position 25960: 0.008763945660065352
Position 26175: 0.005799722053340905
Position 23669: 0.005530576643108355
Position 738: 0.0038564124430737713
Position 23701: 0.0036727047854024
Position 786: 0.0035678442795005626
Position 26168: 0.0032472217694723467
Position 24902: 0.0026397814098870253
Position 25647: 0.002074088476699316
Position 23721: 0.001494635129053018
Position 300: 0.0014648284881762967
Position 347: 0.0012014723265671144
Position 25669: 0.0007932936352241669
Position 866: 0.0007608911086982434
Position 25830: 0.0006577340860068047
Position 970: 0.0006444730670415485
Position 385: 0.0006008866320682354
Position 25972: 0.00042852213402999807
Position 26431: 0.0003589210125965107
Position 26297: 0.00035205029053057146
Position 961: 0.0003296464118922078
Position 213: 0.0002984974817906347
Position 26578: 0.00029123973925210305
Position 899: 0.00018745999027618834
Position 38: 0.00015670745896945932
Position 8: 0.00014751522763620023
Position 45: 0.00012123507553623626
Position 5: 9.307303441670047e-05
Position 161: 9.213060310409119e-05
Position 26506: 6.565897325008076e-05
Position 26585: 6.301036244206697e-05
Position 70: 5.650421623154762e-05
Position 17: 5.6032008655640435e-05
Position 53: 5.2910856850151e-05
Position 245: 4.9180122247937854e-05
Position 90: 3.971098720787102e-05
Position 26314: 1.7901866108871793e-05
Position 26378: 1.7349391420673955e-05
Position 26618: 3.6216664180440634e-06
Position 2971: 9.907702654506762e-10
Position 2511: 3.2505323180627056e-10
Position 2291: 3.0697485069196416e-10
Position 2491: 2.5784027729855516e-10
Position 4599: 2.3562452319191264e-10
Position 1432: 1.233900238956472e-10
Position 4821: 5.6346454578788084e-11
Position 2199: 3.129997756368428e-11
Position 1428: 5.240799137610084e-12
Position 2287: 3.2521858145256964e-12
Position 1062: 1.6873633390765516e-12
Position 1091: 1.344276261775789e-12
Position 275: 4.4452158383702606e-13
Position 1240: 2.8200752480642687e-13
Position 1351: 1.9388388123881958e-13
Position 42: 1.7820268721538323e-13
Position 2211: 1.522471861854919e-13
Position 113: 1.4382309182295592e-13
Position 229: 1.0708743461903898e-13
Position 40: 8.791995422007763e-14
Position 129: 7.186145660054821e-14
Position 268: 4.4227374355762855e-14
Position 581: 3.282830662953191e-14
Position 68: 8.581482047663947e-15
Position 1191: 1.3432253902520881e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 18197: 0.9999999639060511
Position 23333: 0.9866319016043236
Position 26261: 0.9862406986426963
Position 25396: 0.9599466032411177
Position 13350: 0.8529599825992613
Position 1019: 0.4969878863508094
Position 1061: 0.08476875138262116
Position 1056: 0.05021793348974379
Position 947: 0.022684062251269458
Position 24823: 0.019077838702608842
Position 1122: 0.01633384672981081
Position 1033: 0.016004100975858283
Position 25359: 0.013532944092218727
Position 26022: 0.01230076664332677
