Gene = Nomo1
index = 757
Annotated 5SS: [  275  3951  4891  7872  8941 10606 11716 12289 13301 16678 16999 20979
 23039 23511 24855 27269 28135 29365 32683 32845 34841 35101 36339 37205
 38942 42461 44439 45895 47817 49630]
Annotated 3SS: [ 3860  4844  7770  8833 10532 11562 12150 13210 16571 16847 20803 22896
 23378 24717 27180 28070 29268 32463 32761 34680 34973 36224 37076 38799
 42376 44327 45792 47696 49536 49904]
SMsplice 5SS: [  275  3951  4891  7872  8941 10606 11716 12289 13301 16678 16999 20979
 23039 23511 23904 24855 27269 29365 32683 32845 34841 35101 36339 37205
 38942 42461 44439 45895 47817 49630 50033]
SMsplice 3SS: [ 3860  4844  7770  8833 10532 11562 12150 13210 16571 16847 20803 22896
 23378 23742 24717 27180 29268 32463 32761 34680 34973 36224 37076 38799
 42376 44327 45792 47696 49536 49904 50184]
top_k =  500
Partition function (log Z): 69.05915804725545

Sorted 5' Splice Sites (High to Low Probability):
Position 45895: 0.999835816821507
Position 47817: 0.9979570303523518
Position 38942: 0.99768144430039
Position 16678: 0.9937398677629599
Position 32683: 0.980275534584113
Position 3951: 0.9779185612796172
Position 8941: 0.9628455523540621
Position 29365: 0.9552588657909861
Position 24855: 0.9533208331271232
Position 275: 0.9425169804942422
Position 49630: 0.9334777129563303
Position 7872: 0.9256882765978174
Position 42461: 0.9173736660251152
Position 16999: 0.9099654748921376
Position 20979: 0.9082195083875574
Position 32845: 0.8965765940719315
Position 35101: 0.8670219290923662
Position 12289: 0.854836178537673
Position 44439: 0.8480171154881528
Position 34841: 0.8427801322846086
Position 23511: 0.8334863446459693
Position 13301: 0.816509052404388
Position 36339: 0.7962152966548548
Position 27269: 0.7794425371697974
Position 10606: 0.719982372342803
Position 37205: 0.71339955453213
Position 23039: 0.680785967726393
Position 11716: 0.6804325568767802
Position 4891: 0.6525407909300199
Position 23904: 0.5418285208497711
Position 50033: 0.49256377525864325
Position 18230: 0.45360749974147646
Position 17891: 0.3944151440415427
Position 2675: 0.37566973640679546
Position 28135: 0.31547205082055735
Position 28255: 0.2690195531150887
Position 21990: 0.2622792202124103
Position 45447: 0.256142449731331
Position 23044: 0.24020442118867558
Position 22823: 0.19601579409591297
Position 37229: 0.18729606010663757
Position 43752: 0.17907520435327648
Position 28815: 0.14203598247509208
Position 3214: 0.13358949645802765
Position 45680: 0.12670955175481763
Position 26644: 0.12523094732778495
Position 27313: 0.12441178457629795
Position 30814: 0.11441232780591322
Position 12293: 0.11299318474443668
Position 14332: 0.11246531684773381
Position 35106: 0.11205739401725136
Position 967: 0.11126243192197774
Position 4217: 0.10597370744756508
Position 25415: 0.08908772887040436
Position 17016: 0.08874481632678131
Position 21925: 0.0872357491986985
Position 27962: 0.07962309665322903
Position 13327: 0.07937812821557565
Position 34199: 0.07502871128013627
Position 5570: 0.07500663589172686
Position 23427: 0.07131046407268926
Position 19512: 0.07128541149050166
Position 33412: 0.06992086562809058
Position 28163: 0.06847384209165093
Position 30980: 0.06765863353513116
Position 25618: 0.06698903119593716
Position 34895: 0.06698522463510408
Position 14904: 0.06693814975960807
Position 13894: 0.06525884135092835
Position 32868: 0.05954081055561472
Position 7637: 0.05651688147596863
Position 2137: 0.056343395806837206
Position 28398: 0.055279565975475495
Position 3646: 0.05509469856891745
Position 17456: 0.04967742347460814
Position 47028: 0.04903110157888312
Position 34831: 0.04837480020749524
Position 24371: 0.04661096610210402
Position 6882: 0.04646812777835854
Position 1441: 0.04646409810049506
Position 26281: 0.04629160268296809
Position 37253: 0.04618654526651388
Position 1843: 0.04565210404964234
Position 48423: 0.04514130665399343
Position 17997: 0.04365070653621019
Position 37699: 0.043376218617597634
Position 22037: 0.04276519015120177
Position 35967: 0.04242371546408361
Position 47591: 0.0393365534255063
Position 18740: 0.03908118032229071
Position 44547: 0.03901727089552161
Position 41728: 0.037001523137931355
Position 13429: 0.035909099138740734
Position 23057: 0.03519317373899456
Position 14908: 0.03216701974560818
Position 34612: 0.03208587186376439
Position 23266: 0.031422006225092745
Position 35318: 0.02944940656369609
Position 3366: 0.029255854283982235
Position 20546: 0.028421950292732846
Position 10634: 0.027215585836331945
Position 27282: 0.026384727679152713
Position 10652: 0.024716486994360732
Position 8992: 0.02466563919976662
Position 11575: 0.024003101135220046
Position 14874: 0.02293833370060816
Position 45501: 0.02218288290442389
Position 36367: 0.021219230226957982
Position 10782: 0.020390669812953236
Position 3958: 0.01970165474584386
Position 6810: 0.01952598862819206
Position 11793: 0.01922439827481854
Position 49017: 0.01913522905061128
Position 37623: 0.01863806554751867
Position 42525: 0.01831899039484642
Position 17918: 0.01776456933845546
Position 18621: 0.017291125421348544
Position 13061: 0.01711665406692106
