Gene = Ibsp
index = 554
Annotated 5SS: [  184  3020  3162  3330  6876 10279]
Annotated 3SS: [ 2952  3110  3251  6809 10104 10850]
SMsplice 5SS: [  184  3020  3162  3330  6876 11061]
SMsplice 3SS: [ 2952  3110  3251  6809 10850 11156]
top_k =  500
Partition function (log Z): 3.833033335519142

Sorted 5' Splice Sites (High to Low Probability):
Position 3020: 0.9883279514423305
Position 3330: 0.9853838589235836
Position 6876: 0.9291923749976455
Position 184: 0.9167233252567717
Position 3162: 0.88633251131135
Position 11080: 0.599608048425059
Position 10279: 0.48840070591563406
Position 9254: 0.46881899816140754
Position 8545: 0.37720728965929756
Position 2414: 0.13892251253187024
Position 7259: 0.09453125536988774
Position 10709: 0.09402608100307007
Position 2835: 0.0910298874210947
Position 2732: 0.08454581286388459
Position 2720: 0.06771895227477849
Position 8795: 0.06322444611108853
Position 8473: 0.05994833872127831
Position 11001: 0.05667340225098525
Position 518: 0.028593708857538376
Position 7999: 0.02747956678292586
Position 178: 0.027402830356371404
Position 7431: 0.0270111120276428
Position 2513: 0.021818710271290405
Position 4858: 0.02110709338949596
Position 21: 0.02090607038175704
Position 116: 0.019890369377924492
Position 1920: 0.01820520168679219
Position 2068: 0.017775617354694278
Position 9329: 0.01734145639795949
Position 6698: 0.016761920530553358
Position 3944: 0.01207484315336655
Position 1909: 0.010749682009703172
Position 5856: 0.010650397367997505
Position 1877: 0.010198814052434947
Position 2615: 0.0097349805843698
Position 4854: 0.009683403429571986
Position 3835: 0.008940867994360675
Position 2465: 0.008489146846234842
Position 10630: 0.008420780878138806
Position 2197: 0.007690252910337351
Position 11377: 0.007438314515522235
Position 2192: 0.007290198483260846
Position 10971: 0.006608156480752273
Position 5769: 0.0060946113865454656
Position 1870: 0.006013575219740269
Position 3831: 0.005509665103180947
Position 5263: 0.005382566442935303
Position 4567: 0.005244916798045418
Position 5759: 0.004697718381100315
Position 9487: 0.004184072498548962
Position 4265: 0.004069486086189276
Position 6139: 0.003455087606657862
Position 3816: 0.003328099199017401
Position 2487: 0.00279680491910296
Position 11270: 0.0026852285046203017
Position 5801: 0.0026794516464845068
Position 391: 0.0025273796852778026
Position 1915: 0.0023252518994050886
Position 7011: 0.0019756423393832907
Position 8764: 0.0018548889606035636
Position 6169: 0.0017988714607037961
Position 8783: 0.0017409744901110695
Position 9011: 0.0013292262311359654
Position 4210: 0.0012465596492879196
Position 2501: 0.001239554892200818
Position 1886: 0.0010906695237450019
Position 108: 0.001021680963193144
Position 4996: 0.0009820031934054882
Position 2504: 0.0008689952882630743
Position 2175: 0.0008412059922116902
Position 3900: 0.000786358920639016
Position 2405: 0.0005563222139187829
Position 3537: 0.0005291454420049989
Position 10950: 0.0005260863813828418
Position 2591: 0.0005048938188649239
Position 2550: 0.00047250495893053166
Position 5897: 0.0004532116620300382
Position 895: 0.00023016426583305472
Position 2199: 0.0002173921983711917
Position 1862: 0.00018668397120354295
Position 1966: 0.00018119281336983676
Position 825: 0.0001778161943280098
Position 811: 0.0001082852365110629
Position 2178: 0.00010053397902030072
Position 1769: 8.214185677206495e-05
Position 1688: 5.539380837453566e-05
Position 3053: 4.2532103100232486e-05
Position 1400: 4.168122245118556e-05
Position 1654: 4.14210858511694e-05
Position 59: 4.0496137856833926e-05
Position 248: 3.56092249042159e-05
Position 334: 3.288506299814177e-05
Position 930: 2.8491813454737528e-05
Position 2065: 2.736889781875682e-05
Position 3024: 2.715864143323884e-05
Position 41: 2.5028800912960883e-05
Position 450: 2.3603607492260453e-05
Position 3334: 2.1615483227544387e-05
Position 69: 1.9490661556140118e-05
Position 244: 1.9172257924593757e-05
Position 1945: 1.585162103147516e-05
Position 509: 1.536078247832123e-05
Position 1840: 1.4873058615711136e-05
Position 1895: 1.3481821463568385e-05
Position 1855: 1.3072803996384828e-05
Position 3204: 1.2695389072875613e-05
Position 770: 1.180648949828802e-05
Position 3229: 1.1514862539170738e-05
Position 1714: 1.0923772182857917e-05
Position 3067: 8.776455842483952e-06
Position 1893: 8.733648775178433e-06
Position 684: 8.613842703243448e-06
Position 356: 8.549743922731152e-06
Position 1824: 8.269937406888253e-06
Position 1417: 7.577691614813701e-06
Position 87: 6.767627166377626e-06
Position 2011: 6.509955477022509e-06
Position 3252: 6.4321905721973546e-06
Position 785: 5.224874385244057e-06
Position 2027: 5.002652795291118e-06
Position 1414: 4.301929792784535e-06
Position 94: 4.047914551275916e-06
Position 120: 4.0128055998278345e-06
Position 917: 3.6100105737223784e-06
Position 3615: 3.5664179137067104e-06
Position 3579: 3.563031366758263e-06
