Gene = A330070K13Rik
index = 77
Annotated 5SS: [ 215 3447]
Annotated 3SS: [3304 5504]
SMsplice 5SS: [ 215 3447]
SMsplice 3SS: [3304 5504]
top_k =  500
Partition function (log Z): -10.645636739397212

Sorted 5' Splice Sites (High to Low Probability):
Position 215: 0.6132303107444426
Position 3447: 0.45703773430519673
Position 286: 0.17301657357559233
Position 107: 0.11482107118083837
Position 2406: 0.10313098329880376
Position 2412: 0.09344664093318117
Position 193: 0.07182761085336584
Position 1098: 0.03248087749010182
Position 5607: 0.014539989535490369
Position 2845: 0.012859301771511714
Position 5422: 0.011364140064121942
Position 5410: 0.006910690230540729
Position 4015: 0.00492444219605457
Position 174: 0.002776218818869507
Position 334: 0.0027386583409073515
Position 1082: 0.002041666263678625
Position 2087: 0.0017903585332437132
Position 5173: 0.001711541062345394
Position 1553: 0.0011658555005354004
Position 1670: 0.0011158301084916286
Position 5100: 0.0009492937505102358
Position 3676: 0.0008997975188019894
Position 1935: 0.00061359411969139
Position 1376: 0.0005897321201185243
Position 219: 0.000281019375649465
Position 227: 0.00026923692224944463
Position 2451: 0.00023410465009491546
Position 2208: 0.00022832871892775758
Position 1992: 0.0002230758842145749
Position 157: 9.40839430913947e-05
Position 239: 6.553355633480976e-05
Position 849: 6.0547068112581576e-05
Position 101: 5.4750772381881085e-05
Position 1748: 5.156349774815586e-05
Position 1079: 4.801201853033012e-05
Position 594: 4.523990566930786e-05
Position 146: 4.482941259287274e-05
Position 1999: 3.9884889678216026e-05
Position 385: 3.920816396782096e-05
Position 1699: 3.2911287130072015e-05
Position 854: 2.5461754786915605e-05
Position 1796: 2.4284454526169398e-05
Position 150: 7.063150771515583e-07
Position 550: 6.699369414335814e-07
Position 354: 6.340924469593257e-07
Position 371: 5.236754607585495e-07
Position 344: 4.2599125633609904e-07
Position 398: 3.6549074647240407e-07
Position 305: 2.919955810905356e-07
Position 568: 2.6369777046005893e-07
Position 360: 2.422253822896606e-07
Position 446: 2.129857010701355e-07
Position 45: 1.2852054169968658e-08
Position 574: 4.36099084633608e-09
Position 582: 4.269250769722825e-09
Position 391: 6.599379363475973e-10
Position 509: 4.970599018701438e-10
Position 486: 4.802794910815353e-10
Position 440: 3.698068881517015e-10
Position 548: 3.5779255072760626e-10
