Gene = Kcne4
index = 604
Annotated 5SS: [239]
Annotated 3SS: [852]
SMsplice 5SS: [239 970]
SMsplice 3SS: [ 852 1295]
top_k =  500
Partition function (log Z): -2.953055472422846

Sorted 5' Splice Sites (High to Low Probability):
Position 239: 0.9947665697853026
Position 970: 0.8378857395624323
Position 1412: 0.3294772353581073
Position 1402: 0.3140008730000658
Position 1808: 0.2648420215940477
Position 1420: 0.23216338471799475
Position 1926: 0.1973503952661879
Position 2023: 0.07406563344230543
Position 1160: 0.046111759204095486
Position 1170: 0.027626737901808925
Position 2118: 0.023782385846235016
Position 958: 0.011948670724079272
Position 944: 0.008857693612942117
Position 1633: 0.006864779563488518
Position 951: 0.004680404831215644
Position 701: 0.0032693809365305065
Position 2779: 0.002991909719454406
Position 464: 0.0017651573000378768
Position 326: 0.0014251250907821168
Position 612: 0.001375032512930145
Position 1871: 0.0010894369364758865
Position 2124: 0.001069476657462761
Position 1558: 0.0007078487277630424
Position 1692: 0.000629506659852862
Position 864: 0.0006289804041561015
Position 1091: 0.0005065674959267586
Position 228: 0.00046825098568446506
Position 2334: 0.00046217749018496947
Position 1637: 0.00043467656288468076
Position 448: 0.000421972834982144
Position 999: 0.0003769417967620761
Position 1148: 0.00031862099614340635
Position 1094: 0.0002874065826445451
Position 243: 0.00024166106133858726
Position 1002: 0.00023264195830856248
Position 1644: 0.00022763011802418506
Position 80: 0.0002270003226139902
Position 1076: 0.0002207200695269192
Position 497: 0.00021410464213627783
Position 370: 0.0001781879311229218
Position 457: 0.00013680356796139017
Position 967: 0.00013677314631579078
Position 207: 0.00012955012307412213
Position 1115: 9.843691541888599e-05
Position 1217: 9.202749229422672e-05
Position 77: 8.931990857258363e-05
Position 102: 8.467189313858486e-05
Position 755: 7.494904132330523e-05
Position 1251: 7.123111058851829e-05
Position 1020: 6.989709528456549e-05
Position 1007: 5.448947714955298e-05
Position 821: 5.20104578949006e-05
Position 1201: 4.444078258414109e-05
Position 375: 4.33553027380089e-05
Position 828: 3.69259555145572e-05
Position 45: 3.147303078782096e-05
Position 1354: 3.077847198112465e-05
Position 150: 3.0568074263212146e-05
Position 1203: 2.7007881793301664e-05
Position 757: 2.688134758153936e-05
Position 16: 2.606767994555723e-05
Position 584: 1.7773278784351663e-05
Position 67: 1.594113095212371e-05
Position 715: 1.1423378507666117e-05
Position 789: 8.701375430533948e-06
Position 25: 8.670892099223562e-06
Position 304: 7.470456464563741e-06
Position 588: 7.115981564562579e-06
Position 348: 6.799788844488638e-06
Position 508: 6.292668121794224e-06
Position 482: 6.17507603187261e-06
Position 199: 4.1774789115103014e-06
Position 286: 4.1305020239089976e-06
Position 689: 3.1443678264106813e-06
