Gene = Ankle2
index = 120
Annotated 5SS: [  420  3817  5476  6848  7132 11048 13567 18497 19804 20684 22339 22911]
Annotated 3SS: [ 3342  5268  6650  6942 10924 13499 18326 19696 20492 21707 22778 23296]
SMsplice 5SS: [  420  6848  7132 11048 14004 18497 19804 20009 20684 22911]
SMsplice 3SS: [ 6650  6942 10924 13879 18326 19696 19935 20571 22778 23296]
top_k =  500
Partition function (log Z): 10.056608292040476

Sorted 5' Splice Sites (High to Low Probability):
Position 7132: 0.9964737283355692
Position 20684: 0.9856453118800562
Position 11048: 0.9263353589243609
Position 19804: 0.8997307240897053
Position 420: 0.8735694043186777
Position 14004: 0.8651188586584975
Position 6848: 0.769578786566812
Position 22911: 0.7523288527359505
Position 18497: 0.7392480542689506
Position 20009: 0.4641291513287759
Position 14428: 0.427339671094867
Position 13567: 0.3596518598590131
Position 5653: 0.3071178268570659
Position 12764: 0.24980887815023683
Position 5476: 0.23395577410360485
Position 22339: 0.19487553722098458
Position 17430: 0.19356040714752504
Position 944: 0.1809299212658854
Position 3817: 0.15679812991246675
Position 5775: 0.14129915521268963
Position 23401: 0.14042061751430032
Position 3502: 0.12776108427705754
Position 17025: 0.112067698938247
Position 476: 0.11041567920583839
Position 20053: 0.08379982325550231
Position 5669: 0.08068538550006471
Position 5586: 0.07312459049992567
Position 20189: 0.061470878433878974
Position 21278: 0.06098986193584025
Position 3119: 0.060027291271186854
Position 11329: 0.04521166376593888
Position 2798: 0.04271386423410886
Position 20869: 0.04192652139820296
Position 11031: 0.040333480335550176
Position 14342: 0.03896974147246461
Position 9719: 0.03573837885723019
Position 9258: 0.03556016275721812
Position 20899: 0.03015785325221836
Position 14449: 0.027339203276284526
Position 13425: 0.024198475652733142
Position 18799: 0.024150098397192336
Position 23201: 0.021897685978567068
Position 14713: 0.018658863930136934
Position 8901: 0.01696277865899465
Position 20132: 0.015787126850479453
Position 580: 0.014365197445490878
Position 20688: 0.014088973658178778
Position 1108: 0.014018136289457896
Position 2591: 0.012939318917999904
Position 8030: 0.011326293319214933
Position 9666: 0.0111567222277228
Position 11829: 0.010226358493445182
Position 14295: 0.00968144741757754
Position 2306: 0.008922383452301426
Position 2302: 0.008371760395117084
Position 13043: 0.008186150900441636
Position 13803: 0.00664224065974248
Position 2298: 0.005655804294238886
Position 20931: 0.005326984988597803
Position 20032: 0.004871424832468541
Position 1953: 0.004832624184443143
Position 2310: 0.004214663732110796
Position 8527: 0.00421155961899372
Position 23180: 0.0035974655438917626
Position 3807: 0.0035919480224994196
Position 7408: 0.0034799360123398504
Position 23078: 0.003446944197907546
Position 22965: 0.0034445970342403542
Position 19839: 0.003226823159368875
Position 2052: 0.0030981075317218186
Position 14300: 0.0028473087012238383
Position 22307: 0.0026811390427415333
Position 11066: 0.0024553192657673275
Position 10175: 0.0024407078988951817
Position 21017: 0.0024154719961942714
Position 20976: 0.0021678565346057105
Position 13287: 0.002082895494234572
Position 21000: 0.0020606232194970834
Position 6798: 0.0019851463118159274
Position 22115: 0.0017198566512316652
Position 19983: 0.0016178555604202532
Position 12342: 0.0015110984999853866
Position 21813: 0.0014854060361408571
Position 13367: 0.00127848272947775
Position 23576: 0.001170884480406803
Position 19891: 0.0010755970666239526
Position 22844: 0.0009923671988477335
Position 12686: 0.0007025891081239123
Position 2067: 0.0006900169591775366
Position 1329: 0.0005430290526720145
Position 12690: 0.0003689218565891321
Position 14513: 0.00036106889940207076
Position 2869: 0.00033807013545869325
Position 1335: 0.00026443573242298986
Position 13634: 0.00020592264775860827
Position 2314: 0.0001976653301148144
Position 2294: 0.0001960947253850735
Position 3256: 0.00017138554215504183
Position 921: 0.0001590716702707395
Position 20699: 0.00015548932015901863
Position 3433: 0.00014724947617903824
Position 14476: 0.00013909834318837503
Position 3115: 0.00012660695049839478
Position 3040: 0.00012291242412076095
Position 561: 8.911206496625466e-05
Position 20692: 8.204521522744373e-05
Position 430: 5.604297093123019e-05
Position 2242: 5.4172291544144745e-05
Position 299: 5.004973080853891e-05
Position 2659: 4.712709702489237e-05
Position 1019: 4.6124414298243906e-05
Position 3166: 4.215154361014511e-05
Position 855: 3.9763547621495885e-05
Position 1624: 3.2475618213669035e-05
Position 1654: 3.2116292881735766e-05
Position 326: 3.0857016545246685e-05
Position 529: 2.8764613772975726e-05
Position 3015: 2.493451085966808e-05
Position 7566: 2.0408303323499773e-05
Position 2764: 1.9756621807188752e-05
Position 1530: 1.834093177206852e-05
Position 20703: 1.7729272444047485e-05
Position 954: 1.7297722159486288e-05
Position 87: 1.4845244013991587e-05
Position 7107: 1.4392632171334178e-05
Position 7574: 1.264167629393588e-05
Position 314: 9.424383385648035e-06
Position 1251: 9.114092343533254e-06
Position 227: 7.67337347483503e-06
Position 404: 3.2732218366038763e-06
Position 434: 2.1951888598270456e-06
Position 262: 1.7717475530033514e-06
Position 257: 1.4373554362018424e-06
Position 394: 8.717918907304338e-07
Position 254: 7.049851508743302e-07
Position 30: 6.608542405804718e-07
Position 363: 6.374498027183537e-07
Position 571: 3.41804123663326e-07
Position 865: 3.1092265814219914e-07
Position 917: 2.7669784369420766e-07
Position 812: 2.7217509519975386e-07
Position 304: 1.8520163548277963e-07
Position 44: 1.4985675240940275e-07
Position 152: 1.364312029439513e-07
Position 819: 8.193388556155218e-08
