Gene = Eepd1
index = 363
Annotated 5SS: [   350   1773  66057 100456 105250 108027 113209]
Annotated 3SS: [   733  66004 100344 105114 107887 113013 121861]
SMsplice 5SS: [   350  11661  18937  24812  26121  33372  39241  87180 100456 105250
 108027 109383 113209]
SMsplice 3SS: [ 11552  18807  24653  26063  33291  39151  87053 100344 105114 107887
 109220 113013 121861]
top_k =  500
Partition function (log Z): -77.16560259744024

Sorted 5' Splice Sites (High to Low Probability):
Position 350: 0.5970559234497312
Position 1773: 0.5346628975998452
Position 1426: 0.36946397611435927
Position 997: 0.35529245664472064
Position 600: 0.31800969780299243
Position 749: 0.2724618368888914
Position 378: 0.1775923735785941
Position 1123: 0.16782941825786601
Position 7286: 0.10389257673625982
Position 6412: 0.10096417022065635
Position 818: 0.03196402305197976
Position 1205: 0.01670269631389914
Position 1174: 0.01477702338964966
Position 1060: 0.014134394098332292
Position 1141: 0.007821733028091317
Position 1652: 0.006227370104860545
Position 7223: 0.006221495681328129
Position 189: 0.004399206276573817
Position 303: 0.004396914714388373
Position 271: 0.0039396115753364104
Position 225: 0.0035233758825653698
Position 102: 0.0022869797435495537
Position 136: 0.0021239171772228856
Position 856: 0.0019105546280592718
Position 813: 0.0017771718104919836
Position 382: 0.001736795606981027
Position 658: 0.001616949361339656
Position 1192: 0.001512109840749056
Position 1150: 0.0014140782595958618
Position 183: 0.0009083549047902663
Position 525: 0.0007542429598479837
Position 4290: 0.0006852059670394938
Position 734: 0.0006438392603398712
Position 692: 0.0005739303743800441
Position 455: 0.0002547913100228144
Position 435: 0.00020766009475880104
Position 403: 0.00020568646408354138
Position 490: 0.00020180382078811393
Position 509: 0.00017893560649551206
Position 836: 0.00014796551640323372
Position 401: 0.0001420985430471282
Position 630: 0.00014195647578141968
Position 828: 0.0001407171867763129
Position 620: 9.726543600491148e-05
Position 569: 9.336994882985852e-05
Position 782: 9.210524234327082e-05
Position 16: 6.828092731605413e-05
Position 85: 4.900089433788949e-05
Position 614: 4.322045288062929e-05
Position 82: 4.143317765201334e-05
Position 567: 3.355007077390109e-05
Position 466: 2.903001424923915e-05
Position 427: 2.852203594489809e-05
Position 500: 2.1007557577612384e-05
Position 441: 1.559962053216375e-05
Position 683: 1.1724297488529682e-05
Position 502: 1.1282730484013085e-05
Position 471: 9.513412580410634e-06
Position 475: 8.07764200974172e-06
Position 888: 6.87292463269025e-06
Position 10: 2.842809496707549e-06
Position 963: 2.5239118341108796e-06
Position 535: 2.2819369464200857e-06
Position 493: 2.01416099164699e-06
Position 612: 1.3544044044219734e-06
Position 60: 9.773253630075557e-07
Position 882: 6.56589208507809e-07
Position 549: 6.075141200482728e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 932: 0.496421379210173
Position 1679: 0.27901599822080414
Position 8963: 0.23461349627514783
Position 482: 0.23308415188145917
Position 1332: 0.23193660662616156
Position 9081: 0.2282689907268343
Position 8696: 0.182935231208564
Position 733: 0.1698575534421384
Position 1701: 0.12912936760923127
Position 7108: 0.12784477921733214
Position 6274: 0.09207820425482093
Position 872: 0.07583652654936493
Position 11552: 0.0712066251132971
Position 561: 0.053610262410992295
Position 1575: 0.037075824572856166
Position 1614: 0.03640724836555037
Position 1355: 0.03405994263218923
Position 5328: 0.0330239080220625
Position 4394: 0.032612394120402476
Position 1391: 0.03195337411315149
Position 1318: 0.030143300482668316
Position 3052: 0.02973069245052845
Position 1303: 0.02877760683331035
Position 627: 0.020000794974802436
Position 3562: 0.019891189097672932
Position 6320: 0.015199095046839537
Position 1600: 0.014560766238108362
Position 5554: 0.013276197898110922
Position 4065: 0.011067469329770277
Position 1553: 0.010474598386257247
Position 1463: 0.010205066871805342
Position 3252: 0.010069928001248379
Position 4936: 0.009698763551801106
Position 963: 0.008924964473184489
Position 2445: 0.008838692755858744
Position 6045: 0.007647295533262371
Position 793: 0.007295088208934494
Position 1542: 0.007049510289922307
Position 847: 0.0057851617677691924
Position 7284: 0.005562426802518062
Position 4189: 0.004664321685839418
Position 1229: 0.00396765193568038
Position 2421: 0.003773534890180683
Position 1263: 0.0035897328775782614
Position 1260: 0.003513008842007278
Position 5662: 0.0029931208489155877
Position 658: 0.0028354148022899975
Position 1072: 0.002535529590375428
Position 599: 0.002084738562655961
Position 1412: 0.001941366502159133
Position 4259: 0.0018577511466080273
Position 485: 0.0016581180828623867
Position 1772: 0.0013473802684521726
Position 2556: 0.0013210751863065428
Position 934: 0.001039927062457874
Position 4438: 0.000998879439395512
Position 986: 0.0009464245075850824
Position 1005: 0.0007233050846803018
Position 3349: 0.0005680078094004897
Position 3527: 0.0005603655031456156
Position 458: 0.000517360410670291
Position 630: 0.0004751673534994032
Position 422: 0.00042357438984268956
Position 1218: 0.00042200778088991427
Position 2571: 0.0003351529328742259
Position 2360: 0.0003178634702690243
Position 1082: 0.0002699626250500431
Position 441: 0.00012010073502664165
Position 1988: 0.00011404061714525463
Position 765: 0.00010227808429027808
Position 509: 0.00010169156118755166
Position 567: 6.184130289242236e-05
Position 523: 3.621688509391592e-05
Position 813: 2.955232512295185e-05
Position 874: 2.894712576905786e-05
Position 401: 2.618692622126367e-05
Position 233: 1.8864394810964162e-05
Position 604: 1.85511455768641e-05
Position 742: 1.5118220353204997e-05
Position 514: 1.0736501241528469e-05
Position 690: 7.442861533753491e-06
Position 259: 6.070110181245438e-06
Position 585: 5.5239652817518075e-06
Position 968: 5.256295735887476e-06
Position 530: 4.047589085066522e-06
Position 683: 2.9725638304633677e-06
Position 306: 2.003217885497736e-06
Position 287: 1.7797777210563811e-06
Position 427: 4.915796566344103e-07
Position 314: 2.592043471117298e-07
Position 450: 1.746383449348301e-07
Position 283: 1.3964020993022012e-07
Position 194: 1.3174781693622064e-07
Position 535: 9.368748368252856e-08
Position 168: 5.208887650378421e-08
Position 349: 4.033968637663624e-08
Position 183: 3.897490873567832e-08
Position 435: 3.797622804894518e-08
Position 339: 3.1264150578171484e-08
Position 308: 2.7600917883052256e-08
Position 236: 2.3466747305641214e-08
Position 544: 1.7525741751247177e-08
Position 165: 1.6070906862054933e-08
Position 140: 1.3958192962755884e-08
Position 269: 7.610516929559976e-10
Position 136: 5.477353508193961e-10
Position 107: 4.268878582864794e-10
Position 271: 3.324599118886589e-10
Position 101: 1.0644955155431137e-10
Position 347: 3.20614134213031e-11
Position 369: 2.5149586129996566e-11
Position 76: 8.915449353356123e-13
