Gene = Lad1
index = 616
Annotated 5SS: [  419  7295  9449 10222 11135 12375 12623 13014 13351]
Annotated 3SS: [ 7156  8565 10116 11090 12301 12484 12926 13275 13713]
SMsplice 5SS: [  419  7295  8684 10222 12375 12623 13014 13351 13946]
SMsplice 3SS: [ 7156  8565 10116 12301 12484 12926 13177 13713 14404]
top_k =  500
Partition function (log Z): 13.199062637692517

Sorted 5' Splice Sites (High to Low Probability):
Position 10222: 0.985529579022622
Position 12375: 0.9672020154653629
Position 13351: 0.9432510289157203
Position 7295: 0.9408692266429826
Position 419: 0.9100751542731694
Position 12623: 0.8800785851456107
Position 13014: 0.7008261471049598
Position 8684: 0.6798810496382363
Position 13946: 0.41465259345504807
Position 11135: 0.37920844362519285
Position 5734: 0.2583182800666987
Position 13045: 0.24537405033593065
Position 2358: 0.23066801974388634
Position 2450: 0.18354372057707388
Position 5237: 0.1743361318545569
Position 959: 0.16931553596094728
Position 11308: 0.16252026191495886
Position 13632: 0.15901621540218014
Position 13843: 0.13606210462398596
Position 1219: 0.10144031403691084
Position 7538: 0.08864772159375614
Position 8687: 0.08271429731365276
Position 12688: 0.07205284826794578
Position 329: 0.068324160283747
Position 2454: 0.052174823413490376
Position 5721: 0.048641865930022087
Position 5150: 0.04842375216455768
Position 13592: 0.04686718927525067
Position 9449: 0.043137741479155195
Position 7667: 0.03724355926062334
Position 656: 0.03094537365761003
Position 13556: 0.028889598483132183
Position 2519: 0.028250757133801704
Position 13114: 0.02787805163511963
Position 13953: 0.026563640236320678
Position 1665: 0.02556061614330439
Position 3635: 0.024369906896961304
Position 2606: 0.022219580959565024
Position 11570: 0.02115765043431678
Position 1353: 0.020029016476419907
Position 2321: 0.0192184805361035
Position 13914: 0.016075561542712266
Position 12404: 0.012082837146048579
Position 13279: 0.009314438643108594
Position 11471: 0.009301007195876825
Position 2293: 0.0092360486622287
Position 3946: 0.008844482801460591
Position 5121: 0.008605137498312834
Position 10610: 0.008429181751772409
Position 859: 0.008166256669273451
Position 13209: 0.008110149167013825
Position 645: 0.0071826921742034625
Position 1600: 0.006834530507280274
Position 12209: 0.004838608690813508
Position 141: 0.004788937789608372
Position 546: 0.00463767849038384
Position 11276: 0.004563294922845403
Position 8708: 0.004137585837290315
Position 12388: 0.0035013123261233617
Position 1644: 0.0034151279856214755
Position 13585: 0.0033827515119055
Position 7345: 0.003318531270912751
Position 5165: 0.0030911735396622537
Position 1369: 0.0030809940753555014
Position 14122: 0.002839825697036571
Position 13849: 0.002513402521968972
Position 10298: 0.0023092921951310564
Position 387: 0.0022614400004412148
Position 2423: 0.0022107193173998194
Position 11947: 0.0020759291045504874
Position 12046: 0.002036796852021554
Position 3597: 0.001984308165594712
Position 13006: 0.0017485942695522685
Position 12170: 0.0015885446871590331
Position 7110: 0.0015302903361005312
Position 13652: 0.001470366719105922
Position 519: 0.0013848950224075295
Position 7526: 0.001347695981285937
Position 12394: 0.0012384362319671088
Position 1275: 0.0012236659624725247
Position 7437: 0.0011968689006988465
Position 8915: 0.0011967842417332745
Position 13994: 0.0011357452823032063
Position 13097: 0.0010828319263969136
Position 1564: 0.001061430016398424
Position 13890: 0.0010133032447000763
Position 2882: 0.001010430632441362
Position 8696: 0.001004190863410458
Position 8591: 0.0009943073745902371
Position 10797: 0.0009723683938577696
Position 4605: 0.0008781659597849932
Position 584: 0.0008455952974926968
Position 4203: 0.0008381453900278738
Position 7302: 0.0008315408783444188
Position 1363: 0.0007736217546658305
Position 5074: 0.0006651030192462059
Position 1962: 0.0006259504911176433
Position 1912: 0.0006037397578841418
Position 14504: 0.0005780221795235904
Position 11920: 0.0005600962260108778
Position 10936: 0.000546988702687009
Position 11616: 0.000523745167485996
Position 11932: 0.0004476152312671126
Position 13906: 0.00040942188426876046
Position 1520: 0.0003373364762754693
Position 13355: 0.0003357551431425289
Position 404: 0.00027344786238632957
Position 1687: 0.00025773756179088965
Position 14014: 0.00021596229575499747
Position 13621: 0.00020431876914796279
Position 10979: 0.00018307279471344446
Position 1058: 0.0001803200628645246
