Gene = Zwilch
index = 1210
Annotated 5SS: [  287  4492  7742  8758 10541 11734 12284 14410 17092 17941 19554 20220
 22949 23706 25835 26280 29025 33214]
Annotated 3SS: [ 4439  7645  8638 10340 11662 12127 14337 16997 17884 19453 20139 22791
 23676 25697 26183 28911 33087 35044]
SMsplice 5SS: [  287  4492  6309  7742  8758 10460 11734 12284 20220 22949 23231 26280
 33214]
SMsplice 3SS: [ 4439  6220  7645  8638 10340 11662 12127 20139 22791 23098 26183 33087
 35122]
top_k =  500
Partition function (log Z): 0.7943785392514118

Sorted 5' Splice Sites (High to Low Probability):
Position 7742: 0.9933849487378893
Position 8758: 0.9759128235953053
Position 12284: 0.957352994256387
Position 22949: 0.8938143862158696
Position 33214: 0.8559285296233949
Position 26280: 0.7635295465065003
Position 11734: 0.7594901347557963
Position 287: 0.7593206948989233
Position 23231: 0.7068408731265828
Position 6309: 0.6908472412794153
Position 20220: 0.6290103218413601
Position 4492: 0.6080575161757568
Position 10460: 0.5107018823868785
Position 12464: 0.4995360732601558
Position 5834: 0.3747706272192083
Position 17941: 0.3615536500309049
Position 20234: 0.30655743721745665
Position 29025: 0.24215761292623125
Position 10541: 0.18011276939528026
Position 232: 0.17769512132208348
Position 19558: 0.14278075435339285
Position 17842: 0.1323617456122065
Position 19554: 0.12874505641766562
Position 8536: 0.12310137928336654
Position 2798: 0.11975470133873635
Position 618: 0.11189074113285266
Position 8475: 0.10743283504860712
Position 1049: 0.10145789618381357
Position 14410: 0.07705921580169149
Position 8480: 0.048310201163610594
Position 8515: 0.04300414667863406
Position 4043: 0.0349271096198275
Position 2071: 0.034168203331813606
Position 6630: 0.031118934035660708
Position 5060: 0.02803291814895916
Position 10432: 0.02675064734501635
Position 10521: 0.025962803148197967
Position 10666: 0.016881799615862513
Position 19600: 0.01459740426622452
Position 8210: 0.011266868328272643
Position 8015: 0.011096864866709995
Position 7003: 0.010422447768328444
Position 12128: 0.008815437240136942
Position 8438: 0.008333952887512874
Position 9647: 0.008267168233872623
Position 4338: 0.00807767448028159
Position 10558: 0.007400342678411598
Position 8441: 0.007298818836358425
Position 7265: 0.006648334779515633
Position 476: 0.0066151367012970376
Position 313: 0.005932022087405785
Position 8433: 0.005905843780909065
Position 2622: 0.005647063450051655
Position 10944: 0.005616573391879275
Position 5786: 0.005380756556782096
Position 3867: 0.00461686687150708
Position 8530: 0.004418614939729163
Position 5799: 0.0033743031389198
Position 1969: 0.0033614627326393515
Position 3679: 0.0030876757062589287
Position 8430: 0.0030131645268362205
Position 2766: 0.0023136552049911017
Position 7319: 0.0022551387740146326
Position 8255: 0.0022529018574604263
Position 8715: 0.0021300011691144974
Position 11765: 0.002051750088897714
Position 2210: 0.0019361909783314687
Position 8895: 0.0016049182202692548
Position 11903: 0.0015647702693727603
Position 6964: 0.0015252829033261016
Position 11738: 0.001512763520313207
Position 1664: 0.0013048365952727857
Position 7746: 0.001253467777392348
Position 277: 0.001188415828260286
Position 4916: 0.0011592165748768883
Position 23839: 0.001127478910781991
Position 4676: 0.0011172778809083184
Position 297: 0.001094518100827717
Position 1533: 0.001077866652456103
Position 4930: 0.001055156728162524
Position 8158: 0.001029818219272538
Position 2162: 0.0009613710337873935
Position 9800: 0.0009607362036146156
Position 7964: 0.0008322687527503851
Position 4836: 0.0008127505159363595
Position 1265: 0.0007894938646275559
Position 10252: 0.000716297182784118
Position 1733: 0.0007118853047499009
Position 3711: 0.0006890219833485811
Position 3255: 0.000676451593329406
Position 1856: 0.000636217487714537
Position 9255: 0.0002512968117017915
Position 9022: 0.00023158354976411988
Position 817: 0.000221112332595754
Position 379: 0.0002140779724204827
Position 8949: 0.00017180489964347951
Position 7854: 0.00015473354012561215
