Gene = Lipt1
index = 638
Annotated 5SS: [120]
Annotated 3SS: [2657]
SMsplice 5SS: [120]
SMsplice 3SS: [1776]
top_k =  500
Partition function (log Z): -8.16995555749751

Sorted 5' Splice Sites (High to Low Probability):
Position 120: 0.8006770650589118
Position 3027: 0.1644119495294682
Position 2990: 0.14503698562882933
Position 1491: 0.1352431492071284
Position 208: 0.11440048026868826
Position 1911: 0.11310739129410909
Position 3629: 0.10773070764912011
Position 1944: 0.09981590334315628
Position 440: 0.03386914959455967
Position 459: 0.03091159999201112
Position 1939: 0.024798309662674524
Position 3360: 0.021790596966332666
Position 645: 0.018206348396415467
Position 317: 0.012207005871723072
Position 1132: 0.011958193382490922
Position 1687: 0.011023207465348146
Position 1151: 0.009902739857790171
Position 2547: 0.009231024750881101
Position 401: 0.006168669527988585
Position 623: 0.005076830995382577
Position 3058: 0.005044249581402787
Position 273: 0.002562504354275136
Position 1077: 0.0023794720444981826
Position 2154: 0.0021156627475440253
Position 2530: 0.0019379586379249753
Position 1195: 0.0017525591890046658
Position 2909: 0.001306894120157217
Position 545: 0.0009646378384242911
Position 1608: 0.0007741946843044249
Position 59: 0.0007219808054874945
Position 186: 0.000660756313721739
Position 160: 0.0006224383581687661
Position 3180: 0.0005462991357872334
Position 145: 0.0004055321737907911
Position 1978: 0.0003511390350595129
Position 1634: 0.00023589377899925845
Position 190: 0.00020836559845209107
Position 262: 0.00017519249254759056
Position 1460: 0.0001748354644638119
Position 1713: 0.00014943532731879157
Position 383: 0.0001423199937907382
Position 1672: 0.00013892340672129057
Position 1483: 0.0001297751223349123
Position 1619: 0.00010406293557286515
Position 1691: 9.607918439269136e-05
Position 212: 7.857725616096647e-05
Position 962: 7.35499105402442e-05
Position 312: 5.335764322640575e-05
Position 735: 5.0223401478672515e-05
Position 579: 4.17418351485902e-05
Position 366: 4.0969672305233546e-05
Position 1477: 3.792687543036713e-05
Position 1121: 3.413788951368311e-05
Position 294: 3.219736801581528e-05
Position 1793: 2.3032460713034365e-05
Position 2254: 2.2651385464391512e-05
Position 387: 2.5404445796021632e-06
Position 234: 2.053973353435312e-06
Position 139: 1.5271822738721044e-06
Position 124: 1.474052334317736e-06
Position 450: 8.819695545467648e-07
Position 344: 4.1115717940896336e-07
Position 163: 2.2518723785870348e-07
Position 113: 1.1657021418459414e-07
Position 63: 1.1584639833482649e-07
Position 412: 7.685985363666596e-08
Position 43: 6.239540714202025e-08
Position 45: 4.7009457192060245e-08
Position 52: 3.9273620342995645e-08
Position 72: 3.2404140008335335e-08
Position 29: 1.0944147806955614e-10
Position 338: 1.0923779196782612e-10
Position 349: 7.997063939216645e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1776: 0.35553714985668866
Position 2885: 0.18675686252897683
Position 2763: 0.15462626888835088
Position 3087: 0.13264858654126796
Position 1385: 0.13141096182507836
Position 3857: 0.1304300533964472
Position 2657: 0.12797906252552965
Position 3135: 0.12173820265037552
Position 3531: 0.0932030558011756
Position 1518: 0.06914148421291148
Position 3206: 0.06574341713361832
Position 3412: 0.032919972497619854
Position 2803: 0.03226441032185111
Position 3240: 0.026944262994899916
Position 3148: 0.026429365507594293
Position 1057: 0.02589285684996374
Position 3974: 0.022371870127692005
Position 3924: 0.014283046649401413
Position 2931: 0.013490424034531663
Position 2318: 0.010891296407923924
Position 1830: 0.01077716146957427
Position 2706: 0.009507605667258267
Position 2682: 0.00873864844939314
Position 496: 0.007951180192611743
Position 2858: 0.0073969779100177225
Position 315: 0.0072296731851057335
Position 1322: 0.007096000561824592
Position 3099: 0.006046243850797298
Position 2452: 0.005581182391652657
Position 4014: 0.005565968597007074
Position 522: 0.005411503890833503
Position 364: 0.003707443694128535
Position 1294: 0.0034511738009794044
Position 2830: 0.0032635512243857
Position 3528: 0.0030288514578472926
Position 2473: 0.0029143128077911955
Position 294: 0.002062704162043835
Position 3550: 0.001936145589342509
Position 1634: 0.001891953137385083
Position 1297: 0.0016214585422637197
Position 535: 0.0014297101760150123
Position 3807: 0.0014095686541276576
Position 853: 0.0013861284978229998
Position 2511: 0.0013663529981794936
Position 251: 0.00110547300110971
Position 516: 0.0010857991064723417
Position 243: 0.001067224017655425
Position 1330: 0.0010210816517481798
Position 1411: 0.0009743319132423591
Position 3957: 0.0008715915921395833
Position 2958: 0.0008338360639552087
Position 1063: 0.0007889750550635332
Position 1607: 0.0007313070659086758
Position 3111: 0.0006912615640950645
Position 857: 0.0006549220453278744
Position 2712: 0.0005626736322765637
Position 1003: 0.0005023516892729867
Position 836: 0.00039707187824899114
Position 3334: 0.0003781188139968018
Position 371: 0.0003277691451801316
Position 827: 0.00030163531290153847
Position 338: 0.0003010993949599955
Position 503: 0.00023434409360221085
Position 579: 0.00017614142964832554
Position 400: 0.00015121415597472504
Position 962: 0.0001399036088310938
Position 1020: 0.0001304707956531925
Position 1031: 9.106648001803481e-05
Position 1439: 8.888210962892465e-05
Position 1035: 8.64592176251175e-05
Position 2971: 7.152065615011642e-05
Position 330: 6.354787916741684e-05
Position 1009: 5.229841046951307e-05
Position 419: 4.983438501160646e-05
Position 1430: 4.616773386433672e-05
Position 525: 4.4540241691240986e-05
Position 344: 4.02423951549381e-05
Position 1076: 3.274173348896768e-05
Position 1477: 3.0226164247196222e-05
Position 1418: 2.930981911979858e-05
Position 500: 2.8401161359952636e-05
Position 366: 2.5586507393422585e-05
Position 2110: 2.3202685115749932e-05
Position 945: 1.967940943209852e-05
Position 911: 1.8631689643435642e-05
Position 2144: 4.49168285266502e-06
Position 915: 3.2373635997648224e-06
Position 1073: 3.0835069695441797e-06
Position 628: 2.266219165538531e-06
Position 383: 1.8576211544627816e-06
Position 1098: 1.8393912294991747e-06
Position 537: 1.1261933952072672e-06
Position 545: 1.0601520758889595e-06
Position 587: 8.763767585369637e-07
Position 549: 8.187126992974297e-07
Position 186: 6.534298946101882e-07
Position 666: 8.307348091983203e-08
