Gene = Adhfe1
index = 100
Annotated 5SS: [  204  1997  3810  5029  5525  5872  7668  9158 10338 12260 15640 15946
 18991]
Annotated 3SS: [ 1958  3768  4974  5369  5674  7589  9051 10184 12160 15560 15848 18832
 28242]
SMsplice 5SS: [  204  5525  7668  9158 10338 10539 12260 15946 16316 18991]
SMsplice 3SS: [ 5369  7589  9051 10184 10441 12160 15848 16233 18832 28242]
top_k =  500
Partition function (log Z): 4.997017679456402

Sorted 5' Splice Sites (High to Low Probability):
Position 18991: 0.9983494407379576
Position 12260: 0.9816402834469232
Position 10338: 0.9362094757791757
Position 204: 0.9139750500453762
Position 5525: 0.7914418503497512
Position 16316: 0.7231706663564147
Position 10539: 0.6768293902839977
Position 9158: 0.6073939630796077
Position 7668: 0.5395992090839481
Position 15983: 0.4973597614009137
Position 15946: 0.46546214414299936
Position 9243: 0.38550485608824525
Position 2700: 0.22746197079336106
Position 5872: 0.16310889148895158
Position 17069: 0.1630459712869953
Position 16709: 0.15869175800577612
Position 1997: 0.15559187938208208
Position 15640: 0.1539362152211174
Position 5061: 0.1320615024850123
Position 3810: 0.12158574782713502
Position 669: 0.10633771781249256
Position 20057: 0.10062415776321895
Position 16776: 0.09648481081156188
Position 2164: 0.08730272361153078
Position 8603: 0.06615704995588237
Position 3973: 0.05399722748903191
Position 877: 0.047076143031552976
Position 1636: 0.04497524066642147
Position 815: 0.0390734112240847
Position 1214: 0.03860161304692056
Position 24302: 0.03610782530501467
Position 7821: 0.03323749030578867
Position 12668: 0.030970680794864407
Position 16818: 0.020941956809978013
Position 10029: 0.018928731912078313
Position 9991: 0.017593070205367753
Position 5499: 0.01642842917361332
Position 13332: 0.015471208184598685
Position 17328: 0.01507356750593129
Position 16143: 0.014888714221934322
Position 10379: 0.012745349691693917
Position 9322: 0.012564432454027729
Position 1759: 0.012454998095334792
Position 11736: 0.011207080694438577
Position 24147: 0.010597095230438811
Position 6142: 0.010330379439364091
Position 18271: 0.010001106481523983
Position 21972: 0.009116127729935454
Position 6411: 0.009075581568958413
Position 1798: 0.008267806934685347
Position 16894: 0.008031241250523832
Position 44: 0.007925679550691431
Position 11896: 0.0071821967151796725
Position 844: 0.006964796589354861
Position 11227: 0.006772256827437351
Position 15451: 0.006567796974388244
Position 9197: 0.006187960950681205
Position 6066: 0.005305549226535422
Position 5774: 0.0041554050452204325
Position 3667: 0.0039025075242271026
Position 9230: 0.00383154429667368
Position 9838: 0.003461242237825943
Position 4332: 0.003430396814519663
Position 5487: 0.00309508825384172
Position 2320: 0.003084682829594984
Position 2781: 0.002879056940504057
Position 1229: 0.0027255406107865726
Position 549: 0.002571807277046548
Position 10556: 0.0024626348761836933
Position 10657: 0.002413807268931881
Position 5324: 0.001917863164850918
Position 9968: 0.0017911678645003157
Position 1175: 0.001743400441743381
Position 7030: 0.00161041568609607
Position 2922: 0.0016002645914153892
Position 5979: 0.0015125836239972407
Position 3213: 0.0014654162004003614
Position 3438: 0.0014626271693606693
Position 4275: 0.0011759316376987454
Position 22008: 0.0011664341509625721
Position 414: 0.0009478011211720551
Position 16348: 0.0009130861575040817
Position 10629: 0.0008638619375741562
Position 10271: 0.0008398415989047045
Position 1540: 0.0008186001773392113
Position 1400: 0.000756764072576049
Position 1218: 0.0007276229829632888
Position 12264: 0.0007085193183216318
Position 2495: 0.0007007367319147862
Position 4327: 0.000559191791989552
Position 208: 0.0005452775897107255
Position 1629: 0.0004860818077613303
Position 21152: 0.00047375070645732325
Position 4849: 0.0004708486276129366
Position 104: 0.0004656206660952344
Position 14633: 0.0004607857457818014
Position 1888: 0.00045090541252148646
Position 3685: 0.00040465470205622474
Position 474: 0.0003654218414441882
Position 686: 0.000343821583561043
Position 1383: 0.0003335990574471528
Position 1499: 0.00031667146076790184
Position 312: 0.0003134106219182693
Position 423: 0.00029634128164686006
Position 16429: 0.0002686836018493274
Position 1571: 0.0002671011143053908
Position 1291: 0.00023629968839380185
Position 1780: 0.00020724053376855727
Position 9126: 0.00019148263216292724
Position 971: 0.00017947996893285804
Position 1615: 0.0001698248994927642
Position 4622: 0.00016744676767446251
Position 226: 0.00015151126623896244
Position 39: 0.00010303204824010196
Position 1566: 0.0001018047572733717
Position 1525: 9.843352930238778e-05
Position 673: 9.6209195380682e-05
Position 905: 9.069982745240676e-05
Position 119: 8.846857674108387e-05
Position 465: 7.266707535504095e-05
Position 1532: 6.677465244478572e-05
Position 354: 6.0533000932142646e-05
Position 1611: 5.957436038687189e-05
Position 776: 3.298558383877836e-05
Position 1790: 3.226020273355857e-05
Position 675: 2.305803400933708e-05
Position 11036: 2.2427269426100314e-05
Position 251: 2.0563865826657562e-05
Position 1033: 1.327262721863175e-05
Position 582: 7.094622328019038e-06
Position 361: 5.334837399965615e-06
Position 871: 4.954054064772973e-06
Position 599: 3.97949386369785e-06
Position 801: 1.985545902418512e-06
Position 1056: 1.4287391527277569e-06
Position 914: 1.2157620647648908e-06
Position 860: 1.0591650827700117e-06
Position 114: 1.0217742447765366e-06
Position 272: 8.455847830985511e-07
Position 234: 7.253199812829409e-07
Position 867: 7.156767008844359e-07
Position 169: 6.978773165409763e-07
Position 953: 6.913389125592128e-07
Position 12: 4.0649953919559533e-07
Position 9168: 2.527300691462267e-07
Position 692: 2.2549561782662735e-07
Position 575: 1.5128271923561223e-07
Position 428: 1.399110105240495e-07
Position 480: 1.0149789790455997e-07
Position 326: 9.636509072365724e-08
Position 486: 8.488204900265281e-08
Position 472: 8.157970450901538e-08
Position 108: 3.1480612399430752e-09
Position 81: 2.596942505653523e-09
Position 67: 1.801555761029678e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 9051: 0.9892911780551524
Position 12160: 0.9066329112938707
Position 18832: 0.7796843983444587
Position 5369: 0.7528021345738941
Position 16233: 0.6996891278993471
Position 28242: 0.6816453335556077
Position 15848: 0.6365643052361095
Position 10441: 0.6337408616741635
Position 10184: 0.5518855997694226
Position 7589: 0.546708970701672
Position 10220: 0.39764370533753784
Position 15885: 0.28285723782669503
Position 16589: 0.2561459562653464
Position 1958: 0.24230559356901119
Position 2612: 0.22561556754779932
Position 18814: 0.18453390595726732
Position 5674: 0.14966344801997453
Position 4974: 0.14067235176923232
Position 3768: 0.13666628704356648
Position 15560: 0.10737507024868108
Position 16981: 0.09837013907166296
Position 24236: 0.08826838698475242
Position 12095: 0.06820120114785413
Position 8355: 0.06615704995588237
Position 16836: 0.06010066522590047
Position 15586: 0.059006201797631684
Position 24106: 0.04825506513949631
Position 1341: 0.046561520698337265
Position 23805: 0.044592378384989695
Position 651: 0.04420072116853307
Position 1144: 0.04362322276490936
Position 5412: 0.04131558201621133
Position 19900: 0.03876303649907505
Position 18883: 0.03508524737130305
Position 21755: 0.03283633777595645
Position 15900: 0.03203394218589456
Position 9772: 0.030257751707771497
Position 16094: 0.028022886854953286
Position 794: 0.025172036924684123
Position 10407: 0.024978166856520174
Position 26185: 0.02401088906107554
Position 3708: 0.023594773323424613
Position 25868: 0.02350129380258989
Position 7750: 0.023452419393852883
Position 16700: 0.017906280002082907
Position 23990: 0.017719172200874125
Position 19873: 0.016620378902449235
Position 12565: 0.016599515286637778
Position 9237: 0.015635375347315305
Position 491: 0.015291512896271411
Position 17193: 0.01507356750593129
Position 19975: 0.014689337136989424
Position 3876: 0.014434380858306702
Position 5871: 0.013472929450755799
Position 582: 0.012751563517546844
Position 11616: 0.01212630785782294
Position 1539: 0.012070405786536524
Position 762: 0.012067622614328529
Position 19890: 0.011185137488945856
Position 9125: 0.010633462332187801
Position 5448: 0.010154665067732077
Position 18159: 0.010001106481523995
Position 23737: 0.009650802885451145
Position 19949: 0.009165757538743142
Position 6273: 0.009075581568958407
Position 9703: 0.00897303314657458
Position 10422: 0.008689176251812043
Position 10261: 0.008406811538335654
Position 20019: 0.007993159293609374
Position 5636: 0.007827334269076038
Position 16969: 0.007791566694715101
Position 22120: 0.007285534075143651
Position 25724: 0.007211578946130358
Position 16540: 0.0069986758740461
Position 12532: 0.006491202717772476
Position 19523: 0.00639450603928984
Position 24666: 0.0062552863269559975
Position 11118: 0.006113949660644
Position 24637: 0.005896622486095691
Position 13187: 0.005192423313194339
Position 20475: 0.0051725620730129875
Position 4220: 0.005165520244207958
Position 5618: 0.005079731596436309
Position 12065: 0.004925597114060251
Position 5705: 0.004693782648685186
Position 591: 0.004443366426114517
Position 25973: 0.0044000054047389145
Position 19082: 0.00435192291580317
Position 15307: 0.0038826342281463064
Position 3563: 0.0037403185333625658
Position 519: 0.00372939008114288
Position 1996: 0.00369449985547779
Position 24658: 0.003605904996317343
Position 12976: 0.003525385669959999
Position 16283: 0.0034816462639721303
Position 2580: 0.003477825046069429
Position 11760: 0.0034621550204629896
Position 19697: 0.003250769847103234
Position 414: 0.0032441268617338596
Position 22266: 0.0031238546016574185
Position 20745: 0.0030373990569179813
Position 10455: 0.0030007356349965315
Position 12538: 0.002986241413293408
Position 1585: 0.002892450402992953
Position 13119: 0.0028221124783708706
Position 22486: 0.0028022060543349578
Position 22348: 0.0025821895579935254
Position 19562: 0.0025729034324763625
Position 7369: 0.00253246652638797
Position 12435: 0.002525058395622054
Position 22084: 0.002416564235337445
Position 1611: 0.002406203200250158
Position 13216: 0.0023646159989777127
Position 15346: 0.0022574952047690845
Position 21592: 0.002170456697893361
Position 19235: 0.0021580594249664764
Position 5979: 0.0020031217321464924
Position 19328: 0.0019642696453822913
Position 497: 0.001952529149833399
Position 16030: 0.001882580103101096
Position 19852: 0.0018105599050723532
Position 16186: 0.001756743588514995
Position 344: 0.0017483060076839974
Position 1729: 0.001722734158573046
Position 2755: 0.0016990592904260803
Position 3258: 0.0016946397326489536
Position 15905: 0.0016806732266178854
Position 5955: 0.00165037206798918
Position 6971: 0.00161041568609607
Position 294: 0.0015716306676189357
Position 9850: 0.001501390646109232
Position 12517: 0.0014626928710928973
Position 11831: 0.0014205925377553062
Position 3084: 0.0014178340994649074
Position 11691: 0.0013677109995875025
Position 16027: 0.0012813437502419312
Position 10450: 0.0012200076121660192
Position 10378: 0.0011824553502603153
Position 9906: 0.0011620270317516833
Position 2620: 0.0011488404409855163
Position 20134: 0.001108096250670641
Position 1147: 0.0011073168014236225
Position 1591: 0.0010149579397789907
Position 19490: 0.0009666895259100669
Position 21098: 0.0009422940131518751
Position 11934: 0.00090223357283796
Position 13220: 0.0009012233010607338
Position 10489: 0.0008588252913908107
Position 1110: 0.0008363248521701663
Position 12449: 0.0008351621494851546
Position 12099: 0.0007865629362881905
Position 20167: 0.0007841508234659188
Position 3879: 0.0007728168019476567
Position 655: 0.0007219389815946099
Position 24197: 0.000714425938495445
Position 20791: 0.0006774034509446261
Position 11133: 0.0006583071667933463
Position 12111: 0.0006436946864251441
Position 4532: 0.0006382953952873987
Position 21735: 0.0005944374098354924
Position 13102: 0.000585715512505552
Position 23843: 0.0005699579146445087
Position 19456: 0.00047717028493046297
Position 3292: 0.0004495484185539635
Position 15304: 0.0004276675414728521
Position 19100: 0.00039872752997166554
Position 21572: 0.00035840638147728793
Position 19501: 0.0003228828208710538
Position 724: 0.00030918533370055955
Position 20583: 0.0003063353207545729
Position 1699: 0.0002949868625005554
Position 19487: 0.00028891481438122964
Position 14622: 0.00028425323299414887
Position 2279: 0.00027145647643927074
Position 19308: 0.0002589716458529743
Position 10614: 0.0002519029129765156
Position 12016: 0.0002460986449139764
Position 10088: 0.00024452428554019726
Position 1738: 0.00024212527462089353
Position 16260: 0.00023073275240364943
Position 15700: 0.0002251620410459338
Position 588: 0.00021332032067660365
Position 774: 0.00020619388998998418
Position 1660: 0.00019704435210612345
Position 369: 0.0001960894478961474
Position 843: 0.0001902199804825762
Position 21036: 0.00018950826770834333
Position 1879: 0.00018448380824616934
Position 1643: 0.00018007929682463056
Position 14499: 0.00017653251278765253
Position 2323: 0.0001723736105826186
Position 509: 0.0001642023209408111
Position 16651: 0.00016211613152343338
Position 10314: 0.00014193618785033932
Position 16483: 0.0001397186793218456
Position 17914: 0.00011430209649245098
Position 1673: 0.00011043879252961626
Position 769: 0.00010240242295227933
Position 1378: 9.400044281156168e-05
Position 392: 8.16129877841598e-05
Position 8995: 7.535961266156554e-05
Position 7796: 7.452342124549915e-05
Position 18550: 7.382500137554012e-05
Position 380: 7.176640659063718e-05
Position 20199: 6.83282456015432e-05
Position 7799: 6.831934657826562e-05
Position 20938: 4.854720901001605e-05
Position 3047: 4.758210093545405e-05
Position 1546: 4.740405678960599e-05
Position 13084: 4.564603061311116e-05
Position 12406: 4.360503212760209e-05
Position 9247: 3.424266932622284e-05
Position 13089: 3.408587991636496e-05
Position 1655: 3.2773134015472906e-05
Position 1768: 2.8628498303167193e-05
Position 108: 2.8477540494702856e-05
Position 12479: 2.7202928833034373e-05
Position 2023: 2.6899933849474543e-05
Position 1517: 2.2432460909227066e-05
Position 6052: 2.2089039005288682e-05
Position 418: 2.035890204518027e-05
Position 532: 1.7412947801701972e-05
Position 1587: 1.695247972417176e-05
Position 612: 1.4859560023839129e-05
Position 690: 1.4816443534452218e-05
Position 797: 1.4279577338846782e-05
Position 10933: 1.3317387953279104e-05
Position 11456: 1.25109939895104e-05
Position 397: 1.0932583356581073e-05
Position 122: 1.0679083286309438e-05
Position 12019: 1.0503368994117531e-05
Position 10721: 4.331517380741859e-06
Position 9254: 3.7481331639646887e-06
Position 10737: 3.659973770756697e-06
Position 939: 2.8808373740558104e-06
Position 1056: 2.5160722216957836e-06
Position 538: 2.36615439551775e-06
Position 684: 2.3162505860474002e-06
Position 383: 2.099541682057921e-06
Position 560: 1.7318395530462392e-06
Position 874: 1.5828518535124944e-06
Position 465: 1.3802859481301328e-06
Position 549: 1.3802278627966228e-06
Position 154: 1.2043265483878966e-06
Position 312: 1.179041583683972e-06
Position 9271: 1.126081658988879e-06
Position 730: 1.0579496436007012e-06
Position 301: 1.0068247806110885e-06
Position 10003: 7.808113746898544e-07
Position 1098: 7.572264708148871e-07
Position 801: 5.727175453532407e-07
Position 16062: 5.201799441700319e-07
Position 877: 4.3340560775877483e-07
Position 426: 3.983191592112665e-07
Position 944: 3.752073916134202e-07
Position 394: 3.51014885459488e-07
Position 620: 3.222650481867212e-07
Position 401: 2.6991150624731003e-07
Position 661: 1.2183076530802014e-07
Position 750: 1.1550190317518103e-07
Position 1369: 1.0648538729106122e-07
Position 1366: 1.0534058060200111e-07
Position 1273: 8.780985287005269e-08
Position 534: 8.366488467905696e-08
Position 260: 8.354795313534842e-08
Position 268: 5.414120635571787e-08
Position 431: 4.6048326426651926e-08
Position 423: 3.619344279418185e-08
Position 86: 3.474006959132619e-08
Position 137: 2.1455490962694697e-08
Position 234: 1.970064596985177e-08
Position 623: 1.7030980243607717e-08
Position 134: 1.1431756533623449e-08
Position 89: 6.299997500055409e-09
Position 81: 1.7668182073255543e-09
Position 197: 1.7047493043336465e-09
Position 119: 1.492003415205131e-09
Position 202: 1.3170199311175131e-09
Position 272: 1.1267698325120601e-09
Position 692: 7.26936120669024e-10
Position 169: 5.703501163897211e-10
Position 185: 4.4729442595539374e-10
Position 213: 1.6266272538546968e-11
