Gene = Ppat
index = 842
Annotated 5SS: [  622 24788 25905 29124 29368 30109 31823 32208 33545 35634]
Annotated 3SS: [24720 25697 29010 29221 30035 31670 32079 33322 35512 36172]
SMsplice 5SS: [  622 24788 25905 29124 29368 30109 31823 32208 35634]
SMsplice 3SS: [24720 25697 29010 29221 29966 31670 32079 35512 36172]
top_k =  500
Partition function (log Z): -27.542270575134264

Sorted 5' Splice Sites (High to Low Probability):
Position 622: 0.9435032957321783
Position 2138: 0.3097436008903814
Position 4017: 0.19426757153665355
Position 4370: 0.1298605111919162
Position 3923: 0.1094491600885774
Position 6647: 0.08151048336206397
Position 6629: 0.07386770081395568
Position 4434: 0.07014263848653568
Position 4625: 0.058744517738285686
Position 129: 0.031509859927586835
Position 4668: 0.026922540510137864
Position 6668: 0.02058739107503556
Position 3864: 0.01374949309330119
Position 1165: 0.012527096052227765
Position 222: 0.012299162163747504
Position 531: 0.010803074749073424
Position 101: 0.009979112030806763
Position 3542: 0.005943798340658388
Position 3654: 0.005911417792547101
Position 4642: 0.0050731817971946015
Position 4700: 0.004267753252879901
Position 2784: 0.0025958123505229933
Position 3323: 0.002236990513642825
Position 3470: 0.002234847281293884
Position 56: 0.0019681722065411442
Position 437: 0.0014458211703477228
Position 1612: 0.0014346021120019558
Position 467: 0.0013154629695559443
Position 918: 0.0011058062947532192
Position 211: 0.0007444195186872139
Position 763: 0.0006462823409767588
Position 884: 0.0006347832863962318
Position 79: 0.0005481691478697861
Position 2960: 0.00039172292479096766
Position 388: 0.00030882112295516187
Position 952: 0.000306718515255394
Position 265: 0.00026724397753666844
Position 4908: 0.00017226607297545182
Position 786: 0.00015408660254664412
Position 587: 0.00014536918653443857
Position 64: 0.00011855708054561511
Position 1395: 8.455466083356524e-05
Position 1154: 7.395554940345759e-05
Position 1031: 5.603913074864937e-05
Position 1049: 5.477983079192282e-05
Position 392: 3.016942116781946e-05
Position 18: 1.61293709754315e-05
Position 354: 1.3424190674197269e-05
Position 642: 8.421077234185177e-06
Position 660: 8.387524548638916e-06
Position 528: 7.770796639500066e-06
Position 541: 6.2936125142771285e-06
Position 322: 3.954604747439781e-06
Position 477: 2.479345058023274e-06
Position 781: 1.7247727445793246e-06
Position 810: 1.4816134967512178e-06
Position 724: 1.4700811721447929e-06
Position 578: 9.976043206452286e-07
Position 1574: 9.773868854049418e-07
Position 821: 8.597343462224662e-07
Position 816: 7.808328551347816e-07
Position 2287: 5.2976312126633217e-08
Position 441: 3.318565816776021e-08
Position 413: 1.9568931367683946e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 10085: 0.41583834908991185
Position 12056: 0.29766478005514135
Position 1985: 0.22669572600625576
Position 6601: 0.16509180224257275
Position 3864: 0.15633547387786276
Position 4362: 0.15413819685710042
Position 3753: 0.12256627200430392
Position 4559: 0.10123948438553337
Position 4117: 0.055993700447756825
Position 7220: 0.04771266683685745
Position 2058: 0.044302686930398065
Position 7184: 0.04382191458344813
Position 5026: 0.033844761978535254
Position 3900: 0.029666381697336576
Position 1981: 0.02816892570849194
Position 291: 0.016347499812093984
Position 6495: 0.013078642098689187
Position 10446: 0.012839337550068441
Position 1758: 0.012240373379428095
Position 4222: 0.010947006438179025
Position 8448: 0.01082529031845264
Position 4982: 0.009517188578803744
Position 4624: 0.009411481219029674
Position 3322: 0.008867694757517757
Position 9128: 0.008781638254637061
Position 11472: 0.007685266226831116
Position 3940: 0.007141263096859441
Position 10795: 0.0069152456462749316
Position 883: 0.006235200455196295
Position 5604: 0.005738758826387401
Position 6316: 0.005486473085025248
Position 10872: 0.005442970791769251
Position 6139: 0.004926601691300662
Position 10293: 0.004812895489187913
Position 3493: 0.004705820342769469
Position 8665: 0.004688908810996735
Position 3927: 0.0038378181778495977
Position 9231: 0.0031014418130908467
Position 3946: 0.003009207005370101
Position 268: 0.0024932809552518343
Position 2495: 0.0021517486849960154
Position 8444: 0.002034230642178722
Position 3246: 0.002025057436606511
Position 3759: 0.001641061154329981
Position 488: 0.0016003125409704399
Position 2397: 0.001407980074626942
